MUSE Name,First Name,Last Name,Gender / Pronoun,"Type, Category",Country,Era,Birth Year,Death year,Famous Work(s),Core SUTRA,Secondary SUTRAs,Themes/ Keywords,Bananasutra Notes,Key Quotes,Primary Source,Additional Sources,Status,Auto ID,MUSE ID,LYRICS,Count (LYRICS)
Cindi Lauper,Cindi,Lauper,She,Musician,US,"Late 20th C,Contemporary",1953,,"She Just Wants to Have Fun, True Colors, A Night to Remember","BLOWsutra,GROWsutra",,"music,feminism,LGBTQ+,individuality",,,https://en.wikipedia.org/wiki/Cyndi_Lauper,,Draft,83,M-83,Kids Just Want To Have Hope,1
Cole Porter,Cole,Porter,He,Musician,US,"Early 20th C,Mid 20th C",1891,1964,"Night and Day, Kiss Me Kate, Anything Goes",SHOWsutra,,"music,theater,romance,elegance",,,https://en.wikipedia.org/wiki/Cole_Porter,,Draft,112,M-112,"An American in Paris (Public Domain Lyrics),Let's Do It",2
Eartha Kitt,Eartha,Kitt,She,Musician,US,"Mid 20th C,Late 20th C",1927,2008,"Santa Baby, Thursday Afternoon, activism/performances","BLOWsutra,SHOWsutra,GLOWsutra",,"music,sexuality/liberation,resistance,performance",,,https://en.wikipedia.org/wiki/Eartha_Kitt,,Draft,80,M-80,,0
Eminem Eminem,Eminem,Eminem,He,Musician,US,Contemporary,1972,,Hi My Name Is Slim Shady,SHOWsutra,,humor/absurdity,"Inspired 'Hi, My Name Is (Not Celine Dion)', dedicated to Eminem's soft silly side.",,https://en.wikipedia.org/wiki/Eminem,,Draft,51,M-51,,0
Jim Morrison,Jim,Morrison,He,Musician,US,Mid 20th C,1943,1971,"Light My Fire, Riders on the Storm (The Doors)",SHOWsutra,,"music,poetry/language,mysticism,performance,rebellion",Inspired the track 'Shades of Fools (All I Know)'.,,https://en.wikipedia.org/wiki/Jim_Morrison,,Draft,100,M-100,"Be The Fool (Perfection Is A Lie),Bee the Fool (Not A Lie),Please Pardon My French",3
Jimi Hendrix,Jimi,Hendrix,He,Musician,US,Late 20th C,1942,1970,"Are You Experienced, Electric Ladyland, Axis: Bold as Love","FLOWsutra,SHOWsutra","GROWsutra,BLOWsutra","guitar/music,psychedelia,freedom,innovation,soul",Hendrix played guitar like FLOWsutra made sound. Every note was surrender to the river. Electric Ladyland is a sutra in six strings.,,https://en.wikipedia.org/wiki/Jimi_Hendrix,,Draft,159,M-159,,0
John Lennon,John,Lennon,He,Musician,GB,"Mid 20th C,Late 20th C",1940,1980,"The Beatles work, Imagine, Double Fantasy","BLOWsutra,GLOWsutra,GROWsutra",,"music,peace,resistance,love/kindness",,,https://en.wikipedia.org/wiki/John_Lennon,,Draft,87,M-87,"Criminals,Criminels,""Hey, Creeps"",""Hey, You (Creepers)""",4
Johnny Cash,Johnny,Cash,He,Musician,US,Mid 20th C,1932,2003,"Ring of Fire, Hurt, Man in Black",BLOWsutra,,"music,death/grief,redemption,authenticity,americana",Inspired the track 'Where Hope Expires'.,,https://en.wikipedia.org/wiki/Johnny_Cash,,Draft,25,M-25,Hole Of Fire,1
Kurt Cobain,Kurt,Cobain,He,Musician,US,Late 20th C,1967,1994,"Nevermind, In Utero, MTV Unplugged","FLOWsutra,GROWsutra",,"music,resistance,authenticity,pain/melancholy",,,https://en.wikipedia.org/wiki/Kurt_Cobain,,Draft,30,M-30,Whispers (Lithium),1
Lou Doillon,Lou,Doillon,She,Musician,FR,Contemporary,1982,,"Lay Back, Protection, Burn It Down","FLOWsutra,GLOWsutra",,"music,creativity,love/kindness",,,https://en.wikipedia.org/wiki/Lou_Doillon,,Draft,41,M-41,,0
Mariama Mariama,Mariama,Mariama,She,Musician,GN/FR,Contemporary,1984,,"Afropop, world music albums",BLOWsutra,,"music,world music,Afropop,cultural expression",,,https://en.wikipedia.org/wiki/Mariama,,Draft,93,M-93,Sous Terre (Underground),1
Morissey Morissey,Morissey,Morissey,He,Musician,GB,Contemporary,1959,,"The Smiths, Vauxhall and I, Your Arsenal","BLOWsutra,SHOWsutra",,"music,melancholy,wit,social commentary,outsider",,,https://en.wikipedia.org/wiki/Morrissey,,Draft,99,M-99,Some Truths Are Harder to Swallow,1
Nina Hagen,Nina,Hagen,She,Musician,DE,Late 20th C,1955,,"Unbehagen, Nina Hagen Band (album)","GROWsutra,BLOWsutra",,"music,punk,performance,spirituality/agnosticism,resistance",Inspired 'Seminal Bollocks' (from Personal Jesus) and the 'Dump Trump' (Smack Jack) track.,,https://en.wikipedia.org/wiki/Nina_Hagen,,Draft,63,M-63,"Dump Trump,Seminal Bollocks",2
Nina Simone,Nina,Simone,She,Musician,US,Mid 20th C,1933,2003,"Feeling Good, Mississippi Goddam, I Put a Spell on You","KNOWsutra,GROWsutra",,"music,race/justice,resistance,soul,feminism",,,https://en.wikipedia.org/wiki/Nina_Simone,,Draft,127,M-127,"""No Fear, My Dear""",1
Peggy Lee,Peggy,Lee,He,Musician,US,Mid 20th C,1920,2002,"Fever, Is That All There Is, Why Don't You Do Right","BLOWsutra,SHOWsutra,GLOWsutra",,"music,jazz,femme fatale,independence",,,https://en.wikipedia.org/wiki/Peggy_Lee,,Draft,86,M-86,Ain't Doing Bad Doing Nothing,1
Pink Floyd,Pink,Floyd,They,Musician,GB,Late 20th C,1965,,"The Wall, Dark Side of the Moon, Wish You Were Here","FLOWsutra,KNOWsutra,BOWsutra",,"music,psychedelic,progressive rock,existential",,,https://en.wikipedia.org/wiki/Pink_Floyd,,Draft,53,M-53,,0
Portishead Portishead,Portishead,Portishead,They,Musician,GB,Late 20th C,1991,,,"FLOWsutra,BOWsutra",,"music,trip-hop,melancholy,atmosphere,electronics",,,https://en.wikipedia.org/wiki/Portishead_(band),,Draft,113,M-113,,0
Rachel Lark,Rachel,Lark,She,Musician,US,Contemporary,,,Underground comedy/music performances,SHOWsutra,,"humor/satire,performance,underground",,,,,Draft,82,M-82,Rachel Barks,1
Sam Cooke,Sam,Cooke,He,Musician,US,Mid 20th C,1931,1964,"A Change is Gonna Come, Wonderful World, You Send Me","GLOWsutra,BLOWsutra",,"music,race/justice,love/kindness,resistance",,,https://en.wikipedia.org/wiki/Sam_Cooke,,Draft,33,M-33,,0
Sex Pistols,Sex,Pistols,He,Musician,GB,Late 20th C,1975,1978,"Never Mind the Bollocks, God Save the Queen","BLOWsutra,SHOWsutra",,"punk,resistance,anti-establishment,music",,,https://en.wikipedia.org/wiki/Sex_Pistols,,Draft,110,M-110,,0
Richard Wagner,Richard,Wagner,He,"Musician,Composer",DE,19th C,1813,1883,"The Ring Cycle, Tristan and Isolde, The Flying Dutchman","GLOWsutra,FLOWsutra,KNOWsutra",,"music,opera,drama,mythology",,,https://en.wikipedia.org/wiki/Richard_Wagner,,Draft,146,M-146,,0
Bo Burnham,Bo,Burnham,He,"Musician,Fool",US,Contemporary,1990,,"Welcome to the Internet, What's Funny, F*CK",SHOWsutra,,"humor/satire,mental health,social media,performance,absurdity/joy",Inspired the Fanana Club covers and 'What's F-A-S-C-I-S-T?'.,,https://en.wikipedia.org/wiki/Bo_Burnham,,Draft,19,M-19,"Bo Burnham Covers,Segggsting,What's F-A-S-C-I-S-T?",3
Charles Aznavour,Charles,Aznavour,He,"Musician,Fool",FR,Mid 20th C,1924,2018,"La Bohème, She, Je m'voyais déjà",BLOWsutra,,"music,nostalgia,love/kindness,French chanson,performance",Inspired my tracks like 'Le Système'. 'La Bohème' captures the bittersweet nostalgia of a shared past that no longer exists.,,https://en.wikipedia.org/wiki/Charles_Aznavour,,Draft,9,M-9,"""Le Système, ça voulait dire""",1
David Bowie,David,Bowie,He,"Musician,Fool",GB,Late 20th C,1947,2016,"The Rise and Fall of Ziggy Stardust, Heroes, Space Oddity, Blackstar",GROWsutra,,"music,identity,performance,transformation,art",Inspired the track 'New Normalcy (Planet Earth To Higher Grounds)'.,,https://en.wikipedia.org/wiki/David_Bowie,,Draft,14,M-14,New Normalcy (Planet Earth to Higher Grounds),1
Frank Sinatra,Frank,Sinatra,He,"Musician,Fool",US,Mid 20th C,1915,1998,"My Way, New York New York, Fly Me to the Moon",SHOWsutra,,"music,performance,charisma,americana,love/kindness",,,https://en.wikipedia.org/wiki/Frank_Sinatra,,Draft,128,M-128,The World We Knew,1
Frank Zappa,Frank,Zappa,He,"Musician,Fool",US,Late 20th C,1940,1993,"Freak Out!, Over-Nite Sensation, Joe's Garage",SHOWsutra,,"music,satire,resistance,social criticism",,,https://en.wikipedia.org/wiki/Frank_Zappa,,Draft,152,M-152,Zappa's Religion,1
Jacques Brel,Jacques,Brel,He,"Musician,Fool",FR,Mid 20th C,1929,1978,"Ne Me Quitte Pas, La Quête, Amsterdam","GLOWsutra,BOWsutra",,"poetry/language,love/kindness,philosophy,music","La Quête is the Bananasutra anthem I didn't write. 'The Quest' remake is my love letter to him — accordion and all. He understood that the greatest songs are prayers, not performances. His emotional precision is the standard I hold myself to.","To sing is to pray twice.' | 'I want to die on a Tuesday, so I'll have the rest of the week to recover.'",https://en.wikipedia.org/wiki/Jacques_Brel,,Draft,15,M-15,"Double Standards,Jacques Brel,L'Accordéon De l'Ignorance,My Quest,The Quest,This Is My Quest,To Dream,Up a San Francisco Hill",8
Tom Waits,Tom,Waits,He,"Musician,Fool",US,Contemporary,1949,,"Rain Dogs, Closing Time, Tom Traubert's Blues",KNOWsutra,,"music,poetry/language,absurdity/joy,storytelling,love/kindness",Inspired the track 'There's No Prayer Like Desire'.,,https://en.wikipedia.org/wiki/Tom_Waits,,Draft,147,M-147,There's No Prayer Like Desire,1
Patti Smith,Patti,Smith,She,"Musician,Poet",US,Late 20th C,1946,,Horses,"BLOWsutra,GROWsutra",,"music,poetry/language,resistance,punk,spirituality/agnosticism",Inspired the track 'Because The Light'.,,https://en.wikipedia.org/wiki/Patti_Smith,,Draft,129,M-129,"Because The Fight,Because the Light,Delete My Butt",3
Vladimir Vysotsky,Vladimir,Vysotsky,He,"Musician,Poet",RU,Mid 20th C,1938,1980,The Echo Song,BLOWsutra,,"music,poetry/language,resistance,Russian identity,authenticity",Inspired the Russian BLOWsutra track 'The Echo Song'.,,https://en.wikipedia.org/wiki/Vladimir_Vysotsky,,Draft,145,M-145,The Echo Song,1
Leonard Cohen,Leonard,Cohen,He,"Musician,Songwriter",CA,Late 20th C,1934,2016,"Hallelujah, Everybody Knows, Bird on the Wire","KNOWsutra,FLOWsutra,BOWsutra",,"music,love/kindness,death/grief,poetry/language,truth-telling",The OG of making philosophy sing. 'Everybody Knows' is one of my most direct covers/reinterpretations — I borrowed his title and inverted his irony into a prayer. 'Blessed Be the Dogs' Song #2 was directly inspired by his poem 'Like a Bird in the Sky.',"There is a crack in everything, that's how the light gets in.' | 'Everybody knows the fight was fixed.' | 'Ring the bells that still can ring.'",https://en.wikipedia.org/wiki/Leonard_Cohen,,Draft,31,M-31,"Everybody Knows,Everybody Knows (The Foolishness),Like A Dog In The Sky,Like A Dog In The Sky (SHOWsutra Edition)",4
Pablo Picasso,Pablo,Picasso,He,Painter,SP/FR,Early 20th C,1881,1973,"Guernica, Les Demoiselles d'Avignon, The Weeping Woman",BLOWsutra,,"creativity,art,resistance,war/peace,innovation",,,https://en.wikipedia.org/wiki/Pablo_Picasso,,Draft,109,M-109,Pablo's Grandeur,1
René Magritte,René,Magritte,He,"Painter,Poet",BE,"Early 20th C,Mid 20th C",1898,1967,"The Son of Man, The Persistence of Memory, The False Mirror","FLOWsutra,KNOWsutra,BLOWsutra",,"surrealism,creativity,philosophy,visual art",,,https://en.wikipedia.org/wiki/Ren%C3%A9_Magritte,,Draft,91,M-91,,0
Bertrand Russell,Bertrand,Russell,He,Philosopher,GB,Early 20th C,1872,1970,"The Conquest of Happiness, Marriage and Morals, A History of Western Philosophy","KNOWsutra,GROWsutra",,"philosophy,truth-telling,love/kindness,spirituality/agnosticism,humor/satire","My wise dead daddy. He gave me the two simplest and most radical instructions: get the facts right, keep love in sight. 'Two Things, Darling' is basically a love letter to him. His Marriage and Morals essay inspired the Ethical Paradox song cycle.","The whole problem with the world is that fools and fanatics are always so certain of themselves, and wiser people so full of doubts.' | 'Love is wise, hatred is foolish.' | 'I should like to say two things: When studying any matter, ask only what are the facts. And: love is wise, hatred is foolish.'",https://en.wikipedia.org/wiki/Bertrand_Russell,,Draft,121,M-121,"I Ain't No Christian (Like Bertrand),It's An Ethical Paradox,No Holy Fool,Question Di Kingdom,Reason Over Reverence,The (Womp Womp) Conquestor,The Conquest of Happiness,Truth I never Knew (Crushing on Bertrand),""Two Things, Darling""",9
Blaise Pascal,Blaise,Pascal,He,Philosopher,FR,17th C,1623,1662,"Pensées, Pascal's Wager, Lettres provinciales",KNOWsutra,,"philosophy,theology,mathematics,truth-telling,existentialism",Inspired 'Blaise's Tale' – a cautionary tale about means and ends.,La fin ne justifie pas les moyens.',https://en.wikipedia.org/wiki/Blaise_Pascal,,Draft,108,M-108,Blaise's Tale,1
Confucius,,Confucius,He,Philosopher,CN,Ancient,c. 551 BC,c. 479 BC,The Analects,"KNOWsutra,GROWsutra",,"philosophy,ethics,wisdom,spirituality/agnosticism",,,https://en.wikipedia.org/wiki/Confucius,,Draft,32,M-32,,0
Edmund Burke,Edmund,Burke,He,Philosopher,IE,18th C,1729,1797,"Reflections on the Revolution in France, A Philosophical Enquiry into the Sublime and Beautiful","KNOWsutra,BLOWsutra",,"philosophy,democracy,tradition,politics,resistance",,,https://en.wikipedia.org/wiki/Edmund_Burke,,Draft,18,M-18,,0
Friedrich Nietzsche,Friedrich,Nietzsche,He,Philosopher,DE,19th C,1844,1900,"Thus Spoke Zarathustra, Beyond Good and Evil, The Birth of Tragedy, The Gay Science",KNOWsutra,,"philosophy,truth-telling,creativity,resistance,existentialism",Inspired the 'Nietzsche's Gift (Muddy Waters)' song cycles.,They muddy the water to make it look deep.',https://en.wikipedia.org/wiki/Friedrich_Nietzsche,,Draft,101,M-101,Nietzsche's Gift (Muddy Waters),1
Hannah Arendt,Hannah,Arendt,She,Philosopher,DE,Mid 20th C,1906,1975,"The Origins of Totalitarianism, The Human Condition, Eichmann in Jerusalem","KNOWsutra,BLOWsutra,GROWsutra",,"authoritarianism,truth-telling,philosophy,democracy,resistance",One of my deepest intellectual touchstones. The banality of evil is the lens I use to understand how ordinary people enable catastrophic harm — and why silence is complicity. Her work haunts every BLOWsutra song I write.,The banality of evil.' | 'Under conditions of tyranny it is far easier to act than to think.' | 'The most radical revolutionary will become a conservative the day after the revolution.',https://en.wikipedia.org/wiki/Hannah_Arendt,,Draft,7,M-7,Question The Nation,1
Henry Scott Holland,Henry-Scott,Holland,He,Philosopher,GB,19th C,1847,1918,Death is Nothing at All (sermon),"BOWsutra,GLOWsutra",,"death/grief,spirituality/agnosticism,love/kindness","Blessed Be the Dogs' Songs 1 and 3 are built entirely on his 'Death is Nothing at All' sermon. I feel strongly that if dogs could talk, this is exactly what they would say to us about dying. He taught me that grief and gratitude can be the same feeling.","Death is nothing at all. It does not count. I have only slipped away into the next room.' | 'Whatever we were to each other, that we are still.' | 'I am but waiting for you, for an interval, somewhere very near, just round the corner.'",https://en.wikipedia.org/wiki/Henry_Scott_Holland,,Draft,69,M-69,Easy (Death Is Nothing At All),1
Jean Jacques Rousseau,Rousseau,Jean Jacques,He,Philosopher,FR,18th C,1712,1778,"The Social Contract, Discourse on Inequality, Emile","KNOWsutra,BLOWsutra,GROWsutra",,"philosophy,democracy,nature,education,social contract",,,https://en.wikipedia.org/wiki/Jean-Jacques_Rousseau,,Draft,74,M-74,,0
Jean-Paul Sartre,Jean-Paul,Sartre,He,Philosopher,FR,Mid 20th C,1905,1980,"Being and Nothingness, Existentialism is a Humanism, No Exit","BLOWsutra,SHOWsutra,GLOWsutra",,"philosophy,freedom,existentialism,resistance",,,https://en.wikipedia.org/wiki/Jean-Paul_Sartre,,Draft,124,M-124,,0
Lao Tzu,Lao,Tzu,He,Philosopher,CN,Ancient,c. 604 BC,c. 531 BC,"Tao Te Ching, Daodejing","FLOWsutra,KNOWsutra,BOWsutra",,"philosophy,spirituality/agnosticism,nature,wisdom",,,https://en.wikipedia.org/wiki/Laozi,,Draft,141,M-141,,0
Plato,,Plato,He,Philosopher,GR,Ancient,c. 428 BC,c. 348 BC,"The Republic, The Symposium, The Apology, Phaedo","KNOWsutra,BLOWsutra,GROWsutra",,"philosophy,truth-seeking,justice,knowledge",,,https://en.wikipedia.org/wiki/Plato,,Draft,111,M-111,,0
Socrates Socrates,Socrates,Socrates,He,Philosopher,GR,Ancient,c. 470 BC,399 BC,"The Apology, Dialogues (as recorded by Plato)","KNOWsutra,GROWsutra",,philosophy/questioning,"Inspired 'Oh My, Oh Why (Socrates Song)' and 'Shades of Fools'.",All I really know is I dunno shit about fck.',https://en.wikipedia.org/wiki/Socrates,,Draft,132,M-132,"""Oh My, Oh Why (Socrates Song)""",1
Terrence McKenna,Terrence,McKenna,He,Philosopher,US,Late 20th C,1946,2000,"Food of the Gods, The Archaic Revival, True Hallucinations","KNOWsutra,BLOWsutra",,"philosophy,consciousness,psychedelics,resistance,creativity",Inspired 'Media Freakshow' and 'Waddling Egos Parade'.,"Not to know one's true identity is to be a mad, disensouled thing — a golem.'",https://en.wikipedia.org/wiki/Terence_McKenna,,Draft,95,M-95,"Mass Media Freakshow,""Too Hard, My Friend""",2
Thomas Paine,Thomas,Paine,He,Philosopher,UK,18th C,1737,1809,"Common Sense, Rights of Man, The Age of Reason",BLOWsutra,,"democracy,revolution,philosophy,resistance,freedom","Inspired the track 'Thank you, Mister Paine' (American Accountability Revolution Blues).",,https://en.wikipedia.org/wiki/Thomas_Paine,,Draft,107,M-107,"""Thank you, Mister Paine""",1
Victor Frankl,Victor,Frankl,He,Philosopher,AT,Mid 20th C,1905,1997,Man's Search for Meaning,"GROWsutra,KNOWsutra",,"meaning,philosophy,psychology,spirituality/agnosticism,hope",,,https://en.wikipedia.org/wiki/Viktor_Frankl,,Draft,55,M-55,,0
Alan Watts,Alan,Watts,He,"Philosopher,Author",GB,Mid 20th C,1915,1973,"The Way of Liberation, Nature Man and Woman, The Joyous Cosmology","KNOWsutra,GLOWsutra,BOWsutra",,"spirituality/agnosticism,philosophy,wisdom,consciousness",,,https://en.wikipedia.org/wiki/Alan_Watts,,Draft,148,M-148,,0
Dalai Lama,Dalai,Lama,He,"Philosopher,Buddhist Leader,Saint",TN,Contemporary,1935,,"Nobel Peace Prize lectures, writings on compassion","GLOWsutra,BOWsutra,KNOWsutra",,"spirituality/agnosticism,compassion,peace,wisdom",,,https://en.wikipedia.org/wiki/Dalai_Lama,,Draft,81,M-81,,0
Thich Nhat Hanh,Thich Nhat,Hanh,He,"Philosopher,Buddhist Monk",VN,"Late 20th C,Contemporary",1926,2022,"The Miracle of Mindfulness, Being Peace","GLOWsutra,KNOWsutra,BOWsutra",,"spirituality/agnosticism,mindfulness,peace,compassion",,,https://en.wikipedia.org/wiki/Th%C3%ADch_Nh%E1%BA%A5t_H%E1%BA%A1nh,,Draft,64,M-64,,0
Albert Camus,Albert,Camus,He,"Philosopher,Fool",FR,Mid 20th C,1913,1960,"The Stranger, The Plague, The Myth of Sisyphus","KNOWsutra,BLOWsutra,SHOWsutra",,"philosophy,existentialism,absurdity/joy,resistance,truth-telling",,,https://en.wikipedia.org/wiki/Albert_Camus,,Draft,22,M-22,,0
Anthony Bourdain,Anthony,Bourdain,He,"Philosopher,Fool",US,Contemporary,1956,2018,"Kitchen Confidential, Parts Unknown, Medium Raw",SHOWsutra,,"humor/satire,truth-telling,absurdity/joy,philosophy",,,https://en.wikipedia.org/wiki/Anthony_Bourdain,,Draft,13,M-13,More Than A Plate (Anthony Bourdain <3),1
Ralph Waldo Emerson,Ralph-Waldo,Emerson,He,"Philosopher,Fool",US,19th C,1803,1882,"Self-Reliance, The American Scholar","GROWsutra,KNOWsutra",,"philosophy,spirituality/agnosticism,truth-telling,poetry/language",Sing Your Own Gospel' and 'The Atheist Tango' both orbit his instruction: 'Make your own Bible. Select and collect all the words and sentences that in all your readings have been to you like the blast of a trumpet.' That is literally what Bananasutra IS.,Make your own Bible. Select and collect all the words and sentences that in all your readings have been to you like the blast of a trumpet.' | 'To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.' | 'What lies behind us and what lies before us are tiny matters compared to what lies within us.',https://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,,Draft,50,M-50,"Make your Own Bible,Sing Your Own Gospel,The Atheist Tango,Waldo's Atheist Tango,Waldo's Fascist Tango (Down We Go)",5
Voltaire Voltaire,Voltaire,Voltaire,He,"Philosopher,Fool",FR,18th C,1694,1778,"Candide, Philosophical Dictionary, Letters Concerning the English Nation",FLOWsutra,,"philosophy,freedom,humor/satire,democracy,truth-telling",,,https://en.wikipedia.org/wiki/Voltaire,,Draft,143,M-143,Some Songs Are More Fun Than Others,1
Jesus Jesus,Jesus,Jesus,He,"Philosopher,Mystic",IL,Ancient,c. 4 BC,c. 30 AD,"Sermon on the Mount, Parables (as recorded in the Gospels)",GROWsutra,,"love/kindness,spirituality/agnosticism,resistance,forgiveness,philosophy",,,https://en.wikipedia.org/wiki/Jesus,,Draft,75,M-75,"El Papito (Es No MAGA Show),Ordo Amoris in Decay (All I Want Is To Believe),""Pro-life Means What, Honey?"",Queer Almighty,Untamed,""Why trust an old, mean religion?""",6
Cicero,Cicero,,He,"Philosopher,Orator,Author",ROM,Ancient,106 BC,43 BC,"Catilinarian Orations, Philosophical Treatises, Letters","BLOWsutra,KNOWsutra",,"oratory,philosophy,truth-telling,republic",,,https://en.wikipedia.org/wiki/Cicero,,Draft,154,M-154,,0
St. Vincent De Paul,St. Vincent,de Paul,He,"Philosopher,Saint",FR,17th C,1581,1660,"Lazarist Congregation, Vincentian spirituality","GLOWsutra,BOWsutra",,"spirituality/agnosticism,love/kindness,devotion,compassion",,,https://en.wikipedia.org/wiki/Vincent_de_Paul,,Draft,36,M-36,,0
Adrienne Rich,Adrienne,Rich,She,Poet,US,Late 20th C,1929,2012,"The Dream of a Common Language, Diving into the Wreck","BLOWsutra,GLOWsutra,GROWsutra",,"feminism,poetry/language,resistance,love/kindness",,,https://en.wikipedia.org/wiki/Adrienne_Rich,,Draft,116,M-116,,0
Arthur Rimbaud,Arthur,Rimbaud,He,Poet,FR,19th C,1854,1891,"A Season in Hell, The Drunken Boat, Illuminations","FLOWsutra,BLOWsutra,KNOWsutra",,"poetry/language,rebellion,surrealism,mysticism",,,https://en.wikipedia.org/wiki/Arthur_Rimbaud,,Draft,117,M-117,,0
Charles Baudelaire,Charles,Baudelaire,He,Poet,FR,19th C,1821,1867,"Les Fleurs du Mal, Paris Spleen, Intimate Journals","BLOWsutra,SHOWsutra,GLOWsutra",,"poetry/language,death/grief,love/kindness,beauty/aesthetics",,,https://en.wikipedia.org/wiki/Charles_Baudelaire,,Draft,11,M-11,,0
E.E. Cummings,E. E.,Cummings,He,Poet,US,Early 20th C,1894,1962,"i carry your heart with me, anyone lived in a pretty how town, Tulips and Chimneys","FLOWsutra,SHOWsutra,GLOWsutra",,"poetry/language,individuality,love/kindness,creativity,experimental",,,https://en.wikipedia.org/wiki/E._E._Cummings,,Draft,34,M-34,,0
Federico Garcia Lorca,Federico,Garcia Lorca,He,Poet,SP,Early 20th C,1898,1936,"Romancero Gitano, Blood Wedding, Yerma",GLOWsutra,,"poetry/language,love/kindness,flamenco,Spanish identity,death/grief","Inspired the track 'Poem (I wanted to be, basically)'.",,https://en.wikipedia.org/wiki/Federico_Garc%C3%ADa_Lorca,,Draft,59,M-59,"""Poem (I wanted to be, basically)"",The Poem",2
Guillaume Apollinaire,Guillaume,Apollinaire,He,Poet,FR,Early 20th C,1880,1918,"Alcools, Calligrammes, Zone","FLOWsutra,GLOWsutra,BLOWsutra",,"poetry/language,creativity,love/kindness,modernism",,,https://en.wikipedia.org/wiki/Guillaume_Apollinaire,,Draft,6,M-6,,0
James Baldwin,James,Baldwin,He,Poet,US,Mid 20th C,1947,1985,"Go Tell It on the Mountain (1953)
Notes of a Native Son (1955), Giovanni's Room (1956)",GLOWsutra,,"poetry/language,truth-telling",,,https://en.wikipedia.org/wiki/James_Baldwin,,Draft,10,M-10,,0
Lawrence Ferlinghetti,Lawrence,Ferlinghetti,He,Poet,US,Late 20th C,1919,2021,,"SHOWsutra,FLOWsutra,GLOWsutra",,"poetry/language,beat generation,social criticism,freedom,peace",,,https://en.wikipedia.org/wiki/Lawrence_Ferlinghetti,,Draft,52,M-52,,0
Naomi Shihab Nye,Naomi Shihab,Nye,She,Poet,US,Contemporary,1952,,"19 Varieties of Gazelle, Fuel, You and Yours","GROWsutra,GLOWsutra",,"poetry/language,kindness,peace,multicultural,love/kindness",,,https://en.wikipedia.org/wiki/Naomi_Shihab_Nye,,Draft,103,M-103,"Kindness,Kindness,Kindness ABC",3
Paul Éluard,Paul,Éluard,He,Poet,FR,"Early 20th C,Mid 20th C",1895,1952,"Capital of Sorrow, The Immaculate Conception","FLOWsutra,GLOWsutra,BLOWsutra",,"poetry/language,surrealism,love/kindness,resistance",,,https://en.wikipedia.org/wiki/Paul_%C3%89luard,,Draft,49,M-49,,0
Robert Desnos,Robert,Desnos,He,Poet,FR,"Early 20th C,Mid 20th C",1900,1945,"Freedom is a Dutch Child, The Poem is the Question","BLOWsutra,FLOWsutra,GLOWsutra",,"poetry/language,resistance,surrealism,freedom",,,https://en.wikipedia.org/wiki/Robert_Desnos,,Draft,38,M-38,,0
Rumi,,Rumi,He,Poet,IR/TR,Medieval,1207,1273,"The Masnavi, The Divan of Shams of Tabriz","GLOWsutra,BOWsutra,KNOWsutra",,"poetry/language,spirituality/agnosticism,love/kindness,mysticism",,,https://en.wikipedia.org/wiki/Rumi,,Draft,120,M-120,,0
Amanda Gorman,Amanda,Gorman,She,"Poet,Author",US,Contemporary,2000,,"The Hill We Climb, Call Us What We Carry","GROWsutra,GLOWsutra",,"poetry/language,hope,activism,youth",,,https://en.wikipedia.org/wiki/Amanda_Gorman,,Draft,61,M-61,,0
T.S. Eliot,T.S.,Eliot,He,"Poet,Critic",GB/US,"Early 20th C,Mid 20th C",1888,1965,"The Waste Land, The Love Song of J. Alfred Prufrock, Four Quartets","KNOWsutra,BLOWsutra,FLOWsutra",,"poetry/language,modernism,spirituality/agnosticism,philosophy",,,https://en.wikipedia.org/wiki/T._S._Eliot,,Draft,48,M-48,,0
Allen Ginsberg,Allen,Ginsberg,He,"Poet,Fool",US,Mid 20th C,1926,1997,"Howl, Kaddish, Meditation on Moloch",BLOWsutra,,"poetry/language,resistance,spirituality/agnosticism,beat generation,social criticism",His angelic words anchor my FOTUS Circus tracks like 'Psychedelic Hollow Horror Show'.,"America, when will you be angelic? When will you take off your clothes?'
For Ginsberg, Moloch is associated with war, government, capitalism, and mainstream culture, all of which might be summed up by one of the poem's most important concepts: the ""machine"" or ""machinery."" Moloch is an inhuman monster that kills youth and love.",https://en.wikipedia.org/wiki/Allen_Ginsberg,,Draft,60,M-60,"Carnival FOTUS (ctd),FOTUS Circus: Angels Eyes,FOTUS Circus: Ginsberg Hollow (Horror) Show",3
Robert Burns,Robert,Burns,He,"Poet,Fool",GB-SCT,18th C,1759,1796,"Auld Lang Syne, A Man's A Man for A' That, To a Mouse",BLOWsutra,,"poetry/language,love/kindness,democracy,Scottish identity,nature",Inspired the song 'A Man's A Man for A' That'.,,https://en.wikipedia.org/wiki/Robert_Burns,,Draft,20,M-20,A Man's a Man and A' That,1
Hafiz,,Hafiz,He,"Poet,Mystic",IR,Medieval,c. 1325,c. 1390,"The Divan of Hafiz, Gazals","GLOWsutra,BOWsutra,KNOWsutra",,"poetry/language,spirituality/agnosticism,love/kindness,mysticism",,,https://en.wikipedia.org/wiki/Hafez,,Draft,62,M-62,,0
