MUSE Name,First Name,Last Name,"Type, Category",Country,Era,Birth Year,Death year,Famous Work(s),Core SUTRA(s),Themes/ Keywords,Bananasutra Notes,Key Quotes,Primary Source,Additional Sources,Status,Auto ID,MUSE ID,LYRICS,Count (LYRICS)
Federico Garcia Lorca,Federico,Garcia Lorca,Poet,SP,Early 20th C,1898,1936,"Romancero Gitano, Blood Wedding, Yerma",GLOWsutra,"poetry/language,love/kindness,flamenco,Spanish identity,death/grief","Inspired the track 'Poem (I wanted to be, basically)'.",,https://en.wikipedia.org/wiki/Federico_Garc%C3%ADa_Lorca,,Draft,59,M-59,"""Poem (I wanted to be, basically)"",The Poem",2
Allen Ginsberg,Allen,Ginsberg,"Poet,Fool",US,Mid 20th C,1926,1997,"Howl, Kaddish, Meditation on Moloch",BLOWsutra,"poetry/language,resistance,spirituality/agnosticism,beat generation,social criticism",His angelic words anchor my FOTUS Circus tracks like 'Psychedelic Hollow Horror Show'.,"America, when will you be angelic? When will you take off your clothes?'

For Ginsberg, Moloch is associated with war, government, capitalism, and mainstream culture, all of which might be summed up by one of the poem's most important concepts: the ""machine"" or ""machinery."" Moloch is an inhuman monster that kills youth and love.",https://en.wikipedia.org/wiki/Allen_Ginsberg,,Draft,60,M-60,"Carnival FOTUS (ctd),FOTUS Circus: Angels Eyes,FOTUS Circus: Ginsberg Hollow (Horror) Show",3
Amanda Gorman,Amanda,Gorman,"Poet,Author",US,Contemporary,2000,,"The Hill We Climb, Call Us What We Carry","GROWsutra,GLOWsutra","poetry/language,hope,activism,youth",,,https://en.wikipedia.org/wiki/Amanda_Gorman,,Draft,61,M-61,,0
Hafiz,,Hafiz,"Poet,Mystic",IR,Medieval,c. 1325,c. 1390,"The Divan of Hafiz, Gazals","GLOWsutra,BOWsutra,KNOWsutra","poetry/language,spirituality/agnosticism,love/kindness,mysticism",,,https://en.wikipedia.org/wiki/Hafez,,Draft,62,M-62,,0
Nina Hagen,Nina,Hagen,Musician,DE,Late 20th C,1955,,"Unbehagen, Nina Hagen Band (album)","GROWsutra,BLOWsutra","music,punk,performance,spirituality/agnosticism,resistance",Inspired 'Seminal Bollocks' (from Personal Jesus) and the 'Dump Trump' (Smack Jack) track.,,https://en.wikipedia.org/wiki/Nina_Hagen,,Draft,63,M-63,"Dump Trump,Seminal Bollocks",2
Thich Nhat Hanh,Thich Nhat,Hanh,"Philosopher,Buddhist Monk",VN,"Late 20th C,Contemporary",1926,2022,"The Miracle of Mindfulness, Being Peace","GLOWsutra,KNOWsutra,BOWsutra","spirituality/agnosticism,mindfulness,peace,compassion",,,https://en.wikipedia.org/wiki/Th%C3%ADch_Nh%E1%BA%A5t_H%E1%BA%A1nh,,Draft,64,M-64,,0
Kamama Harris,Kamama,Harris,Politician,US,Contemporary,,,,"BLOWsutra,GROWsutra","satire,politics,contemporary",,,https://en.wikipedia.org/wiki/Kamala_Harris,,Draft,65,M-65,"Kamala Has A Dream,Kamala's Roots of Resilience,Win-Win In Unity",3
Stephen Hawking,Stephen,Hawking,Scientist,GB,"Late 20th C,Contemporary",1942,2018,"A Brief History of Time, The Universe in a Nutshell","KNOWsutra,GROWsutra","science,philosophy,knowledge,cosmology",,,https://en.wikipedia.org/wiki/Stephen_Hawking,,Draft,66,M-66,,0
Ernest Miller Hemingway,Ernest,Hemingway,Author,US,Mid 20th C,1899,1961,"The Old Man and the Sea, A Farewell to Arms, The Sun Also Rises","KNOWsutra,BLOWsutra","authenticity,war/peace,literature,truth-telling,masculinity",,"If voting mattered, they wouldn't let us do it'",https://en.wikipedia.org/wiki/Ernest_Hemingway,,Draft,67,M-67,,0
Herman Hesse,Herman,Hesse,"Author,Fool",DE/CH,Early 20th C,1877,1962,"Siddhartha, Steppenwolf, The Glass Bead Game",GROWsutra,"philosophy,spirituality/agnosticism,personal growth,love/kindness",Inspired the track 'Tune In The Tender'.,,https://en.wikipedia.org/wiki/Hermann_Hesse,,Draft,68,M-68,"Tune In The Tender,Love from the Future (The Hesse Song)",2
Henry Scott Holland,Henry-Scott,Holland,Philosopher,GB,19th C,1847,1918,Death is Nothing at All (sermon),"BOWsutra,GLOWsutra","death/grief,spirituality/agnosticism,love/kindness","Blessed Be the Dogs' Songs 1 and 3 are built entirely on his 'Death is Nothing at All' sermon. I feel strongly that if dogs could talk, this is exactly what they would say to us about dying. He taught me that grief and gratitude can be the same feeling.","Death is nothing at all. It does not count. I have only slipped away into the next room.' | 'Whatever we were to each other, that we are still.' | 'I am but waiting for you, for an interval, somewhere very near, just round the corner.'",https://en.wikipedia.org/wiki/Henry_Scott_Holland,,Draft,69,M-69,Easy (Death Is Nothing At All),1
Grace Hopper,Grace,Hopper,Scientist,US,Mid 20th C,1906,1992,"COBOL (co-developer), A-0 Compiler",GROWsutra,"science,computing,pioneering,feminism,knowledge",Inspired 'Zero Sum (Zero Sean)'. Her first bug was found not in code but in character (NO EMPATHY).,,https://en.wikipedia.org/wiki/Grace_Hopper,,Draft,70,M-70,,0
Victor Hugo,Victor,Hugo,"Author,Poet",FR,19th C,1802,1885,"Les Misérables, Notre-Dame de Paris, Liberté (poem)","BLOWsutra,GROWsutra","resistance,democracy,poetry/language,authoritarianism",Liberty' is a direct musical translation of his 1821 revolutionary poem — I channeled Bob Marley for the melody. Hugo is the French DNA of Bananasutra: beauty and fury in the same breath.,"And, standing proud, my soul shall tell the tyrants of the earth — farewell!' | 'Even the darkest night will end and the sun will rise.' | 'To love beauty is to see light.'",https://en.wikipedia.org/wiki/Victor_Hugo,,Draft,71,M-71,"Liberty,""Rise Up, You Naked Peoples (Freedom Rings)""",2
Aldous Huxley,Aldous,Huxley,"Author,Fool",UK,Mid 20th C,1894,1963,"Brave New World, The Doors of Perception, Point Counter Point",KNOWsutra,"dystopia,consciousness,philosophy,satire,science fiction",Inspired 'The Dystopian Quiz Song'.,,https://en.wikipedia.org/wiki/Aldous_Huxley,,Draft,72,M-72,The Dystopian Quiz Song,1
Eugene Ionesco,Eugene,Ionesco,Author,FR,Mid 20th C,1909,1994,Rhinoceros,BLOWsutra,"theater,absurdity/joy,satire,conformity,surrealism",Inspired the track 'Rhinoceross' and surreal real poetry.,,https://en.wikipedia.org/wiki/Eug%C3%A8ne_Ionesco,,Draft,73,M-73,Rhinoceross,1
Jean Jacques Rousseau,Rousseau,Jean Jacques,Philosopher,FR,18th C,1712,1778,"The Social Contract, Discourse on Inequality, Emile","KNOWsutra,BLOWsutra,GROWsutra","philosophy,democracy,nature,education,social contract",,,https://en.wikipedia.org/wiki/Jean-Jacques_Rousseau,,Draft,74,M-74,,0
Jesus Jesus,Jesus,Jesus,"Philosopher,Mystic",IL,Ancient,c. 4 BC,c. 30 AD,"Sermon on the Mount, Parables (as recorded in the Gospels)",GROWsutra,"love/kindness,spirituality/agnosticism,resistance,forgiveness,philosophy",,,https://en.wikipedia.org/wiki/Jesus,,Draft,75,M-75,"El Papito (Es No MAGA Show),Ordo Amoris in Decay (All I Want Is To Believe),""Pro-life Means What, Honey?"",Queer Almighty,Untamed,""Why trust an old, mean religion?""",6
Alejandro Jodorowsky,Alejandro,Jodorowsky,"Filmmaker,Author,Philosopher",CL/FR,Contemporary,1929,,"El Topo, The Holy Mountain, Psychomagic: A Healing Art","SHOWsutra,KNOWsutra,FLOWsutra","surrealism,spirituality/agnosticism,creativity,healing,cinema",,,https://en.wikipedia.org/wiki/Alejandro_Jodorowsky,,Draft,76,M-76,,0
Samuel Johnson,Samuel,Johnson,"Author,Critic",GB,18th C,1709,1784,"Dictionary of the English Language, The Lives of the Poets, The Rambler","KNOWsutra,SHOWsutra","literature,language,wit,criticism,truth-telling",,,https://en.wikipedia.org/wiki/Samuel_Johnson,,Draft,77,M-77,,0
Jon Kabat-Zinn,Jon,Kabat-Zinn,"Scientist,Philosopher",US,Contemporary,1944,,"Full Catastrophe Living, Wherever You Go There You Are, Arriving at Your Own Door","KNOWsutra,FLOWsutra","mindfulness,meditation,healing,philosophy,presence",,,https://en.wikipedia.org/wiki/Jon_Kabat-Zinn,,Draft,78,M-78,,0
Stephen King,Stephen,King,Author,US,Late 20th C,1947,,"The Shining, It, Carrie, The Stand",BLOWsutra,"storytelling,horror,social criticism,fear,creativity",,,https://en.wikipedia.org/wiki/Stephen_King,,Draft,79,M-79,Shining Twins,1
Eartha Kitt,Eartha,Kitt,Musician,US,"Mid 20th C,Late 20th C",1927,2008,"Santa Baby, Thursday Afternoon, activism/performances","BLOWsutra,SHOWsutra,GLOWsutra","music,sexuality/liberation,resistance,performance",,,https://en.wikipedia.org/wiki/Eartha_Kitt,,Draft,80,M-80,,0
Dalai Lama,Dalai,Lama,"Philosopher,Buddhist Leader,Saint",TN,Contemporary,1935,,"Nobel Peace Prize lectures, writings on compassion","GLOWsutra,BOWsutra,KNOWsutra","spirituality/agnosticism,compassion,peace,wisdom",,,https://en.wikipedia.org/wiki/Dalai_Lama,,Draft,81,M-81,,0
Rachel Lark,Rachel,Lark,Musician,US,Contemporary,,,Underground comedy/music performances,SHOWsutra,"humor/satire,performance,underground",,,,,Draft,82,M-82,Rachel Barks,1
Cindi Lauper,Cindi,Lauper,Musician,US,"Late 20th C,Contemporary",1953,,"She Just Wants to Have Fun, True Colors, A Night to Remember","BLOWsutra,GROWsutra","music,feminism,LGBTQ+,individuality",,,https://en.wikipedia.org/wiki/Cyndi_Lauper,,Draft,83,M-83,Kids Just Want To Have Hope,1
Manu LeCon,Manu,LeCon,Politician,FR,Contemporary,,,,BLOWsutra,"satire,politics,contemporary",,,https://en.wikipedia.org/wiki/Emmanuel_Macron,,Draft,84,M-84,"Le Bal Des Salauds,Le P'tit Jupiter,Le Système,""Le Système, ça voulait dire""",4
Peggy Lee,Peggy,Lee,Musician,US,Mid 20th C,1920,2002,"Fever, Is That All There Is, Why Don't You Do Right","BLOWsutra,SHOWsutra,GLOWsutra","music,jazz,femme fatale,independence",,,https://en.wikipedia.org/wiki/Peggy_Lee,,Draft,86,M-86,Ain't Doing Bad Doing Nothing,1
Bruce Lee,Bruce,Lee,"Martial Artist,Philosopher",US/HK,Mid 20th C,1940,1973,"Enter the Dragon, Tao of Jeet Kune Do","KNOWsutra,SHOWsutra,FLOWsutra","philosophy,flow,martial arts,creativity,wisdom","Anchoring my FLOWsutra songs about being adaptive and fluid, like the track 'Flow like Water, My Friend'.",,https://en.wikipedia.org/wiki/Bruce_Lee,,Draft,85,M-85,"Flow Like Water (My Friend),Fluye (como el mar)",2
John Lennon,John,Lennon,Musician,GB,"Mid 20th C,Late 20th C",1940,1980,"The Beatles work, Imagine, Double Fantasy","BLOWsutra,GLOWsutra,GROWsutra","music,peace,resistance,love/kindness",,,https://en.wikipedia.org/wiki/John_Lennon,,Draft,87,M-87,"Criminals,Criminels,""Hey, Creeps"",""Hey, You (Creepers)""",4
Audre Lorde,Audre,Lorde,"Author,Poet",US,Late 20th C,1934,1992,"Sister Outsider, The Cancer Journals, Uses of the Erotic","BLOWsutra,GLOWsutra,GROWsutra","feminism,race/justice,poetry/language,activism",,,https://en.wikipedia.org/wiki/Audre_Lorde,,Draft,88,M-88,,0
Ada Lovelace,Ada,Lovelace,"Scientist,Philosopher",GB,19th C,1815,1852,"Notes on the Analytical Engine, computing theory","KNOWsutra,GROWsutra","science,mathematics,feminism,knowledge",,,https://en.wikipedia.org/wiki/Ada_Lovelace,,Draft,89,M-89,,0
Antonio Machado,Antonio,Machado,"Poet,Philosopher",SP,Early 20th C,1875,1939,"Campos de Castilla, Juan de Mairena","KNOWsutra,GLOWsutra,BLOWsutra","poetry/language,philosophy,love/kindness,spirituality/agnosticism",,,https://en.wikipedia.org/wiki/Antonio_Machado,,Draft,90,M-90,,0
René Magritte,René,Magritte,"Painter,Poet",BE,"Early 20th C,Mid 20th C",1898,1967,"The Son of Man, The Persistence of Memory, The False Mirror","FLOWsutra,KNOWsutra,BLOWsutra","surrealism,creativity,philosophy,visual art",,,https://en.wikipedia.org/wiki/Ren%C3%A9_Magritte,,Draft,91,M-91,,0
Nelson Mandela,Nelson,Mandela,"Politician,Philosopher",ZA,"Late 20th C,Contemporary",1918,2013,"Long Walk to Freedom, speeches on reconciliation","BLOWsutra,GROWsutra,BOWsutra","race/justice,resistance,forgiveness,spirituality/agnosticism",,,https://en.wikipedia.org/wiki/Nelson_Mandela,,Draft,92,M-92,,0
Mariama Mariama,Mariama,Mariama,Musician,GN/FR,Contemporary,1984,,"Afropop, world music albums",BLOWsutra,"music,world music,Afropop,cultural expression",,,https://en.wikipedia.org/wiki/Mariama,,Draft,93,M-93,Sous Terre (Underground),1
Groucho Marx,Groucho,Marx,"Comedian,Fool",US,Early 20th C,1890,1977,"Duck Soup, A Night at the Opera, You Bet Your Life","BLOWsutra,SHOWsutra","humor/satire,absurdity/joy,resistance,wit,performance",,,https://en.wikipedia.org/wiki/Groucho_Marx,,Draft,94,M-94,Blessed Are The Cracked,1
Terrence McKenna,Terrence,McKenna,Philosopher,US,Late 20th C,1946,2000,"Food of the Gods, The Archaic Revival, True Hallucinations","KNOWsutra,BLOWsutra","philosophy,consciousness,psychedelics,resistance,creativity",Inspired 'Media Freakshow' and 'Waddling Egos Parade'.,"Not to know one's true identity is to be a mad, disensouled thing — a golem.'",https://en.wikipedia.org/wiki/Terence_McKenna,,Draft,95,M-95,"Mass Media Freakshow,""Too Hard, My Friend""",2
Herman Melville,Herman,Melville,"Author,Poet",US,19th C,1819,1891,"Moby Dick, Billy Budd, Bartleby the Scrivener","KNOWsutra,BLOWsutra,BOWsutra","philosophy,literature,truth-telling,resistance",,,https://en.wikipedia.org/wiki/Herman_Melville,,Draft,96,M-96,,0
Molière,,Molière,"Author,Fool",FR,17th C,1622,1673,"Tartuffe, Le Misanthrope, The Imaginary Invalid","SHOWsutra,BLOWsutra,KNOWsutra","humor/satire,theater,social criticism,absurdity/joy",,,https://en.wikipedia.org/wiki/Moli%C3%A8re,,Draft,97,M-97,,0
Marilyn Monroe,Marilyn,Monroe,"Comedian,Actress,Fool",US,Mid 20th C,1926,1962,"Gentlemen Prefer Blondes, Some Like It Hot, The Misfits","SHOWsutra,GLOWsutra","humor/satire,performance,feminism,tragedy",,,https://en.wikipedia.org/wiki/Marilyn_Monroe,,Draft,98,M-98,,0
Morissey Morissey,Morissey,Morissey,Musician,GB,Contemporary,1959,,"The Smiths, Vauxhall and I, Your Arsenal","BLOWsutra,SHOWsutra","music,melancholy,wit,social commentary,outsider",,,https://en.wikipedia.org/wiki/Morrissey,,Draft,99,M-99,Some Truths Are Harder to Swallow,1
Jim Morrison,Jim,Morrison,Musician,US,Mid 20th C,1943,1971,"Light My Fire, Riders on the Storm (The Doors)",SHOWsutra,"music,poetry/language,mysticism,performance,rebellion",Inspired the track 'Shades of Fools (All I Know)'.,,https://en.wikipedia.org/wiki/Jim_Morrison,,Draft,100,M-100,"Be The Fool (Perfection Is A Lie),Bee the Fool (Not A Lie),Please Pardon My French",3
Friedrich Nietzsche,Friedrich,Nietzsche,Philosopher,DE,19th C,1844,1900,"Thus Spoke Zarathustra, Beyond Good and Evil, The Birth of Tragedy, The Gay Science",KNOWsutra,"philosophy,truth-telling,creativity,resistance,existentialism",Inspired the 'Nietzsche's Gift (Muddy Waters)' song cycles.,They muddy the water to make it look deep.',https://en.wikipedia.org/wiki/Friedrich_Nietzsche,,Draft,101,M-101,Nietzsche's Gift (Muddy Waters),1
Anaïs Nin,Anaïs,Nin,"Author,Diarist",FR/US,Mid 20th C,1903,1977,"Delta of Venus, The Diary of Anaïs Nin, A Spy in the House of Love","FLOWsutra,GLOWsutra,KNOWsutra","sensuality,creativity,feminism,love/kindness,introspection",,,https://en.wikipedia.org/wiki/Ana%C3%AFs_Nin,,Draft,102,M-102,,0
Naomi Shihab Nye,Naomi Shihab,Nye,Poet,US,Contemporary,1952,,"19 Varieties of Gazelle, Fuel, You and Yours","GROWsutra,GLOWsutra","poetry/language,kindness,peace,multicultural,love/kindness",,,https://en.wikipedia.org/wiki/Naomi_Shihab_Nye,,Draft,103,M-103,"Kindness,Kindness,Kindness ABC",3
Barack Obama,Barack,Obama,Politician,US,Contemporary,1961,,"Dreams from My Father, The Audacity of Hope",BLOWsutra,"hope,democracy,race/justice,politics,change",,,https://en.wikipedia.org/wiki/Barack_Obama,,Draft,104,M-104,Presidential Joke of The Year,1
Mary Oliver,Mary,Oliver,"Author,Poet",US,Contemporary,1935,2019,"Wild Geese, Upstream, Why I Wake Early","GLOWsutra,FLOWsutra,BOWsutra","ecology,love/kindness,spirituality/agnosticism,poetry/language",My awe teacher. She makes the case for paying attention as a spiritual practice — for noticing the small sacred things — and that's the whole point of GLOWsutra. 'Why not let the soft animal of your body love what it loves?' is basically the BOWsutra mission statement.,"Tell me, what is it you plan to do with your one wild and precious life?' | 'You do not have to be good.' | 'Why not let the soft animal of your body love what it loves?'",https://en.wikipedia.org/wiki/Mary_Oliver,,Draft,105,M-105,"Awe Is Like...,Awe Is Mighty",2
George Orwell,George,Orwell,"Author,Poet",GB,Mid 20th C,1903,1950,"1984, Animal Farm, Homage to Catalonia","KNOWsutra,BLOWsutra","authoritarianism,truth-telling,resistance,democracy,philosophy","The original 'this is what fascism looks like' alarm bell. 1984 is the architecture of everything I fear. When I wrote 'Time for Rebel Romance' about the anti-Christian surveillance task force, I was living in the Ministry of Religious Freedom à la Orwell.","In a time of deceit, telling the truth is a revolutionary act.' | 'Big Brother is watching you.' | 'Who controls the past controls the future.'",https://en.wikipedia.org/wiki/George_Orwell,,Draft,106,M-106,The Dystopian Quiz Song,1
Thomas Paine,Thomas,Paine,Philosopher,UK,18th C,1737,1809,"Common Sense, Rights of Man, The Age of Reason",BLOWsutra,"democracy,revolution,philosophy,resistance,freedom","Inspired the track 'Thank you, Mister Paine' (American Accountability Revolution Blues).",,https://en.wikipedia.org/wiki/Thomas_Paine,,Draft,107,M-107,"""Thank you, Mister Paine""",1
Blaise Pascal,Blaise,Pascal,Philosopher,FR,17th C,1623,1662,"Pensées, Pascal's Wager, Lettres provinciales",KNOWsutra,"philosophy,theology,mathematics,truth-telling,existentialism",Inspired 'Blaise's Tale' – a cautionary tale about means and ends.,La fin ne justifie pas les moyens.',https://en.wikipedia.org/wiki/Blaise_Pascal,,Draft,108,M-108,Blaise's Tale,1
Pablo Picasso,Pablo,Picasso,Painter,SP/FR,Early 20th C,1881,1973,"Guernica, Les Demoiselles d'Avignon, The Weeping Woman",BLOWsutra,"creativity,art,resistance,war/peace,innovation",,,https://en.wikipedia.org/wiki/Pablo_Picasso,,Draft,109,M-109,Pablo's Grandeur,1
Sex Pistols,Sex,Pistols,Musician,GB,Late 20th C,1975,1978,"Never Mind the Bollocks, God Save the Queen","BLOWsutra,SHOWsutra","punk,resistance,anti-establishment,music",,,https://en.wikipedia.org/wiki/Sex_Pistols,,Draft,110,M-110,,0
Plato,,Plato,Philosopher,GR,Ancient,c. 428 BC,c. 348 BC,"The Republic, The Symposium, The Apology, Phaedo","KNOWsutra,BLOWsutra,GROWsutra","philosophy,truth-seeking,justice,knowledge",,,https://en.wikipedia.org/wiki/Plato,,Draft,111,M-111,,0
Cole Porter,Cole,Porter,Musician,US,"Early 20th C,Mid 20th C",1891,1964,"Night and Day, Kiss Me Kate, Anything Goes",SHOWsutra,"music,theater,romance,elegance",,,https://en.wikipedia.org/wiki/Cole_Porter,,Draft,112,M-112,"An American in Paris (Public Domain Lyrics),Let's Do It",2
Portishead Portishead,Portishead,Portishead,Musician,GB,Late 20th C,1991,,,"FLOWsutra,BOWsutra","music,trip-hop,melancholy,atmosphere,electronics",,,https://en.wikipedia.org/wiki/Portishead_(band),,Draft,113,M-113,,0
Cat Power,Cat,Power,Musician,US,"Late 20th C,Contemporary",1966,,"Moon, The Greatest, Covers Record","BOWsutra,FLOWsutra,GLOWsutra","music,emotionality,creativity,covers",,,https://en.wikipedia.org/wiki/Cat_Power,,Draft,114,M-114,,0
Vladimir Putin,Vladimir,Putin,Politician,RU,Contemporary,1952,,"Presidential speeches, invasion orders",BLOWsutra,"authoritarianism,power,politics,war/peace,resistance",,,https://en.wikipedia.org/wiki/Vladimir_Putin,,Draft,115,M-115,,0
Adrienne Rich,Adrienne,Rich,Poet,US,Late 20th C,1929,2012,"The Dream of a Common Language, Diving into the Wreck","BLOWsutra,GLOWsutra,GROWsutra","feminism,poetry/language,resistance,love/kindness",,,https://en.wikipedia.org/wiki/Adrienne_Rich,,Draft,116,M-116,,0
Arthur Rimbaud,Arthur,Rimbaud,Poet,FR,19th C,1854,1891,"A Season in Hell, The Drunken Boat, Illuminations","FLOWsutra,BLOWsutra,KNOWsutra","poetry/language,rebellion,surrealism,mysticism",,,https://en.wikipedia.org/wiki/Arthur_Rimbaud,,Draft,117,M-117,,0
Carl Rogers,Carl,Rogers,"Psychologist,Philosopher",US,Mid 20th C,1902,1987,"On Becoming a Person, Client-Centered Therapy","GROWsutra,KNOWsutra,GLOWsutra","psychology,personal growth,empathy,philosophy",,,https://en.wikipedia.org/wiki/Carl_Rogers,,Draft,118,M-118,,0
Don Miguel Ruiz,Don Miguel,Ruiz,Author,MX,Contemporary,1952,,"The Four Agreements, The Voice of Knowledge",KNOWsutra,"spirituality/agnosticism,wisdom,personal growth,philosophy",,,https://en.wikipedia.org/wiki/Don_Miguel_Ruiz,,Draft,119,M-119,Our Best,1
Rumi,,Rumi,Poet,IR/TR,Medieval,1207,1273,"The Masnavi, The Divan of Shams of Tabriz","GLOWsutra,BOWsutra,KNOWsutra","poetry/language,spirituality/agnosticism,love/kindness,mysticism",,,https://en.wikipedia.org/wiki/Rumi,,Draft,120,M-120,,0
Bertrand Russell,Bertrand,Russell,Philosopher,GB,Early 20th C,1872,1970,"The Conquest of Happiness, Marriage and Morals, A History of Western Philosophy","KNOWsutra,GROWsutra","philosophy,truth-telling,love/kindness,spirituality/agnosticism,humor/satire","My wise dead daddy. He gave me the two simplest and most radical instructions: get the facts right, keep love in sight. 'Two Things, Darling' is basically a love letter to him. His Marriage and Morals essay inspired the Ethical Paradox song cycle.","The whole problem with the world is that fools and fanatics are always so certain of themselves, and wiser people so full of doubts.' | 'Love is wise, hatred is foolish.' | 'I should like to say two things: When studying any matter, ask only what are the facts. And: love is wise, hatred is foolish.'",https://en.wikipedia.org/wiki/Bertrand_Russell,,Draft,121,M-121,"I Ain't No Christian (Like Bertrand),It's An Ethical Paradox,No Holy Fool,Question Di Kingdom,Reason Over Reverence,The (Womp Womp) Conquestor,The Conquest of Happiness,Truth I never Knew (Crushing on Bertrand),""Two Things, Darling""",9
Carl Sagan,Carl,Sagan,"Scientist,Philosopher",US,Late 20th C,1934,1996,"Cosmos: A Personal Voyage, Pale Blue Dot, Contact","KNOWsutra,GROWsutra","science,truth-telling,cosmology,wonder,philosophy",Inspired 'Bamboozled' / 'L'Embobinage' and 'Some Truths Are Harder to Swallow'.,"Une des leçons les plus tristes de l'histoire est celle-ci: si nous avons été embobinés assez longtemps, nous avons tendance à rejeter toute preuve de l'embobinage.'",https://en.wikipedia.org/wiki/Carl_Sagan,,Draft,122,M-122,"L’Embobinage,Some Truths Are Harder to Swallow",2
Bernie Sanders,Bernie,Sanders,"Politician,Philosopher",US,Contemporary,1941,,"Speeches on democratic socialism, political activism","BLOWsutra,GROWsutra","resistance,democracy,justice,social justice",,,https://en.wikipedia.org/wiki/Bernie_Sanders,,Draft,123,M-123,,0
Jean-Paul Sartre,Jean-Paul,Sartre,Philosopher,FR,Mid 20th C,1905,1980,"Being and Nothingness, Existentialism is a Humanism, No Exit","BLOWsutra,SHOWsutra,GLOWsutra","philosophy,freedom,existentialism,resistance",,,https://en.wikipedia.org/wiki/Jean-Paul_Sartre,,Draft,124,M-124,,0
William Shakespeare,William,Shakespeare,Author,GB,"16th C,17th C",1564,1616,"Hamlet, Macbeth, A Midsummer Night's Dream, The Tempest","KNOWsutra,GLOWsutra,FLOWsutra","poetry/language,drama,love/kindness,human nature",,,https://en.wikipedia.org/wiki/William_Shakespeare,,Draft,125,M-125,,0
George Bernard Shaw,George Bernard,Shaw,"Author,Playwright,Critic",GB,Early 20th C,1856,1950,"Pygmalion, Saint Joan, Heartbreak House","BLOWsutra,SHOWsutra,KNOWsutra","social criticism,theater,humor/satire,resistance",,,https://en.wikipedia.org/wiki/George_Bernard_Shaw,,Draft,126,M-126,,0
Nina Simone,Nina,Simone,Musician,US,Mid 20th C,1933,2003,"Feeling Good, Mississippi Goddam, I Put a Spell on You","KNOWsutra,GROWsutra","music,race/justice,resistance,soul,feminism",,,https://en.wikipedia.org/wiki/Nina_Simone,,Draft,127,M-127,"""No Fear, My Dear""",1
Frank Sinatra,Frank,Sinatra,"Musician,Fool",US,Mid 20th C,1915,1998,"My Way, New York New York, Fly Me to the Moon",SHOWsutra,"music,performance,charisma,americana,love/kindness",,,https://en.wikipedia.org/wiki/Frank_Sinatra,,Draft,128,M-128,The World We Knew,1
Patti Smith,Patti,Smith,"Musician,Poet",US,Late 20th C,1946,,Horses,"BLOWsutra,GROWsutra","music,poetry/language,resistance,punk,spirituality/agnosticism",Inspired the track 'Because The Light'.,,https://en.wikipedia.org/wiki/Patti_Smith,,Draft,129,M-129,"Because The Fight,Because the Light,Delete My Butt",3
Snoopy Snoopy,Snoopy,Snoopy,Fictional,US,,,,,SHOWsutra,absurdity/joy,"Inspired the track 'I Did the Math, and Everything is Stupid'.","I did the math, and everything is stupid.'",https://en.wikipedia.org/wiki/Snoopy,,Draft,130,M-130,"""I Did The Math (Everything is Stupid, Absurd, and Divine""",1
Edward Snowden,Edward,Snowden,"Author,Fool",US,Contemporary,1983,,"Permanent Record, NSA leaks/whistleblowing",BLOWsutra,"truth-telling,resistance,privacy,whistleblowing",,,https://en.wikipedia.org/wiki/Edward_Snowden,,Draft,131,M-131,Dear Edward (The Snowden Song),1
Socrates Socrates,Socrates,Socrates,Philosopher,GR,Ancient,c. 470 BC,399 BC,"The Apology, Dialogues (as recorded by Plato)","KNOWsutra,GROWsutra",philosophy/questioning,"Inspired 'Oh My, Oh Why (Socrates Song)' and 'Shades of Fools'.",All I really know is I dunno shit about fck.',https://en.wikipedia.org/wiki/Socrates,,Draft,132,M-132,"""Oh My, Oh Why (Socrates Song)""",1
Aleksandr Solzhenitsyn,Aleksandr,Solzhenitsyn,"Author,Poet",RU,Mid 20th C,1918,2008,"The Gulag Archipelago, One Day in the Life of Ivan Denisovich","KNOWsutra,BLOWsutra","authoritarianism,truth-telling,resistance,philosophy",Spit Back the Lies' is dedicated to Sasha. He survived the Soviet Gulag and then risked his life to document it. The line 'we live not by lies' is the spine of an entire Bananasutra song cycle. He is proof that one writer's refusal to pretend can change history.,"The line separating good and evil passes not through states, nor between classes — but right through every human heart.' | 'We live not by lies.' | 'Violence can only be concealed by a lie, and the lie can only be maintained by violence.'",https://en.wikipedia.org/wiki/Aleksandr_Solzhenitsyn,,Draft,133,M-133,"Spit Back the Lies,We Live Not By Lies",2
Banana Sutra,Banana,Sutra,Fool,,Contemporary,,,,SHOWsutra,"humor/satire,philosophy,absurdity/joy,music,self-reference",,,,,Draft,134,M-134,"AI Fair Use Manifesto,AI Manifesto,Banana Alleluia,""Courage, care, and coconuts"",Dressed In (Nothing Butt) Wonder,Peel Me Kindly,SynthemaSutra,What's F-A-S-C-I-S-T?",8
Charles Tart,Charles,Tart,"Author,Psychologist",US,Contemporary,1937,2025,Altered states of consciousness,,,,,https://en.wikipedia.org/wiki/Charles_Tart,,,156,M-156,Self-Remembering,1
Hunter S. Thompson,Hunter S.,Thompson,"Author,Fool",US,Late 20th C,1937,2005,"Fear and Loathing in Las Vegas, Hell's Angels, The Rum Diary",SHOWsutra,"resistance,humor/satire,truth-telling,counterculture,democracy",,,https://en.wikipedia.org/wiki/Hunter_S._Thompson,,Draft,135,M-135,A Toast To The Good Life,1
