playlist_name,playlist_url,sutra,genres,track_count,total_plays,total_likes,duration_total,artwork_url,SC TRACKS
FLOWsutra where time is space,https://soundcloud.com/bananasutra/sets/sutraflow,FLOWsutra,"BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI",55,26754,341,2:54:38,https://i1.sndcdn.com/artworks-zbyI4lbDpbvjrsBi-cszDDA-t500x500.png,"[15] Jealousy (not for me) - WSWHFN DUB,Where We Begin (one) : BURLESQUEsutra,Absinthe Bliss (Kiss Me Slow) • DUBsutra,Dark (Lace) Rhythms • TANGOsutra,Just Waltz(be) • Jazzy Grinding Waltz • sutraFLOW (v5),Just Grind(ha) • Harmonica Blues Lo-fi • sutraFLOW,Just Gasp(be) • Jazzy DUB Poetry • sutraFLOW (v1),[01] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet JAZZ,[08] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet BURLESQUE,[07] Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Lyrics Fun ⭐︎ FLOWsutra Wet JAZZ,Prickly Peaches (one) • DUB Sutra,[09] Curious Like A Kiss • FLOWsutra Cheeky Duende Arabesk Dub LOFI,[05] Curious Like A Kiss • FLOWsutra La Poesita Flamenco Duende Dub INDIE,[07] Curious Like A Kiss • FLOWsutra Cheeky Duende Gipsy Fusion LOFI,[10] Curious Like A Kiss • FLOWsutra Cheeky Duende Arabesk Dub LOFI,[02] Curious Like A Kiss • FLOWsutra Oh Boy Piano Waltz BURLESQUE,Everybody Knows • FLOWsutra Freedom Magic Cello Prayer INDIE.wav,MAKA MAKA Murica (Kindness Gone Folk),aintdoingbaddoingnothing 💨,Let’s Do It • Public Domain Lyrics • JAZZsutra 1,Let’s Do It • Public Domain Lyrics • JAZZsutra 2,Let’s Do It • Public Domain Lyrics • JAZZsutra 3,making songs like…,""Flow like Water, My Friend"""
BLOWsutra : EGO (gone loco),https://soundcloud.com/bananasutra/sets/knowsutra-ego-gone-loco,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",36,30149,335,2:01:22,https://i1.sndcdn.com/artworks-qfOVhmHG1WJJqjc9-k1w2VA-t500x500.png,"[06] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Psychedelic Bridge Poetry Folk DUB,[05] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Psychedelic Bridge Poetry Folk DUB,[02] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) La Poesita Psychedelic Indie Flamenco DUB,""[12] Hey, Creeps • BLOWsutra Ego Gone Loco Tzigane Fusion LOFI"",""[01] Hey, Creeps • BLOWsutra Ego Gone à la Psychedelic Gipsy Bonobo Cosmic Punk LOFI"",""[13] Hey, Creeps • BLOWsutra Ego Gone Psychedelic Hip Hop Storyteller LOFI"",[02] EGO's masquerade • Tzigane Trip Hop Lo-Fi INDIE,[11] Jolly Poo - Coward Dawgs Gossip but(t) only in your back  - DUBsutra,[01] Male Fantasies • Minimal Vocal JAZZsutra,Where Hope Expires - Queen of Authentic FOLK,Where Hope Expires - dem sed Dub INDIE FOLK,[2] Trust no one - BLOWsutra Udio ROCK,[1] Trust no one - BLOWsutra Suno JAZZ,Side A [03] Secondhand Smoke • BLOWsutra Ego Gone Loco Gipsy Indie Trip Hop LOFI,Side A [01] Secondhand Smoke • BLOWsutra Ego Gone Loco Gipsy Indie Trip Hop LOFI,Side B [03] Arrogant Hearts - BLOWsutra Indie Cello MANTRA,[06] All Lame-Isms (Queen of Authentic) - BLOWsutra FOLK,""[03] Hey, You - BLOWsutra psyPunk ROCK"",Nietzsche’s Gift V.3 • LOFI Jazzz • sutraKNOW,""Hey, You (Creepers) • Fake Folk(s) True Tale • Bananasutra(BLOW) Authentic Imagination Music"""
OUI OUI : Pardon (my French),https://soundcloud.com/bananasutra/sets/oui-oui-pardon-my-french,GROWsutra,"BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI,MANTRA",29,31488,316,1:40:08,https://i1.sndcdn.com/artworks-e0sOW6yRL70L2ZRD-C8tirQ-t500x500.png,"[02] La Force Douce - French GROWsutra Gipsy Flamenco Duende Chanson INDIE,[03] La Force Douce - French GROWsutra Gipsy Flamenco Duende Chanson INDIE,[06] La Force Douce - French GROWsutra Tzigane Peace Soul Fusion LoFi INDIE,[01] Win Win Dub ⚭ French GROWsutra Soulful Hip Hop Ragga DUB,Le P'tit Jupiter • sutraFRENCH • indieJAZZZ Piano LOFI Soul :),""En Vrai, On Est Tous Frères • LOFI BLUES FRENCHsutra"",[01] Secret de Polichinelle - French KNOWsutra Keep It Real Psychedelic Gipsy Circus Accordion BURLESQUE,[05] Secret de Polichinelle - French KNOWsutra Keep It Real Psychedelic Gipsy Circus Indie Chanson BURLESQUE,[03] Le Bal Des Salauds • French BLOWsutra PBGal Chanson BURLESQUE,[04] Le Bal Des Salauds • French BLOWsutra Oh Boy Accordion Circus BURLESQUE,[01] Le Bal Des Salauds • French BLOWsutra Oh My Oh Why Cello Circus INDIE,Side A [15] Oh Martine • BOWsutra La Poesita Fado World Duende INDIE,Side A [12] Oh Martine • BOWsutra La Poesita Fado World Duende INDIE,""[03] Freee, la fille (remastered) • French SHOWsutra Circus Accordion BURLESQUE"",""[08] Freee, La Fille • French SHOWsutra Psychedelic Ragga DUB"",[14] L'Embobinage (d'après Carl Sagan) • French GROWsutra World Peace PsyAccordion POP BURLESQUE 3 INDIE,[09] L'Embobinage (d'après Carl Sagan) • French GROWsutra World Peace Hypnotic Tango Jazz INDIE,[13] L'Embobinage (d'après Carl Sagan) • French GROWsutra World Peace Miss Cheeky DUB,[02] L'Embobinage (d'après Carl Sagan) • French GROWsutra World Peace CelLOFI,[05] L'Embobinage (d'après Carl Sagan) • French GROWsutra World Peace Tzigane Fusion INDIE,[11] L'Embobinage (d'après Carl Sagan) • French GROWsutra World Peace La Poesita Flamenco INDIE DUB,[15] L'Embobinage (d'après Carl Sagan) • French GROWsutra World Peace PsyAccordion POP BURLESQUE INDIE"
Questions for the (kind) POPE in the Sky,https://soundcloud.com/bananasutra/sets/questions-for-the-pope-in-the-sky,KNOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",98,34099,302,5:01:39,https://i1.sndcdn.com/artworks-AW1E67BzmypJfRI1-6hZzEg-t500x500.png,"[04] Reason over Reverence - They said bow down but we rise 2 - DUBsutra,[01] Question Di Kingdom - Dub's the Path (Truth is the riddim) - Ragga DUBsutra,[02] Question Di Kingdom - Dub's the Path (Truth is the riddim) - DUBsutra,""[08] Why Trust an Old, Mean Religion AD2 Soul INDIE"",[2] Make your Own Bible - pbgal Burlesque LOFI,""Pro-Life Means What, Honey • Jazzy Mantra DUBsutra (2)"",[2] Waldo's Fascist Tango - HATjazz BURLESQUE,[3] Question Di Kingdom (2) • RAGGAsutra,[4] Question Di Kingdom (1) • RAGGAsutrawav,[8] Reason fi di win • RAGGAsutra,[5] Dubbin' for Freedom • DUBsutra,[15] Queer Almighty - Drum Mantra DUBsutra,[06] Queer Almighty - Queer Enough to Cabaret - BANJOsutra,[08] Queer Almighty - Tell me why - FOLK BANJOsutra,[01] Queer Almighty - Folk BANJOsutra,[05] Queer Almighty - Jazzy Queer Almighty - BLUESy BANJOsutra,[7] Your rules don’t apply to me • Indie MANTRAsutra,[4] Shush the Bull Bro (Please) • DUBsutra,#5 Hard Core : Honey BLUESutra,#4 Hard Core : Burlesque Honeysutra,#1 Hard Core : Honey JAZZsutra"
FOLKsutra,https://soundcloud.com/bananasutra/sets/folksutra,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI",121,38435,401,6:36:53,https://i1.sndcdn.com/artworks-XITSzbW3Jfw7E2Bb-d1yIpQ-t500x500.png,"Side B [15] If We Had But(t) The Truth • BLOWsutra (Censored) Gipsy Psychedelia Accordion Cello Indie FOLK,Side B [07] Revolution's Lit (This Ain't Fiction) - BLOWsutra Revolt Now Bluesy Psychedelic Americana Banjo FOLK,[03] Cassandra's Lullaby • World Reckoning INDIE FOLK,[18] Who Knows Where How Happiness Truly Grows • DUENDE FOLK,[10] SS Means Sacred Sp3rm • Oh Baby FOLK,""[02] Courage, Care, and Coconuts (Kindness is Clear more than Nice) - Dreamy Indie FOLKsutra"",RUN v2 - Duende Amoris FOLK,Where Hope Expires - Queen of Authentic FOLK,Where Hope Expires - dem sed Dub INDIE FOLK,The Dystopian Quizz Song v3-2 ★ Blues Circus SOULsutra,[13] Mass Media Freakshow - McKenna's Folk,Woke-N-Whack-A-Musk ☆ BLUESsutra (2),Mind the Felon (two) • FOLKsutra,Just Gasp(be) • Jazzy DUB Poetry • sutraFLOW (v1),""Genius, You See V.1 • Indie Jazz Folk Lullaby  • sutraKNOW inspired by Albert Einstein"",""[07] They Call It Freedom (Oh Hi, Sweet Honey Bun) • BLOWsutra  (Revolt Now) Psychedelic Dubby Americana Indie LoFi FOLK"",""En Vrai, On Est Tous Frères • LOFI BLUES FRENCHsutra"",""[01] Rise Up, You Naked People (Freedom Rings) - BLOWsutra Victor Hugo Revolution Ring FOLK"",[01] Reason over Reverence (No Need for Gods) • Banjo Blues FOLKsutra,[8] How do kids learn • DRUM FOLKsutra,""Side B [12] No Fear, My Dear • BLOWsutra Revolt Now Dubby Bluesy Jazzy Psychedelic Chanson Piano FOLK"",""Side B [13] No Fear, My Dear • BLOWsutra Revolt Now Dubby Psychedelic FOLK"",[06] All Lame-Isms (Queen of Authentic) - BLOWsutra FOLK,[01] DO PANIC NOW - Murica Galaxy Rule Number 1 - Sweet FOLK,[04] If We Had But(t) The Truth (Not The Quack) - Blues FOLKsutra,Kindness (single) VOL. 04,MAKA MAKA Murica (Kindness Gone Folk),Where Hope Expires • Folk BANJOsutra,[5] MAHA • Make America Humane Again • Authentic Banjo FOLKsutra,Shady Fools • FOLKsutra,Project 2-0-2-5 • Dummy FOLKsutra,(what u) think about? • (introvert) FOLKsutra,#3 The Quest of an Unyielding Star (v2) • Jacques Brel Remake • Bananasutra Jazz,#2 The Quest of an Unyielding Star (v3) • Jacques Brel Remake • Bananasutra Jazz,""Hey, You (Creepers) • Fake Folk(s) True Tale • Bananasutra(BLOW) Authentic Imagination Music"""
KNOWsutra : PEACE (not War),https://soundcloud.com/bananasutra/sets/knowsutra-peace-not-war,GROWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA",36,43828,450,2:08:12,https://i1.sndcdn.com/artworks-0YzGiltzEidfTrxR-osiLXg-t500x500.png,"[02] Foolish Goldfish (Forever) • KNOWsutra Peace (Not War) La Poesita Psychedelic Cello Dub INDIE,[05] Foolish Goldfish (Forever) • KNOWsutra Peace (Not War) Psychedelic Poetry Dubs The Bridge DUB,[01] Foolish Goldfish (Forever) • KNOWsutra Peace (Not War) Mama-b-c Psychedelic Cello Dream INDIE,[23] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI,[39] Letter to My Friend (Never Again) • GROWsutra PsyDestiny Banjo BLUES,[19] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI,[27] Letter to My Friend (Never Again) • GROWsutra Jazzy Hop Storyteller LOFI 02,[31] Letter to My Friend (Never Again) • GROWsutra She Wanna Know PsyBass Circus JAZZ,[21] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI,[18] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI,[15] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE,[08] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE,[12] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE,[17] Letter to My Friend (Never Again) • Gipsy Peace Duende Soul Fusion INDIE LOFI,[01] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE,[16] The Love Of A Dove - GROWsutra Dem Sed Psychedelic Ragga DUB,[08] The Love Of A Dove - GROWsutra Only The Brave PsyBluegrass Dubby BLUES,[02] The Love Of A Dove - GROWsutra Duende Amoris Fado Fiddle INDIE,[14] The Love Of A Dove - GROWsutra Feel Di Riddim Psychedelic Ragga DUB,[09] The Love Of A Dove - GROWsutra Queen of Authentic Dubby Psychedelic BLUES,[11] The Love Of A Dove - GROWsutra Psychedelic Destiny BLUES,[11] Cassandra's Lullaby • Jewish Drum Indie Jazz MANTRA,[06] Cassandra's Lullaby • Jewish World INDIE FOLK,[03] Cassandra's Lullaby • World Reckoning INDIE FOLK,Predators (why Kids Are Allowed To Die) • CELLOsutra,[01] Trauma Begets Trauma • KNOWsutra Whimsical Gipsy Peace Kitten Dream Piano INDIE,[05] Peace Matters More - GROWsutra Gipsy DUB JAZZ,[02] Peace Matters More - GROWsutra Gipsy Burlesque INDIE,Predators (always Inspired) 5,Predators (always Inspired) 4"
BANJOsutra,https://soundcloud.com/bananasutra/sets/banjosutra,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",141,47122,389,7:21:36,https://i1.sndcdn.com/artworks-iPtXxjIVQyjzpElZ-rzZZyw-t500x500.png,"Side A [04] CREEPYPASTA • SHOWsutra Hide Yo Pets Bluegrass BANJO,[02] Because the Fight ⭐︎ MellO BANJOsutra,[06] I Wanted to Be the Poem - Bluesy Burlesque JAZZ,Wet Peaches • Blues BANJOsutra,""Ooh, Freedom ♛ BLUESsutra Soul (Public Domain Heavens)"",Poetry Matters (1) ☰ BANJOsutra dream,Tell the Truth : BANJOsutra,""New Normalcy, Space Oddity ☰ BANJOsutra"",""#1 Hold the Mic, Babe ☰ BANJOsutra Vocal Hug"",""#3 Hold the Mic, Babe ☰ BANJOsutra Hug for Ya, Babe"",Just Grind(ha) • Harmonica Blues Lo-fi • sutraFLOW,""En Vrai, On Est Tous Frères • LOFI BLUES FRENCHsutra"",[10] MASA (Make America Safe Again) • QUACKsutra Psychedelic Booya Country BANJO,[06] MASA (Make America Safe Again) • QUACKsutra Psychedelic BANJO BLUES,[07] MASA (Make America Safe Again) • QUACKsutra Psychedelic BANJO BLUES,[01] MASA (Make America Safe Again) • QUACKsutra Psychedelic DUB BANJO,[01] Reason over Reverence (No Need for Gods) • Banjo Blues FOLKsutra,[6] Shades of Fools • All I know is I dunno • Fastass BANJOsutra,""[06] FOTUS Circus VOL. 04 • Step Right Up, for Plastic Straws • Banjo QUACKsutra"",[06] Queer Almighty - Queer Enough to Cabaret - BANJOsutra,[08] Queer Almighty - Tell me why - FOLK BANJOsutra,[01] Queer Almighty - Folk BANJOsutra,[05] Queer Almighty - Jazzy Queer Almighty - BLUESy BANJOsutra,[01] Dressed in Wonder • psyBLUES BANJOsutra,[4] MAKA MAKA - Oh Hey Folk BANJOsutra,Where Hope Expires • Folk BANJOsutra,[7] MAHA • Make America Humane Again • Booya BANJOsutra,MAWA MAWA • Make America Woke Again • Banger BANJOsutra,The Tyranny of Ignorance : BANJOsutra (Single Duck Release),Kamala has a dream (and that duck just blows) • bananasutraBLUES,Rainbows in my Cloud (Merci) • Banjo Folk Gratitude Song • Bananasutra(GLOW)"
"FRENCHsutra oui oui, sacrebleu",https://soundcloud.com/bananasutra/sets/sutrafrench,GROWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA",108,52655,515,5:54:58,https://i1.sndcdn.com/artworks-e0sOW6yRL70L2ZRD-C8tirQ-t500x500.png,
GLOWsutra where gratitude feeds,https://soundcloud.com/bananasutra/sets/sutraglow,GLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",136,72712,777,7:27:08,https://i1.sndcdn.com/artworks-RvPg90tJzDpSlPKh-ns1cUw-t500x500.png,"[06] Tune in the Tender • Jazzy DUBsutra,[02] Tune in the Tender • LOFI JAZZsutra,[07] Tune in the Tender • Cello INDIEsutra,[01] Tune in the Tender • LOFI BLUESsutra,[03] Poetry Nah Lie - Ragga DUBsutra,[06] Poetry Nah Lie - Ragga DUBsutra,[02] Poetry Nah Lie - Ragga DUBsutra,[01] Poetry Nah Lie - Ragga DUBsutra,[05] Poetry Slow Burns - Sweet DUBsutra,[03] Poetry Slow Burns - DUBsutra,[02] Poetry Slow Burns - DUBsutra,[01] Poetry Slow Burns  - Gold DUBsutra,[03] Poetry Duende - DUBsutra,[01] Poetry Duende - DUBsutra,[06] La Poesia Importa 2 (low) - Psy JAZZsutra,[03] La Poesia Importa - Oh Lordy DUBsutra,Poetry Matters • LOFI DUBsutra,Poetry Matters (1) ☰ BANJOsutra dream,""En Vrai, On Est Tous Frères • LOFI BLUES FRENCHsutra"",[04] Rainbows in the Clouds • GLOWsutra Gipsy Jazz Conscious Fusion LOFI,[09] Rainbows in the Clouds • GLOWsutra Maya Mama Classic BLUES,[12] Rainbows in the Clouds • GLOWsutra Maya Mama Classic BLUES,[02] Rainbows in the Clouds • GLOWsutra Gipsy Jazz Conscious Fusion LOFI,[01] Rainbows in the Clouds • GLOWsutra Folk Poetry Dubs the DUB,[08] Rainbows in the Clouds • GLOWsutra Queen of Authentic Dubby Folk Classic BLUES,[05] Rainbows in the Clouds • GLOWsutra Gipsy Jazz Conscious Fusion LOFI,[01] Jacques Brel - French GLOWsutra Oh Boy Accordion Circus Waltz Chanson BURLESQUE,[07] Jacques Brel - French GLOWsutra Psychedelic Circus Cello Chanson INDIE,[04] My Quest • To dream an impossible dream with Jacques Brel • GLOWsutra Psychedelic Muse DUB,[01] My Quest • To dream an impossible dream • GLOWsutra Psychedelic Cello Lullaby INDIE,[08] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Psychedelic Folk Bridges the DUB,[15] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Psychedelic Destiny Banjo Soul BLUES,[14] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Psychedelic Indie Cello Cabaret BURLESQUE,[04] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Indie Gipsy Fusion LOFI,[16] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Psychedelic Destiny Banjo Soul BLUES,[09] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Psychedelic Folk Bridges the DUB,[06] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Psychedelic Folk Bridges the DUB,[07] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Psychedelic Folk Bridges the DUB,[03] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Indie Gipsy Fusion LOFI,[01] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Ethically Gipsy JAZZ,[01] Awe Is Mighty (Maybe Even Holy) - GLOWsutra Conscious Indie trip Hop(e) Blues Lullaby LOFI,[02] Awe Is Mighty (Maybe Even Holy) - GLOWsutra Psychedelic Folk Circus Dreamy Drum Indie MANTRA,[01] Creo (la poesia) - Arabesk Flamenco,[04] Creo - Cello Accordion Psychedelic Circus 1,[03] Creo (la poesia) - Contrabass Guitar Classico,[06] Creo - Muse DUBsutra,[02] Creo (la poesia) - Arabesk Fado,MAKA MAKA Murica (Kindness Gone Folk),(what u) think about? • (introvert) FOLKsutra,She Wears the Words • JAZZsutra Mighty Poetry Minute,#3 The Quest of an Unyielding Star (v2) • Jacques Brel Remake • Bananasutra Jazz,#2 The Quest of an Unyielding Star (v3) • Jacques Brel Remake • Bananasutra Jazz,#1 The Quest • Jacques Brel Remake • Bananasutra French Accordion,Rainbows in my Cloud (Merci) • Banjo Folk Gratitude Song • Bananasutra(GLOW),Kindness • Universal Jazz Cabaret of Blues Chanson • Bananasutra(GROW)"
SHOWsutra where bananas play,https://soundcloud.com/bananasutra/sets/sutrashow-where-bananas-get,SHOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK",241,86392,835,13:43:02,https://i1.sndcdn.com/artworks-QRaUbtlHanDIuOON-8Hr9pg-t500x500.png,"[12] Gladys in Sonderland • SHOWsutra Psychedelic Gipsy Cello Waltz BURLESQUE,[10] Gladys in Sonderland • SHOWsutra Psychedelic Gipsy Cello Waltz INDIE BURLESQUE,[06] Gladys in Sonderland • SHOWsutra Psychedelic Gipsy Cello Waltz Breathing BURLESQUE,[11] Gladys in Sonderland • SHOWsutra Psychedelic Gipsy Accordion Circus Waltz BURLESQUE,[04] Gladys in Sonderland • SHOWsutra Psychedelic Gentle Gipsy Piano Cello Accordion Waltz Cameo BURLESQUE,Side B [02] CREEPYPASTA • SHOWsutra Trip Storyteller LOFI,Side B [01] CREEPYPASTA • SHOWsutra Trip Storyteller LOFI,Side A [04] CREEPYPASTA • SHOWsutra Hide Yo Pets Bluegrass BANJO,""[08] Hi, My Name Is (Not Céline Dion) - SHOWsutra Gipsy Fusion Trip Hop World LOFI"",""[02] Hi, My Name Is (Not Céline Dion) - SHOWsutra Gipsy Fusion Trip Hop World LOFI"",""[11] Hi, My Name Is (Not Celine Dion) • SHOWsutra Cello Circus Waltz BURLESQUE"",[05] Blessed Be The Dogs • SHOWsutra Post-Punk Burlesque ROCK,[1] Who Needs a Big D? OG BURLESQUE,Wet Peaches • Blues BANJOsutra,Some Songs Are More JAZZ Than Others : JAZZsutra,Some Songs Are More POOH Than Others : DUBsutra,Side B [10] READ ME HARDER (BB for Banned Books) - SHOWsutra She Wanna Know Jazzy LoFi Indie DUB,Side B [04] READ ME HARDER (BB for Banned Books) - SHOWsutra Psychedelic Destiny Banjo BLUES,Side A [06] READ ME HARDER (BB is for Banned Books) - SHOWsutra Gypsy Hip Hop Rebellion BURLESQUE,Side A [03] BB is for Banned Books - SHOWsutra Gypsy Hip Hop Fusion BURLESQUE,Side A [05] READ ME HARDER (BB is for Banned Books) - SHOWsutra Gypsy Hip Hop Rebellion BURLESQUE,[29] The Great Naked King • SHOWsutra Psychedelick Hillbilly Hop Pop Blues Banjo LOFI,[26] The Great Naked King • SHOWsutra Psychedelick Hillbilly Hop Pop Indie Blues Banjo LOFI,[17] The Great Naked King • SHOWsutra Psychedelick Cabaret Jazz Swing BURLESQUE,[18] The Great Naked King • SHOWsutra Psychedelick Cabaret Gipsy Swing BURLESQUE,[22] The Great Naked King • SHOWsutra Psychedelick Hop Pop Piano Jazz LOFI,[11] The Great Naked King • SHOWsutra Psychedelick Circus Accordion Waltz BURLESQUE,[07] The Great Naked King • SHOWsutra Psychedelick French Accordion Cello Tango JAZZ,""[03] Nice Work If You Can Get It - An American in Paris, Public Domain Lyrics - SHOWsutra Indie JAZZ"",""[04] Embraceable You - An American in Paris, Public Domain Lyrics - SHOWsutra Indie Jazz DUB"",""[05] Tra-La-La - An American in Paris, Public Domain Lyrics - SHOWsutra Indie Jazz DUB"",Side A [02] Donkeys Years • SHOWsutra Fanana Club Gipsy La Poesita Cabaret Dub INDIE,Side B [18] Donkeys Years • SHOWsutra Fanana Club Gipsy Oh Boy Accordion Circus Waltz BURLESQUE,Side A [06] Donkeys Years • SHOWsutra Fanana Club Gipsy Cabaret Indie LOFI,Side A [09] Donkeys Years • SHOWsutra Fanana Club Gipsy Cabaret Indie Cello LOFI,Side B [17] Donkeys Years • SHOWsutra Fanana Club Psychedelic Gipsy IBYN Cabaret Rock BURLESQUE,Side A [01] Donkeys Years • SHOWsutra Fanana Club Gipsy Flamenco Cabaret Dub INDIE,Side B [13] Donkeys Years • SHOWsutra Fanana Club Gipsy Piano Kitten Cabaret Burlesque JAZZ,[04] Peel Me Kindly • FLOWsutra Gone Banana Joke Gipsy JAZZ,[05] Peel Me Kindly • FLOWsutra Gone Banana Joke Gipsy JAZZ,[02] Peel Me Kindly • FLOWsutra Gone Banana Joke Gipsy JAZZ,[01] Peel Me Kindly • FLOWsutra Gone Banana Joke Gipsy JAZZ,[02] Synthema Sutras - SHOWsutra Banana Tzigane Conscious Soul Fusion Indie LOFI,[08] Synthema Sutras - SHOWsutra Banana Psychedelic Burlesque Indie Punk ROCK,[04] Synthema Sutras - SHOWsutra Banana Jazzy Bass Indie Cello Fusion DUB,""[09] Freee, La Fille • French SHOWsutra Psychedelic Ragga DUB"",""[03] Freee, la fille (remastered) • French SHOWsutra Circus Accordion BURLESQUE"",""[08] Freee, La Fille • French SHOWsutra Psychedelic Ragga DUB"",[15] Oh My Cha Cha Cha • Accordion BURLESQUEsutra,[01] Dressed in Wonder • psyBLUES BANJOsutra,i did the math and everything is stupid • DRUMsutra.wav,""Hi, my name is (not Celine Dion) • Hip Pop Jazz, Quirky Stuff, a true story • Bananasutra(SHOW)"""
