rank,genre,track_title,sutra,duration,play_count,like_count,playlist_count,score,secondary_genres,ep_title,sc_url
9,INDIE,[03] Spit Back The Lies • BLOWsutra (Revolution Ring) Mama-b-c Psychedelic Cello Fusion INDIE,BLOWsutra,3:49,1714,26,2,3214,,Spit Back The Lies • BLOWsutra (Revolution Ring) EPx20,https://soundcloud.com/bananasutra/03-spit-back-the-lies-blowsutra-revolution-ring-mama-b-c-psychedelic-cello-fusion-indie-3
10,INDIE,[02] La Force Douce - French GROWsutra Gipsy Flamenco Duende Chanson INDIE,GROWsutra,3:46,1869,14,5,3069,LOFI,La Force Douce EPx7 ✪ French GROWsutra World Peace Duende LoFi Indie Fusion,https://soundcloud.com/bananasutra/02-la-force-douce-french-growsutra-gipsy-flamenco-duende-chanson-indie-2
11,INDIE,[06] This Is My Quest • GROWsutra Psychedelic Gipsy Techno Fado Flamenco Duende INDIE,GLOWsutra,4:25,2399,9,2,3049,,This Is My Quest • GROWsutra (Dare to Care) Dream EPx19,https://soundcloud.com/bananasutra/06-this-is-my-quest-growsutra-psychedelic-gipsy-techno-fado-flamenco-duende-indie-6
12,INDIE,[08] What Dissent Looks Like Now • BLOWsutra Post-Punk Gipsy Trip Hop Lo-Fi Burlesque INDIE,BLOWsutra,4:11,2148,14,2,3048,BURLESQUE,This Is What Dissent Looks Like Now - BLOWsutra (Revolution Ring) Jazz Indie LoFi Dream,https://soundcloud.com/bananasutra/08-what-dissent-looks-like-now-blowsutra-post-punk-gipsy-trip-hop-lo-fi-burlesque-indie-8
13,INDIE,[01] Le Bal Des Salauds • French BLOWsutra Oh My Oh Why Cello Circus INDIE,BLOWsutra,4:49,1585,25,2,3035,,Le Bal Des Salauds - French BLOWsutra Indie Gipsy Burlesque EPx9,https://soundcloud.com/bananasutra/01-le-bal-des-salauds-french-blowsutra-oh-my-oh-why-cello-circus-indie-1
14,INDIE,[04] We Live Not By Lies - GROWsutra Psychedelic Piano Cello INDIE,GROWsutra,3:06,1756,19,3,3006,,We Live Not By Lies ⚬ EPx12 ⚬ GROWsutra Revolution Ring,https://soundcloud.com/bananasutra/04-we-live-not-by-lies-growsutra-psychedelic-piano-cello-indie-4
15,INDIE,[10] What Dissent Looks Like Now • BLOWsutra Post-Punk Gipsy Trip Hop Lo-Fi Burlesque INDIE,BLOWsutra,4:06,2244,10,2,2944,"BURLESQUE,LOFI",This Is What Dissent Looks Like Now - BLOWsutra (Revolution Ring) Jazz Indie LoFi Dream,https://soundcloud.com/bananasutra/10-what-dissent-looks-like-now-blowsutra-post-punk-gipsy-trip-hop-lo-fi-burlesque-indie-10
16,INDIE,[14] L'Embobinage (d'après Carl Sagan) • French GROWsutra World Peace PsyAccordion POP BURLESQUE 3 INDIE,BLOWsutra,2:50,1746,13,5,2896,BURLESQUE,L'Embobinage (d'après Carl Sagan) • French GROWsutra EPx17,https://soundcloud.com/bananasutra/14-lembobinage-dapres-carl-sagan-french-growsutra-world-peace-psyaccordion-pop-burlesque-3-indie-14
17,INDIE,[13] Zero Sum • GROWsutra Psychedelick Gipsy Flamenco Techno Fusion INDIE,GROWsutra,3:22,1517,23,2,2867,,Zero Sum (Zero Sean) • GROWsutra (Dare to Care) EPx22,https://soundcloud.com/bananasutra/13-zero-sum-growsutra-psychedelick-gipsy-flamenco-techno-fusion-indie-13
18,INDIE,Side A [12] Oh Martine • BOWsutra La Poesita Fado World Duende INDIE,BOWsutra,2:58,1643,15,4,2793,,Oh · Martine ❃ French GLOW+BOWsutra ❃ Side A+B EPx28,https://soundcloud.com/bananasutra/side-a-12-oh-martine-bowsutra-la-poesita-fado-world-duende-indie-12
19,INDIE,[02] Why We Can't Be Brave - GROWsutra (Censored) Psychedelic Cello Drama Duende Dream INDIE,GROWsutra,4:13,1633,19,2,2783,,Why We Can't Be Brave? ☷ GROWsutra (Censored) Cello EPx8,https://soundcloud.com/bananasutra/02-why-we-cant-be-brave-growsutra-censored-psychedelic-cello-drama-duende-dream-indie-2
20,INDIE,[15] Letter to My Friend (Never Again) - GROWsutra Tzigane Arabesk Soul Peace Fusion Gipsy INDIE,KNOWsutra,3:15,1683,18,2,2783,MANTRA,A Letter to My Friend (Never Again) EPx44 ☮ GROWsutra World Peace Mantra,https://soundcloud.com/bananasutra/15-letter-to-my-friend-never-again-growsutra-tzigane-arabesk-soul-peace-fusion-gipsy-indie-15
1,BURLESQUE,[11] The Great Naked King • SHOWsutra Psychedelick Circus Accordion Waltz BURLESQUE,SHOWsutra,3:51,2405,53,2,5255,,The Great Naked King • SHOWsutra Psychedelick Fools Cabaret EPx30,https://soundcloud.com/bananasutra/11-the-great-naked-king-showsutra-psychedelick-circus-accordion-waltz-burlesque-11
2,BURLESQUE,[03] Bloom Past Doom - BLOWsutra (Revolt Now) Cello Circus Chanson Cabaret BURLESQUE,BLOWsutra,2:53,2880,29,4,4730,,Bloom Past Doom (Apes Gone Wrong Series) EPx5 - BLOWsutra (Revolt Now)  Grassroots Hope Song,https://soundcloud.com/bananasutra/03-bloom-past-doom-apes-gone-wrong-blowsutra-revolt-now-cello-circus-chanson-cabaret-burlesque-4
3,BURLESQUE,Side B [16] If We Had But(t) The Truth • BLOWsutra (Censored) PsyPunk Rock Cabaret BURLESQUE,BLOWsutra,3:44,2771,27,4,4521,ROCK,If We Had But(t) The Truth • Vol. 2 EPx22 • BLOWsutra (Censored) Epstein Etcetera Soundtrack,https://soundcloud.com/bananasutra/side-b-16-if-we-had-butt-the-truth-blowsutra-censored-psypunk-rock-cabaret-burlesque-16
4,BURLESQUE,[18] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Post-Punk Psychedelic IBYN Rock BURLESQUE,BLOWsutra,4:48,2534,29,2,4184,ROCK,Ego Ain't Your Amigo • Vol. 2 · EPx21 • BLOWsutra (Ego Gone Loco)  Dub LoFi Burlesque,https://soundcloud.com/bananasutra/18-ego-aint-your-amigo-blowsutra-ego-gone-loco-post-punk-psychedelic-ibyn-rock-burlesque-18
5,BURLESQUE,[04] I Did the Math (and Everything is Stupid) • SHOWsutra Indie Chanson Gipsy BURLESQUE,SHOWsutra,3:15,2467,31,1,4117,INDIE,I Did the Math · and Everything is Stupid • SHOWsutra Snoopy Fanana Club EPx11,https://soundcloud.com/bananasutra/04-i-did-the-math-and-everything-is-stupid-showsutra-indie-chanson-gipsy-burlesque-4
6,BURLESQUE,[02] Time for Rebel Romance ☆ BLOWsutra (Revolt Now) Oh Boy Psychedelic Accordion Circus BURLESQUE,BLOWsutra,2:28,2622,17,3,3772,,Time for Rebel Romance ☆ EPx6 ☆ BLOWsutra (Revolt Now) Cabaret,https://soundcloud.com/bananasutra/02-time-for-rebel-romance-blowsutra-revolt-now-oh-boy-psychedelic-accordion-circus-burlesque-2
7,BURLESQUE,[04] Peace Matters More - GROWsutra Gipsy Circus BURLESQUE,KNOWsutra,4:55,2323,21,2,3573,,Peace Matters More (The Only Wish Worth Making) 🪽 GROWsutra Birthday Wish Song,https://soundcloud.com/bananasutra/04-peace-matters-more-growsutra-gipsy-circus-burlesque-4
8,BURLESQUE,[04] Time for Rebel Romance ☆ BLOWsutra (Revolt Now) IBYN Psychedelic Piano Jazz BURLESQUE,BLOWsutra,3:27,2461,13,3,3411,JAZZ,Time for Rebel Romance ☆ EPx6 ☆ BLOWsutra (Revolt Now) Cabaret,https://soundcloud.com/bananasutra/04-time-for-rebel-romance-blowsutra-revolt-now-ibyn-psychedelic-piano-jazz-burlesque-4
9,BURLESQUE,[01] Time for Rebel Romance ☆ BLOWsutra (Revolt Now) Oh Boy Psychedelic Accordion Circus BURLESQUE,BLOWsutra,3:24,1813,16,5,3113,,Time for Rebel Romance ☆ EPx6 ☆ BLOWsutra (Revolt Now) Cabaret,https://soundcloud.com/bananasutra/01-time-for-rebel-romance-blowsutra-revolt-now-oh-boy-psychedelic-accordion-circus-burlesque-1
10,BURLESQUE,Side B [18] Donkeys Years • SHOWsutra Fanana Club Gipsy Oh Boy Accordion Circus Waltz BURLESQUE,GLOWsutra,3:44,1816,21,2,3066,,Donkeys Years - SHOWsutra Fanana Club Gratitude EPx20,https://soundcloud.com/bananasutra/side-b-18-donkeys-years-showsutra-fanana-club-gipsy-oh-boy-accordion-circus-waltz-burlesque-18
11,BURLESQUE,[04] Le Bal Des Salauds • French BLOWsutra Oh Boy Accordion Circus BURLESQUE,BLOWsutra,4:19,1685,20,3,2985,,Le Bal Des Salauds - French BLOWsutra Indie Gipsy Burlesque EPx9,https://soundcloud.com/bananasutra/04-le-bal-des-salauds-french-blowsutra-oh-boy-accordion-circus-burlesque-4
12,BURLESQUE,"[03] Freee, la fille (remastered) • French SHOWsutra Circus Accordion BURLESQUE",FLOWsutra,4:14,1690,17,4,2940,,Freee · La Fille • French SHOWsutra Psychedelic EPx10,https://soundcloud.com/bananasutra/03-freee-la-fille-remastered-french-showsutra-circus-accordion-burlesque-3
13,BURLESQUE,[05] Secret de Polichinelle - French KNOWsutra Keep It Real Psychedelic Gipsy Circus Indie Chanson BURLESQUE,BLOWsutra,3:21,1753,16,3,2853,,Secret de Polichinelle 🎪 French EPx10 🎪 KNOWsutra Psychedelic Gipsy Circus,https://soundcloud.com/bananasutra/05-secret-de-polichinelle-french-knowsutra-keep-it-real-psychedelic-gipsy-circus-indie-chanson-burlesque-5
14,BURLESQUE,#1 The Quest • Jacques Brel Remake • Bananasutra French Accordion,GLOWsutra,3:05,1691,16,3,2791,,To Dream EP X8 | Jacques Brel Chanson Reimagined : Psychedelic French Poetry JAZZsutra X5,https://soundcloud.com/bananasutra/1-the-quest-o-jacques-brel
15,BURLESQUE,[06] Gladys in Sonderland • SHOWsutra Psychedelic Gipsy Cello Waltz Breathing BURLESQUE,SHOWsutra,4:47,1541,18,3,2741,,Gladys in Sonderland EPx14 • SHOWsutra Psychedelic Gipsy Dream,https://soundcloud.com/bananasutra/06-gladys-in-sonderland-showsutra-psychedelic-gipsy-cello-waltz-breathing-burlesque-6
16,BURLESQUE,"[04] Seminal Bollocks - GROWsutra (God, Etc) French Accordion Psychedelia BURLESQUE",GROWsutra,3:50,2020,10,2,2720,,Seminal Bollocks - Merry Psychedelic GROWsutra (God Etc.) EPx10,https://soundcloud.com/bananasutra/04-seminal-bollocks-growsutra-god-etc-french-accordion-psychedelia-burlesque-4
17,BURLESQUE,Side B [17] Donkeys Years • SHOWsutra Fanana Club Psychedelic Gipsy IBYN Cabaret Rock BURLESQUE,GLOWsutra,2:34,1648,13,2,2498,ROCK,Donkeys Years - SHOWsutra Fanana Club Gratitude EPx20,https://soundcloud.com/bananasutra/side-b-17-donkeys-years-showsutra-fanana-club-psychedelic-gipsy-ibyn-cabaret-rock-burlesque-17
18,BURLESQUE,[06] Secret de Polichinelle - French KNOWsutra Keep It Real Psychedelic Gipsy Circus Indie Chanson BURLESQUE,BLOWsutra,3:02,1583,13,2,2433,INDIE,Secret de Polichinelle 🎪 French EPx10 🎪 KNOWsutra Psychedelic Gipsy Circus,https://soundcloud.com/bananasutra/06-secret-de-polichinelle-french-knowsutra-keep-it-real-psychedelic-gipsy-circus-indie-chanson-burlesque-6
19,BURLESQUE,[15] L'Embobinage (d'après Carl Sagan) • French GROWsutra World Peace PsyAccordion POP BURLESQUE INDIE,BLOWsutra,3:09,1381,13,4,2431,INDIE,L'Embobinage (d'après Carl Sagan) • French GROWsutra EPx17,https://soundcloud.com/bananasutra/15-lembobinage-dapres-carl-sagan-french-growsutra-world-peace-psyaccordion-pop-burlesque-indie-15
20,BURLESQUE,Side A [03] BB is for Banned Books - SHOWsutra Gypsy Hip Hop Fusion BURLESQUE,BLOWsutra,2:25,1529,12,3,2429,,Read Me Harder (BB is for Banned Books) ☆ SHOWsutra Side A+B EPx19,https://soundcloud.com/bananasutra/side-a-03-bb-is-for-banned-books-showsutra-gypsy-hip-hop-fusion-burlesque-3
1,BLUES,[08] Tell The Truth • KNOWsutra True BLUES Cover,KNOWsutra,4:31,6901,165,3,15451,,Tell The Truth (encore) KNOWsutra EPx9 Vol. 04,https://soundcloud.com/bananasutra/08-tell-the-truth-knowsutra-true-blues-cover-8
2,BLUES,[11] The Love Of A Dove - GROWsutra Psychedelic Destiny BLUES,KNOWsutra,3:46,3471,62,3,6871,,The Love of a Dove ☩ EPx18 ☩ GROWsutra Peace Fusion Prayer,https://soundcloud.com/bananasutra/11-the-love-of-a-dove-growsutra-psychedelic-destiny-blues-11
3,BLUES,[03] The Echo Song - Vladimir Vysotsky Cover - Russian BLOWsutra Classic Psychedelic Banjo BLUES,BLOWsutra,3:37,2098,24,3,3598,,The Echo Song ☭ Russian EPx3 ☭ Gipsy BLOWsutra LoFi Blues (Vladimir Vysotsky Cover),https://soundcloud.com/bananasutra/03-the-echo-song-vladimir-vysotsky-cover-russian-blowsutra-classic-psychedelic-banjo-blues-3
4,BLUES,[08] Rainbows in the Clouds • GLOWsutra Queen of Authentic Dubby Folk Classic BLUES,GLOWsutra,3:54,1804,28,3,3504,FOLK,Rainbows in the Clouds • GLOWsutra Dub LoFi Blues,https://soundcloud.com/bananasutra/08-rainbows-in-the-clouds-glowsutra-queen-of-authentic-dubby-folk-classic-blues-8
5,BLUES,[20] Spit Back The Lies • BLOWsutra (Revolution Ring) Psychedelic Destiny Banjo BLUES,BLOWsutra,3:15,1712,28,2,3312,,Spit Back The Lies • BLOWsutra (Revolution Ring) EPx20,https://soundcloud.com/bananasutra/20-spit-back-the-lies-blowsutra-revolution-ring-psychedelic-destiny-banjo-blues-20
6,BLUES,[09] The Love Of A Dove - GROWsutra Queen of Authentic Dubby Psychedelic BLUES,KNOWsutra,3:21,1964,17,3,3114,,The Love of a Dove ☩ EPx18 ☩ GROWsutra Peace Fusion Prayer,https://soundcloud.com/bananasutra/09-the-love-of-a-dove-growsutra-queen-of-authentic-dubby-psychedelic-blues-9
7,BLUES,Kindness • Universal Jazz Cabaret of Blues Chanson • Bananasutra(GROW),GROWsutra,4:00,1837,14,5,3037,,,https://soundcloud.com/bananasutra/kindness-oh-kindness
8,BLUES,[08] The Love Of A Dove - GROWsutra Only The Brave PsyBluegrass Dubby BLUES,KNOWsutra,3:23,1612,22,3,3012,,The Love of a Dove ☩ EPx18 ☩ GROWsutra Peace Fusion Prayer,https://soundcloud.com/bananasutra/08-the-love-of-a-dove-growsutra-only-the-brave-psybluegrass-dubby-blues-8
9,BLUES,Kamala has a dream (and that duck just blows) • bananasutraBLUES,QUACKsutra,4:00,1704,13,6,2954,,,https://soundcloud.com/bananasutra/kamala-has-a-dream-and-that
10,BLUES,[21] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Queen of Authentic Dubby Psychedelic Folk BLUES,BLOWsutra,4:14,1941,15,2,2891,,Ego Ain't Your Amigo • Vol. 2 · EPx21 • BLOWsutra (Ego Gone Loco)  Dub LoFi Burlesque,https://soundcloud.com/bananasutra/21-ego-aint-your-amigo-blowsutra-ego-gone-loco-queen-of-authentic-dubby-psychedelic-folk-blues-21
11,BLUES,"[10] They Call It Freedom (Oh Hi, Sweet Honey Bun) • BLOWsutra (Revolt Now) Classichedelic Americana BLUES",BLOWsutra,3:14,1683,17,2,2733,,They Call It Freedom (Oh Hi · Sweet Honey Bun) ✯ BLOWsutra (Revolt Now) EPx11,https://soundcloud.com/bananasutra/10-they-call-it-freedom-oh-hi-sweet-honey-bun-blowsutra-revolt-now-classichedelic-americana-blues-10
12,BLUES,The Tyranny of Ignorance : BANJOsutra (Single Duck Release),QUACKsutra,3:24,1436,11,7,2686,,,https://soundcloud.com/bananasutra/the-tyranny-of-ignorance-banjosutra
13,BLUES,[02] Everybody Knows • KNOWsutra Burlesque Trip Hop Indie Dub Piano BLUES,KNOWsutra,4:07,1487,17,3,2637,"DUB,INDIE",Everybody Knows ✔ Vol. 03 - EPx7 ✔ KNOWsutra Gipsy Trip Hop Truth Prayer Dream,https://soundcloud.com/bananasutra/02-everybody-knows-knowsutra-burlesque-trip-hop-indie-dub-piano-blues-2
14,BLUES,[12] Rainbows in the Clouds • GLOWsutra Maya Mama Classic BLUES,GLOWsutra,3:16,1520,17,2,2570,,Rainbows in the Clouds • GLOWsutra Dub LoFi Blues,https://soundcloud.com/bananasutra/12-rainbows-in-the-clouds-glowsutra-maya-mama-classic-blues-12
15,BLUES,[01] Not Who Powers • There's No Prayer Like Desire • KNOWsutra But(t) Why Banjo Destiny BLUES,KNOWsutra,2:19,1692,11,2,2442,,There's No Prayer Like Desire • KNOWsutra But(t) Why EPx4,https://soundcloud.com/bananasutra/01-not-who-powers-theres-no-prayer-like-desire-knowsutra-butt-why-banjo-destiny-blues-1
16,BLUES,[16] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Psychedelic Destiny Banjo Soul BLUES,FLOWsutra,3:43,1154,21,2,2404,,Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) EPx16,https://soundcloud.com/bananasutra/16-kiss-a-pulse-glowsutra-lucille-clifton-poetry-psychedelic-destiny-banjo-soul-blues-16
17,BLUES,#5 Hard Core : Honey BLUESutra,KNOWsutra,3:01,1437,13,3,2387,,Hard Core (Questions that Matter) X5,https://soundcloud.com/bananasutra/5-hard-core-blues
18,BLUES,[05] Queer Almighty - Jazzy Queer Almighty - BLUESy BANJOsutra,GROWsutra,3:39,1753,6,3,2353,,Queer Almighty (Holy Questions Matter) - EPx16 VOL. 02,https://soundcloud.com/bananasutra/05-queer-almighty-jazzy-queer-almighty-bluesy-banjosutra-6
1,FOLK,[08] Queer Almighty - Tell me why - FOLK BANJOsutra,GROWsutra,3:26,1880,14,3,2880,,Queer Almighty (Holy Questions Matter) - EPx16 VOL. 02,https://soundcloud.com/bananasutra/08-queer-almighty-tell-me-why-folk-banjosutra-9
2,FOLK,"[17] So, What Is Racism? KNOWsutra Banjo Booya Folk Banjo Harmonica BLUES",KNOWsutra,3:05,1521,9,3,2271,BLUES,So · What Is Racism? KNOWsutra Gone Banana EPx17,https://soundcloud.com/bananasutra/17-so-what-is-racism-knowsutra-banjo-booya-folk-banjo-harmonica-blues-17
3,FOLK,Mind the Felon (two) • FOLKsutra,QUACKsutra,3:27,1315,10,4,2215,,Mind the Felon EP X5 | JAZZ LOFI : Psychedelic Paradox Soul Chanson,https://soundcloud.com/bananasutra/2-mind-the-felon
4,FOLK,[01] Queer Almighty - Folk BANJOsutra,GROWsutra,3:29,1572,6,3,2172,,Queer Almighty (Holy Questions Matter) - EPx16 VOL. 02,https://soundcloud.com/bananasutra/01-queer-almighty-folk-banjosutra-2
5,FOLK,[10] MASA (Make America Safe Again) • QUACKsutra Psychedelic Booya Country BANJO,QUACKsutra,2:37,1488,7,3,2138,,MASA (Make America Safe Again) ✮ EPX12 ✮ QUACKsutra Psychedelic BANJO,https://soundcloud.com/bananasutra/10-masa-make-america-safe-again-quacksutra-psychedelic-booya-country-banjo-10
6,FOLK,Where Hope Expires • Folk BANJOsutra,GROWsutra,2:18,1256,6,5,2056,,,https://soundcloud.com/bananasutra/where-hope-expires-o-banjo
7,FOLK,Side A [03] EP Bertrand - The Unhappiness Dance - GROWsutra Jazzy Indie FOLK,KNOWsutra,4:09,1281,11,2,2031,INDIE,The Conquest of Happiness (according to Bertrand Russel) ☰ 2 Songs EPx10 ☰ KNOWsutra,https://soundcloud.com/bananasutra/side-a-03-ep-bertrand-the-unhappiness-dance-growsutra-jazzy-indie-folk-3
8,FOLK,"Side B [13] No Fear, My Dear • BLOWsutra Revolt Now Dubby Psychedelic FOLK",BLOWsutra,3:34,1455,7,2,2005,DUB,No Fear · My Dear ❢ BLOWsutra Revolution Ring Jazz EPx19,https://soundcloud.com/bananasutra/side-b-13-no-fear-my-dear-blowsutra-revolt-now-dubby-psychedelic-folk-13
9,FOLK,"Hey, You (Creepers) • Fake Folk(s) True Tale • Bananasutra(BLOW) Authentic Imagination Music",BLOWsutra,2:10,1320,6,3,1920,,,https://soundcloud.com/bananasutra/sutrablow-hey-you-creepers-mp3
10,FOLK,[06] Queer Almighty - Queer Enough to Cabaret - BANJOsutra,GROWsutra,3:19,725,14,3,1725,,Queer Almighty (Holy Questions Matter) - EPx16 VOL. 02,https://soundcloud.com/bananasutra/06-queer-almighty-queer-enough-to-cabaret-banjosutra-7
11,FOLK,RUN v2 - Duende Amoris FOLK,QUACKsutra,4:40,908,10,3,1708,,RUN (now · if you can),https://soundcloud.com/bananasutra/run-v2-duende-amoris-folk-16
12,FOLK,[4] MAKA MAKA - Oh Hey Folk BANJOsutra,QUACKsutra,2:49,998,7,3,1648,,MAKA MAKA EPx7 ⭐︎ MAxA Series · Vol. 4,https://soundcloud.com/bananasutra/4-maka-maka-oh-hey-folk-banjosutra-4
13,FOLK,MAKA MAKA Murica (Kindness Gone Folk),QUACKsutra,3:33,244,8,9,1544,,,https://soundcloud.com/bananasutra/maka-maka-murica-kindness-gone
14,FOLK,"Side B [12] No Fear, My Dear • BLOWsutra Revolt Now Dubby Bluesy Jazzy Psychedelic Chanson Piano FOLK",BLOWsutra,4:51,628,10,3,1428,JAZZ,No Fear · My Dear ❢ BLOWsutra Revolution Ring Jazz EPx19,https://soundcloud.com/bananasutra/side-b-12-no-fear-my-dear-blowsutra-revolt-now-dubby-bluesy-jazzy-psychedelic-chanson-piano-folk-12
15,FOLK,[04] If We Had But(t) The Truth (Not The Quack) - Blues FOLKsutra,BLOWsutra,2:40,682,6,4,1382,BLUES,If We Had But(t) The Truth ☲ Easterican Profanities EPx5 ☲ QUACKsutra,https://soundcloud.com/bananasutra/04-if-we-had-butt-the-truth-not-the-quack-blues-folksutra-4
1,ROCK,"[09] Everything is Stupid, Absurd, and Divine • SHOWsutra Psy Punk Chanson Burlesque ROCK",SHOWsutra,3:25,2682,23,1,3932,BURLESQUE,I Did the Math · and Everything is Stupid • SHOWsutra Snoopy Fanana Club EPx11,https://soundcloud.com/bananasutra/09-everything-is-stupid-absurd-and-divine-showsutra-psy-punk-chanson-burlesque-rock-9
2,ROCK,[07] I Did the Math (and Everything is Stupid) • SHOWsutra Psychedelic Burlesque Indie ROCK,SHOWsutra,4:00,1479,18,1,2479,"INDIE,BURLESQUE",I Did the Math · and Everything is Stupid • SHOWsutra Snoopy Fanana Club EPx11,https://soundcloud.com/bananasutra/07-i-did-the-math-and-everything-is-stupid-showsutra-psychedelic-burlesque-indie-rock-7
3,ROCK,[11] We Live Not By Lies - GROWsutra IBYN Post-Punk BURLESQUE ROCK,GROWsutra,2:44,1420,11,2,2170,BURLESQUE,We Live Not By Lies ⚬ EPx12 ⚬ GROWsutra Revolution Ring,https://soundcloud.com/bananasutra/11-we-live-not-by-lies-growsutra-ibyn-post-punk-burlesque-rock-11
4,ROCK,[02] Tell The Truth • KNOWsutra Bluesy ROCK Cover,KNOWsutra,3:49,1420,7,2,1970,BURLESQUE,Tell The Truth (encore) KNOWsutra EPx9 Vol. 04,https://soundcloud.com/bananasutra/02-tell-the-truth-knowsutra-bluesy-rock-cover-2
5,ROCK,[08] Synthema Sutras - SHOWsutra Banana Psychedelic Burlesque Indie Punk ROCK,SHOWsutra,4:38,960,10,2,1660,BURLESQUE,SynthemaSutra ♆ SHOWsutra Banana EPx8,https://soundcloud.com/bananasutra/08-synthema-sutras-showsutra-banana-psychedelic-burlesque-indie-punk-rock-8
6,ROCK,"Oy, We Care! BLOWsutra I Burlesque You Not 1",BLOWsutra,2:15,937,4,2,1337,BURLESQUE,Oy · We Care 🦆 QUACKsutra Psychedelic Punk Rock Mantra EPx4,https://soundcloud.com/bananasutra/oy-we-care-blowsutra-i-burlesque-you-not-1-1
7,ROCK,Who's Your Vladdy BLOWsutra Psychedelic Burlesque Punk ROCK,QUACKsutra,3:55,433,8,5,1333,BURLESQUE,Who's Your Vladdy? EPx2 VOL.02 ☿ BLOWsutra World Peace LOFI + ROCK,https://soundcloud.com/bananasutra/whos-your-vladdy-blowsutra-psychedelic-burlesque-punk-rock-2
8,ROCK,[14] Men-Oh-Pause • GROWsutra I Burlesque You Not Psychedelic Punk ROCK,BLOWsutra,3:33,294,5,5,1044,BURLESQUE,Men-Oh-Pause 🩸 KNOWsutra EPx14,https://soundcloud.com/bananasutra/14-men-oh-pause-growsutra-i-burlesque-you-not-psychedelic-punk-rock-14
9,ROCK,[05] Blessed Be The Dogs • SHOWsutra Post-Punk Burlesque ROCK,BOWsutra,4:06,287,7,3,937,BURLESQUE,Blessed Be the Dogs ☰ SHOWsutra EPx9 ☰ Post-Punk Burlesque ROCK,https://soundcloud.com/bananasutra/05-blessed-be-the-dogs-showsutra-post-punk-burlesque-rock-5
10,ROCK,"[10] Everything is Stupid, Absurd, and Divine • SHOWsutra Psy Punk Chanson Burlesque ROCK",SHOWsutra,4:03,578,5,1,928,BURLESQUE,I Did the Math · and Everything is Stupid • SHOWsutra Snoopy Fanana Club EPx11,https://soundcloud.com/bananasutra/10-everything-is-stupid-absurd-and-divine-showsutra-psy-punk-chanson-burlesque-rock-10
1,MANTRA,Side B [03] Arrogant Hearts - BLOWsutra Indie Cello MANTRA,BLOWsutra,4:03,2149,22,3,3549,INDIE,Second Hand Smoke (of) Arrogant Hearts - BLOWsutra EGO Therapy EPx6,https://soundcloud.com/bananasutra/side-b-03-arrogant-hearts-blowsutra-indie-cello-mantra-6
2,MANTRA,[02] A Man's a Man and A' That - VOL. 02 - A Spin on Robert Burns' Revolutionary Song - Capela MANTRA LOFI,BLOWsutra,2:51,575,7,4,1325,LOFI,A Man's a Man and A' That (à la bananasutra) EPx3 - VOL. 02 - Revolution Forever,https://soundcloud.com/bananasutra/02-a-mans-a-man-and-a-that-vol-02-a-spin-on-robert-burns-revolutionary-song-capela-mantra-lofi-2
3,MANTRA,"Pro-Life Means What, Honey • Jazzy Mantra DUBsutra (2)",GROWsutra,3:28,294,10,5,1294,DUB,Pro-life means what · honey?,https://soundcloud.com/bananasutra/pro-life-means-what-honey-o
4,MANTRA,"[05] Hereby, I Cry • Arabesk Drum MANTRA",GROWsutra,4:01,403,6,5,1203,,Hereby · I Cry ☠ BLOWsutra EPx5,https://soundcloud.com/bananasutra/05-hereby-i-cry-arabesk-drum-mantra-5
5,MANTRA,[13] PEDO Nation • High Drum Prayer MANTRA,QUACKsutra,3:15,425,6,3,1025,,Pedo Nation ★ Felon Nation Redux ★ BLOWsutra EPx14,https://soundcloud.com/bananasutra/13-pedo-nation-high-drum-prayer-mantra-13
6,MANTRA,i did the math and everything is stupid • DRUMsutra.wav,SHOWsutra,2:31,233,7,4,983,,,https://soundcloud.com/bananasutra/i-did-the-math-and-everything
7,MANTRA,[11] Cassandra's Lullaby • Jewish Drum Indie Jazz MANTRA,KNOWsutra,4:40,312,7,3,962,JAZZ,Cassandra’s Lullaby • KNOWsutra EPx11 World,https://soundcloud.com/bananasutra/11-cassandras-lullaby-jewish-drum-indie-jazz-mantra-11
8,MANTRA,[7] Your rules don’t apply to me • Indie MANTRAsutra,GROWsutra,2:45,327,3,4,877,INDIE,How to Help a Bible Bro Grow Up · In the name of Religious Freedom,https://soundcloud.com/bananasutra/7-your-rules-dont-apply-to-me-indie-mantrasutra-7
9,MANTRA,[02] Awe Is Mighty (Maybe Even Holy) - GLOWsutra Psychedelic Folk Circus Dreamy Drum Indie MANTRA,GLOWsutra,2:41,209,5,2,659,INDIE,Awe Is Mighty (Maybe Even Holy) - GLOWsutra Conscious Indie LoFi Lullaby EPx2,https://soundcloud.com/bananasutra/02-awe-is-mighty-maybe-even-holy-glowsutra-psychedelic-folk-circus-dreamy-drum-indie-mantra-2
1,BANJO,"#1 Hold the Mic, Babe ☰ BANJOsutra Vocal Hug",GROWsutra,2:22,1446,4,3,1946,,Hold the Mic · Babe  EP X7 | Soul Prayer Lullabies,https://soundcloud.com/bananasutra/1-hold-the-mic-babe-banjo-blues
