MUSE Name,First Name,Last Name,Gender / Pronoun,"Type, Category",Country,Era,Birth Year,Death year,Famous Work(s),Core SUTRA,Secondary SUTRAs,Themes/ Keywords,Bananasutra Notes,Key Quotes,Primary Source,Additional Sources,Status,autoID,museID,SONGS (Lyrics)
T.S. Eliot,T.S.,Eliot,He,"Poet,Critic",GB/US,"Early 20th C,Mid 20th C",1888,1965,"The Waste Land, The Love Song of J. Alfred Prufrock, Four Quartets",KNOWsutra,"BLOWsutra,FLOWsutra","poetry/language,modernism,spirituality/agnosticism,philosophy",,,https://en.wikipedia.org/wiki/T._S._Eliot,,Draft,59,M-59,
Paul Éluard,Paul,Éluard,He,Poet,FR,"Early 20th C,Mid 20th C",1895,1952,"Capital of Sorrow, The Immaculate Conception",FLOWsutra,"GLOWsutra,BLOWsutra","poetry/language,surrealism,love/kindness,resistance",,,https://en.wikipedia.org/wiki/Paul_%C3%89luard,,Draft,60,M-60,
Ralph Waldo Emerson,Ralph-Waldo,Emerson,He,"Philosopher,Fool",US,19th C,1803,1882,"Self-Reliance, The American Scholar",GROWsutra,KNOWsutra,"philosophy,spirituality/agnosticism,truth-telling,poetry/language",Sing Your Own Gospel' and 'The Atheist Tango' both orbit his instruction: 'Make your own Bible. Select and collect all the words and sentences that in all your readings have been to you like the blast of a trumpet.' That is literally what Bananasutra IS.,Make your own Bible. Select and collect all the words and sentences that in all your readings have been to you like the blast of a trumpet.' | 'To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.' | 'What lies behind us and what lies before us are tiny matters compared to what lies within us.',https://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,,Draft,61,M-61,"Make your Own Bible,Sing Your Own Gospel,The Atheist Tango,Waldo's Atheist Tango,Waldo's Fascist Tango (Down We Go)"
Eminem Eminem,Eminem,Eminem,He,Musician,US,Contemporary,1972,,Hi My Name Is Slim Shady,SHOWsutra,,humor/absurdity,"Inspired 'Hi, My Name Is (Not Celine Dion)', dedicated to Eminem's soft silly side.",,https://en.wikipedia.org/wiki/Eminem,,Draft,62,M-62,
Lawrence Ferlinghetti,Lawrence,Ferlinghetti,He,Poet,US,Late 20th C,1919,2021,,SHOWsutra,"FLOWsutra,GLOWsutra","poetry/language,beat generation,social criticism,freedom,peace",,,https://en.wikipedia.org/wiki/Lawrence_Ferlinghetti,,Draft,63,M-63,
Pink Floyd,Pink,Floyd,They,Musician,GB,Late 20th C,1965,,"The Wall, Dark Side of the Moon, Wish You Were Here",FLOWsutra,"KNOWsutra,BOWsutra","music,psychedelic,progressive rock,existential",,,https://en.wikipedia.org/wiki/Pink_Floyd,,Draft,64,M-64,
Anatole France,Anatole,France,He,Author,FR,Early 20th C,1844,1924,L'Île des Pingouins,SHOWsutra,BLOWsutra,"humor/satire,social criticism,literature,democracy,satire",,,https://en.wikipedia.org/wiki/Anatole_France,,Draft,65,M-65,"Come Waddle With Me,Penguins In Shoes"
Victor Frankl,Victor,Frankl,He,Philosopher,AT,Mid 20th C,1905,1997,Man's Search for Meaning,GROWsutra,KNOWsutra,"meaning,philosophy,psychology,spirituality/agnosticism,hope",,,https://en.wikipedia.org/wiki/Viktor_Frankl,,Draft,66,M-66,
Aretha Franklin,Aretha,Franklin,She,Musician,US,Late 20th C,1942,2018,"Respect, Amazing Grace, I Say a Little Prayer",GROWsutra,,"music,soul,feminism,race/justice,spirituality/agnosticism",Inspired the song 'T.R.U.T.H (That's what we need)' and 'Voices of Truth'.,,https://en.wikipedia.org/wiki/Aretha_Franklin,,Draft,67,M-67,"Like A Criminal Strong Man,Blessed be Your Voice,T.R.U.T.H,V.O.I.C.E.S (Blessed Be),V.O.I.C.E.S (What You Want Baby)"
Stephen Fry,Stephen,Fry,He,"Author,Philosopher",GB,"Late 20th C,Contemporary",1957,,"The Hippopotamus, Mythos, Heroes",SHOWsutra,"KNOWsutra,GLOWsutra","humor/satire,philosophy,knowledge,literature",,,https://en.wikipedia.org/wiki/Stephen_Fry,,Draft,68,M-68,
Mahatma Gandhi,Mahatma,Gandhi,He,"Politician,Philosopher",IN,"Early 20th C,Mid 20th C",1869,1948,"Hind Swaraj, Non-violent resistance campaigns",BLOWsutra,"BOWsutra,GROWsutra","resistance,nonviolence,spirituality/agnosticism,truth-telling",,,https://en.wikipedia.org/wiki/Mahatma_Gandhi,,Draft,69,M-69,
Federico Garcia Lorca,Federico,Garcia Lorca,He,Poet,SP,Early 20th C,1898,1936,"Romancero Gitano, Blood Wedding, Yerma",GLOWsutra,,"poetry/language,love/kindness,flamenco,Spanish identity,death/grief","Inspired the track 'Poem (I wanted to be, basically)'.",,https://en.wikipedia.org/wiki/Federico_Garc%C3%ADa_Lorca,,Draft,70,M-70,"""Poem (I wanted to be, basically)"",The Poem"
Allen Ginsberg,Allen,Ginsberg,He,"Poet,Fool",US,Mid 20th C,1926,1997,"Howl, Kaddish, Meditation on Moloch",BLOWsutra,,"poetry/language,resistance,spirituality/agnosticism,beat generation,social criticism",His angelic words anchor my FOTUS Circus tracks like 'Psychedelic Hollow Horror Show'.,"America, when will you be angelic? When will you take off your clothes?'
For Ginsberg, Moloch is associated with war, government, capitalism, and mainstream culture, all of which might be summed up by one of the poem's most important concepts: the ""machine"" or ""machinery."" Moloch is an inhuman monster that kills youth and love.",https://en.wikipedia.org/wiki/Allen_Ginsberg,,Draft,71,M-71,"""FOTUS Circus: Come On In, You Wretched Fools"",""FOTUS Circus: Step Inside, Don’t Mind The Crime"",""FOTUS Circus: Step right up, My Dearest Souls"",""FOTUS Circus: Welcome, You Fools"",Carnival FOTUS (ctd),FOTUS Circus: Angels Eyes,FOTUS Circus: Ginsberg Hollow (Horror) Show"
Jane Goodall,Jane,Goodall,She,"Scientist,Activist,Author",GB,"Late 20th C,Contemporary",1934,2025,"In the Shadow of Man, Reason for Hope, My Life with the Chimpanzees",BOWsutra,"BLOWsutra,GROWsutra","nature,conservation,compassion,humility,science",Goodall sat very still and very long and the chimpanzees came to her. That is a BOW practice. Her life is a masterclass in showing up with humble presence.,"What you do makes a difference, and you have to decide what kind of difference you want to make.",https://en.wikipedia.org/wiki/Jane_Goodall,,Draft,72,M-72,
Amanda Gorman,Amanda,Gorman,She,"Poet,Author",US,Contemporary,2000,,"The Hill We Climb, Call Us What We Carry",GROWsutra,GLOWsutra,"poetry/language,hope,activism,youth",,,https://en.wikipedia.org/wiki/Amanda_Gorman,,Draft,73,M-73,
Hafiz,,Hafiz,He,"Poet,Mystic",IR,Medieval,c. 1325,c. 1390,"The Divan of Hafiz, Gazals",GLOWsutra,"BOWsutra,KNOWsutra","poetry/language,spirituality/agnosticism,love/kindness,mysticism",,,https://en.wikipedia.org/wiki/Hafez,,Draft,74,M-74,
Nina Hagen,Nina,Hagen,She,Musician,DE,Late 20th C,1955,,"Unbehagen, Nina Hagen Band (album)",GROWsutra,BLOWsutra,"music,punk,performance,spirituality/agnosticism,resistance",Inspired 'Seminal Bollocks' (from Personal Jesus) and the 'Dump Trump' (Smack Jack) track.,,https://en.wikipedia.org/wiki/Nina_Hagen,,Draft,75,M-75,"Dump Trump,Seminal Bollocks"
Thich Nhat Hanh,Thich Nhat,Hanh,He,"Philosopher,Buddhist Monk",VN,"Late 20th C,Contemporary",1926,2022,"The Miracle of Mindfulness, Being Peace",GLOWsutra,"KNOWsutra,BOWsutra","spirituality/agnosticism,mindfulness,peace,compassion",,,https://en.wikipedia.org/wiki/Th%C3%ADch_Nh%E1%BA%A5t_H%E1%BA%A1nh,,Draft,76,M-76,
Joy Harjo,Joy,Harjo,She,"Poet,Musician",US,"Late 20th C,Contemporary",1951,,"An American Sunrise, Crazy Brave, Conflict Resolution for Holy Beings",GLOWsutra,"GROWsutra,FLOWsutra,BOWsutra","indigenous wisdom,nature,poetry,gratitude,earth/spirit",Harjo is the Poet Laureate of Earth herself. Her GLOW comes from deep-rooted indigenous gratitude — she sings the land back into remembering.,Remember the earth whose skin you are... Remember to dance.,https://en.wikipedia.org/wiki/Joy_Harjo,,Draft,77,M-77,
Kamama Harris,Kamama,Harris,She,Politician,US,Contemporary,1964,,,BLOWsutra,GROWsutra,"satire,politics,contemporary",,,https://en.wikipedia.org/wiki/Kamala_Harris,,Draft,78,M-78,"Kamala's Roots of Resilience,Kamala Has A Dream,Win-Win In Unity"
Stephen Hawking,Stephen,Hawking,He,Scientist,GB,"Late 20th C,Contemporary",1942,2018,"A Brief History of Time, The Universe in a Nutshell",KNOWsutra,GROWsutra,"science,philosophy,knowledge,cosmology",,,https://en.wikipedia.org/wiki/Stephen_Hawking,,Draft,79,M-79,
Ernest Miller Hemingway,Ernest,Hemingway,He,Author,US,Mid 20th C,1899,1961,"The Old Man and the Sea, A Farewell to Arms, The Sun Also Rises",KNOWsutra,BLOWsutra,"authenticity,war/peace,literature,truth-telling,masculinity",,"If voting mattered, they wouldn't let us do it'",https://en.wikipedia.org/wiki/Ernest_Hemingway,,Draft,80,M-80,
Jimi Hendrix,Jimi,Hendrix,He,Musician,US,Late 20th C,1942,1970,"Are You Experienced, Electric Ladyland, Axis: Bold as Love",FLOWsutra,"GROWsutra,BLOWsutra,SHOWsutra","guitar/music,psychedelia,freedom,innovation,soul",Hendrix played guitar like FLOWsutra made sound. Every note was surrender to the river. Electric Ladyland is a sutra in six strings.,,https://en.wikipedia.org/wiki/Jimi_Hendrix,,Draft,81,M-81,
Herman Hesse,Herman,Hesse,He,"Author,Fool",DE/CH,Early 20th C,1877,1962,"Siddhartha, Steppenwolf, The Glass Bead Game",GROWsutra,,"philosophy,spirituality/agnosticism,personal growth,love/kindness",Inspired the track 'Tune In The Tender'.,,https://en.wikipedia.org/wiki/Hermann_Hesse,,Draft,82,M-82,"Love from the Future (The Hesse Song),Tune In The Tender"
Henry Scott Holland,Henry-Scott,Holland,He,Philosopher,GB,19th C,1847,1918,Death is Nothing at All (sermon),BOWsutra,GLOWsutra,"death/grief,spirituality/agnosticism,love/kindness","Blessed Be the Dogs' Songs 1 and 3 are built entirely on his 'Death is Nothing at All' sermon. I feel strongly that if dogs could talk, this is exactly what they would say to us about dying. He taught me that grief and gratitude can be the same feeling.","Death is nothing at all. It does not count. I have only slipped away into the next room.' | 'Whatever we were to each other, that we are still.' | 'I am but waiting for you, for an interval, somewhere very near, just round the corner.'",https://en.wikipedia.org/wiki/Henry_Scott_Holland,,Draft,83,M-83,Easy (Death Is Nothing At All)
bell hooks,bell,hooks,She,"Author,Feminist Theorist",US,"Late 20th C,Contemporary",1952,2021,"Ain't I a Woman, All About Love, Feminism Is for Everybody",FLOWsutra,"GLOWsutra,GROWsutra,BLOWsutra","feminism,love/kindness,social justice,race,education","hooks wrote love as a radical political act. Her vision flows from deep courage — GLOW lit from within, GROW fueled by love, BLOW as clear-eyed witness.",To be truly visionary we have to root our imagination in our concrete reality while simultaneously imagining possibilities beyond that reality.,https://en.wikipedia.org/wiki/Bell_hooks,,Draft,84,M-84,
Grace Hopper,Grace,Hopper,She,Scientist,US,Mid 20th C,1906,1992,"COBOL (co-developer), A-0 Compiler",GROWsutra,,"science,computing,pioneering,feminism,knowledge",Inspired 'Zero Sum (Zero Sean)'. Her first bug was found not in code but in character (NO EMPATHY).,,https://en.wikipedia.org/wiki/Grace_Hopper,,Draft,85,M-85,
Victor Hugo,Victor,Hugo,He,"Author,Poet",FR,19th C,1802,1885,"Les Misérables, Notre-Dame de Paris, Liberté (poem)",BLOWsutra,GROWsutra,"resistance,democracy,poetry/language,authoritarianism",Liberty' is a direct musical translation of his 1821 revolutionary poem — I channeled Bob Marley for the melody. Hugo is the French DNA of Bananasutra: beauty and fury in the same breath.,"And, standing proud, my soul shall tell the tyrants of the earth — farewell!' | 'Even the darkest night will end and the sun will rise.' | 'To love beauty is to see light.'",https://en.wikipedia.org/wiki/Victor_Hugo,,Draft,86,M-86,"Liberty,""Rise Up, You Naked Peoples (Freedom Rings)"""
Zora Neale Hurston,Zora Neale,Hurston,She,"Author,Anthropologist",US,"Early 20th C,Mid 20th C",1891,1960,"Their Eyes Were Watching God, Dust Tracks on a Road, Mules and Men",GLOWsutra,"BOWsutra,KNOWsutra,FLOWsutra","identity,race,culture,wonder,writing/language","Hurston was a one-woman GLOW department — anthropologist, novelist, folklorist, life-of-the-party. She studied her own people as sacred material. Wildly underrated for decades.",There are years that ask questions and years that answer.,https://en.wikipedia.org/wiki/Zora_Neale_Hurston,,Draft,87,M-87,
Aldous Huxley,Aldous,Huxley,He,"Author,Fool",UK,Mid 20th C,1894,1963,"Brave New World, The Doors of Perception, Point Counter Point",KNOWsutra,,"dystopia,consciousness,philosophy,satire,science fiction",Inspired 'The Dystopian Quiz Song'.,,https://en.wikipedia.org/wiki/Aldous_Huxley,,Draft,88,M-88,The Dystopian Quiz Song
Eugene Ionesco,Eugene,Ionesco,He,Author,FR,Mid 20th C,1909,1994,Rhinoceros,BLOWsutra,,"theater,absurdity/joy,satire,conformity,surrealism",Inspired the track 'Rhinoceross' and surreal real poetry.,,https://en.wikipedia.org/wiki/Eug%C3%A8ne_Ionesco,,Draft,89,M-89,Rhinoceross
Jean Jacques Rousseau,Rousseau,Jean Jacques,He,Philosopher,FR,18th C,1712,1778,"The Social Contract, Discourse on Inequality, Emile",KNOWsutra,"BLOWsutra,GROWsutra","philosophy,democracy,nature,education,social contract",,,https://en.wikipedia.org/wiki/Jean-Jacques_Rousseau,,Draft,90,M-90,
Jesus Jesus,Jesus,Jesus,He,"Philosopher,Mystic",IL,Ancient,c. 4 BC,c. 30 AD,"Sermon on the Mount, Parables (as recorded in the Gospels)",GROWsutra,,"love/kindness,spirituality/agnosticism,resistance,forgiveness,philosophy",,,https://en.wikipedia.org/wiki/Jesus,,Draft,91,M-91,"El Papito (Es No MAGA Show),Ordo Amoris in Decay (All I Want Is To Believe),""Pro-life Means What, Honey?"",Queer Almighty,Untamed,""Why trust an old, mean religion?"""
Alejandro Jodorowsky,Alejandro,Jodorowsky,He,"Filmmaker,Author,Philosopher",CL/FR,Contemporary,1929,,"El Topo, The Holy Mountain, Psychomagic: A Healing Art",SHOWsutra,"KNOWsutra,FLOWsutra","surrealism,spirituality/agnosticism,creativity,healing,cinema",,,https://en.wikipedia.org/wiki/Alejandro_Jodorowsky,,Draft,92,M-92,
Samuel Johnson,Samuel,Johnson,He,"Author,Critic",GB,18th C,1709,1784,"Dictionary of the English Language, The Lives of the Poets, The Rambler",KNOWsutra,SHOWsutra,"literature,language,wit,criticism,truth-telling",,,https://en.wikipedia.org/wiki/Samuel_Johnson,,Draft,93,M-93,
Jon Kabat-Zinn,Jon,Kabat-Zinn,He,"Scientist,Philosopher",US,Contemporary,1944,,"Full Catastrophe Living, Wherever You Go There You Are, Arriving at Your Own Door",KNOWsutra,FLOWsutra,"mindfulness,meditation,healing,philosophy,presence",,,https://en.wikipedia.org/wiki/Jon_Kabat-Zinn,,Draft,94,M-94,
Frida Kahlo,Frida,Kahlo,She,"Painter,Artist",MX,Mid 20th C,1907,1954,"The Two Fridas, Self-Portrait with Thorn Necklace, The Broken Column",GLOWsutra,"BOWsutra,SHOWsutra,GROWsutra","identity,suffering/resilience,beauty,feminism,art",Kahlo turned her pain into paint and her pain into GLOW. She showed that suffering can be a canvas — and that the body is not a cage but a cathedral.,"Feet, what do I need you for when I have wings to fly?",https://en.wikipedia.org/wiki/Frida_Kahlo,,Draft,95,M-95,
Helen Keller,Helen,Keller,She,"Author,Activist",US,"Early 20th C,Mid 20th C",1880,1968,"The Story of My Life, The World I Live In, Optimism",GLOWsutra,"KNOWsutra,BOWsutra,GROWsutra","courage,wonder,perception,disability,optimism",Keller proved that wonder requires no eyes. Her GLOW was not despite her limits — it was made of them. She redefines what it means to see.,The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart.,https://en.wikipedia.org/wiki/Helen_Keller,,Draft,96,M-96,
Robin Wall Kimmerer,Robin Wall,Kimmerer,She,"Author,Scientist,Botanist",US,Contemporary,1953,,"Braiding Sweetgrass, Gathering Moss",GLOWsutra,"FLOWsutra,GROWsutra,BOWsutra","indigenous wisdom,nature,gratitude,ecology,wonder",Kimmerer teaches that plants have agency and gratitude is a grammar. Her science is GLOW. Her Potawatomi roots are pure BOW. Braiding Sweetgrass is a sacred text for the app.,"Even a wounded world holds us, giving us moments of wonder and joy. I choose joy over despair.",https://en.wikipedia.org/wiki/Robin_Wall_Kimmerer,,Draft,97,M-97,
Stephen King,Stephen,King,He,Author,US,Late 20th C,1947,,"The Shining, It, Carrie, The Stand",BLOWsutra,,"storytelling,horror,social criticism,fear,creativity",,,https://en.wikipedia.org/wiki/Stephen_King,,Draft,98,M-98,Shining Twins
Eartha Kitt,Eartha,Kitt,She,Musician,US,"Mid 20th C,Late 20th C",1927,2008,"Santa Baby, Thursday Afternoon, activism/performances",BLOWsutra,"SHOWsutra,GLOWsutra","music,sexuality/liberation,resistance,performance",,,https://en.wikipedia.org/wiki/Eartha_Kitt,,Draft,99,M-99,
Dalai Lama,Dalai,Lama,He,"Philosopher,Buddhist Leader,Saint",TN,Contemporary,1935,,"Nobel Peace Prize lectures, writings on compassion",GLOWsutra,"BOWsutra,KNOWsutra","spirituality/agnosticism,compassion,peace,wisdom",,,https://en.wikipedia.org/wiki/Dalai_Lama,,Draft,100,M-100,
Rachel Lark,Rachel,Lark,She,Musician,US,Contemporary,,,Underground comedy/music performances,SHOWsutra,,"humor/satire,performance,underground",,,https://en.wikipedia.org/wiki/Rachel_Lark,,Draft,101,M-101,Rachel Barks
Cindi Lauper,Cindi,Lauper,She,Musician,US,"Late 20th C,Contemporary",1953,,"She Just Wants to Have Fun, True Colors, A Night to Remember",BLOWsutra,GROWsutra,"music,feminism,LGBTQ+,individuality",,,https://en.wikipedia.org/wiki/Cyndi_Lauper,,Draft,102,M-102,Kids Just Want To Have Hope
Ursula K. Le Guin,Ursula K.,Le Guin,She,Author,US,Late 20th C,1929,2018,"The Left Hand of Darkness, The Dispossessed, Earthsea series, The Word for World is Forest",FLOWsutra,"BOWsutra,BLOWsutra,GROWsutra","science fiction,freedom,feminism,utopia/dystopia,philosophy","Le Guin wrote whole worlds that run on FLOWsutra logic — anarchist utopias, gender-fluid societies, empathic politics. The Dispossessed is a bananasutra songbook in novel form.","The only thing that makes life possible is permanent, intolerable uncertainty: not knowing what comes next.",https://en.wikipedia.org/wiki/Ursula_K._Le_Guin,,Draft,103,M-103,
Manu LeCon,Manu,LeCon,He,Politician,FR,Contemporary,1977,,,BLOWsutra,,"satire,politics,contemporary",,,https://en.wikipedia.org/wiki/Emmanuel_Macron,,Draft,104,M-104,"Le Système,""Le Système, ça voulait dire"",Le Bal Des Salauds,Le P'tit Jupiter"
Peggy Lee,Peggy,Lee,He,Musician,US,Mid 20th C,1920,2002,"Fever, Is That All There Is, Why Don't You Do Right",BLOWsutra,"SHOWsutra,GLOWsutra","music,jazz,femme fatale,independence",,,https://en.wikipedia.org/wiki/Peggy_Lee,,Draft,105,M-105,Ain't Doing Bad Doing Nothing
Bruce Lee,Bruce,Lee,He,"Martial Artist,Philosopher",US/HK,Mid 20th C,1940,1973,"Enter the Dragon, Tao of Jeet Kune Do",KNOWsutra,"SHOWsutra,FLOWsutra","philosophy,flow,martial arts,creativity,wisdom","Anchoring my FLOWsutra songs about being adaptive and fluid, like the track 'Flow like Water, My Friend'.",,https://en.wikipedia.org/wiki/Bruce_Lee,,Draft,106,M-106,"Feel The Sway,Flow Like Water (My Friend),Fluye (como el mar)"
John Lennon,John,Lennon,He,Musician,GB,"Mid 20th C,Late 20th C",1940,1980,"The Beatles work, Imagine, Double Fantasy",BLOWsutra,"GLOWsutra,GROWsutra","music,peace,resistance,love/kindness",,,https://en.wikipedia.org/wiki/John_Lennon,,Draft,107,M-107,"Criminals (Bertrand Edition),Criminels,Criminals,""Hey, Creeps"",""Hey, You (Creepers)"""
Ada Limón,Ada,Limón,She,Poet,US,Contemporary,1976,,"The Carrying, Bright Dead Things, The Hurting Kind",GLOWsutra,"BOWsutra,FLOWsutra","poetry,gratitude,nature,wonder,belonging","26th US Poet Laureate (2022–2024). Limón's poetry radiates GLOW energy — a deep, embodied gratitude for the living world, grief included.",And the world says: You are here. You are here. You are here.,https://en.wikipedia.org/wiki/Ada_Lim%C3%B3n,,Draft,108,M-108,
Audre Lorde,Audre,Lorde,She,"Author,Poet",US,Late 20th C,1934,1992,"Sister Outsider, The Cancer Journals, Uses of the Erotic",BLOWsutra,"GLOWsutra,GROWsutra","feminism,race/justice,poetry/language,activism",,,https://en.wikipedia.org/wiki/Audre_Lorde,,Draft,109,M-109,
Ada Lovelace,Ada,Lovelace,She,"Scientist,Philosopher",GB,19th C,1815,1852,"Notes on the Analytical Engine, computing theory",KNOWsutra,GROWsutra,"science,mathematics,feminism,knowledge",,,https://en.wikipedia.org/wiki/Ada_Lovelace,,Draft,110,M-110,
Wangari Maathai,Wangari,Maathai,She,"Activist,Author,Scientist",KE,"Late 20th C,Contemporary",1940,2011,"Unbowed, The Challenge for Africa, Green Belt Movement (founded)",BOWsutra,"GLOWsutra,GROWsutra,BLOWsutra","activism,nature,justice,humility,community",Maathai planted 47 million trees. That is a BOW practice at scale. Nobel Peace Prize for connecting ecology and democracy — she knew the land and the law were one sentence.,It's the little things citizens do. That's what will make the difference. My little thing is planting trees.,https://en.wikipedia.org/wiki/Wangari_Maathai,,Draft,111,M-111,
Antonio Machado,Antonio,Machado,He,"Poet,Philosopher",SP,Early 20th C,1875,1939,"Campos de Castilla, Juan de Mairena",KNOWsutra,"GLOWsutra,BLOWsutra","poetry/language,philosophy,love/kindness,spirituality/agnosticism",,,https://en.wikipedia.org/wiki/Antonio_Machado,,Draft,112,M-112,
René Magritte,René,Magritte,He,"Artist,Painter",FR,"Early 20th C,Mid 20th C",1898,1967,,SHOWsutra,FLOWsutra,surrealism,,,https://en.wikipedia.org/wiki/Ren%C3%A9_Magritte,,Draft,113,M-113,
René Magritte,René,Magritte,He,"Painter,Poet",BE,"Early 20th C,Mid 20th C",1898,1967,"The Son of Man, The Persistence of Memory, The False Mirror",FLOWsutra,"KNOWsutra,BLOWsutra","surrealism,creativity,philosophy,visual art",,,https://en.wikipedia.org/wiki/Ren%C3%A9_Magritte,,Draft,114,M-114,This Is Not A Banana
Nelson Mandela,Nelson,Mandela,He,"Politician,Philosopher",ZA,"Late 20th C,Contemporary",1918,2013,"Long Walk to Freedom, speeches on reconciliation",BLOWsutra,"GROWsutra,BOWsutra","race/justice,resistance,forgiveness,spirituality/agnosticism",,,https://en.wikipedia.org/wiki/Nelson_Mandela,,Draft,115,M-115,
Mariama Mariama,Mariama,Mariama,She,Musician,GN/FR,Contemporary,1984,,"Afropop, world music albums",BLOWsutra,,"music,world music,Afropop,cultural expression",,,https://en.wikipedia.org/wiki/Mariama,,Draft,116,M-116,Sous Terre (Underground)
Groucho Marx,Groucho,Marx,He,"Comedian,Fool",US,Early 20th C,1890,1977,"Duck Soup, A Night at the Opera, You Bet Your Life",BLOWsutra,SHOWsutra,"humor/satire,absurdity/joy,resistance,wit,performance",,,https://en.wikipedia.org/wiki/Groucho_Marx,,Draft,117,M-117,Blessed Are The Cracked
Terrence McKenna,Terrence,McKenna,He,Philosopher,US,Late 20th C,1946,2000,"Food of the Gods, The Archaic Revival, True Hallucinations",KNOWsutra,BLOWsutra,"philosophy,consciousness,psychedelics,resistance,creativity",Inspired 'Media Freakshow' and 'Waddling Egos Parade'.,"Not to know one's true identity is to be a mad, disensouled thing — a golem.'",https://en.wikipedia.org/wiki/Terence_McKenna,,Draft,118,M-118,"""Too Hard, My Friend"",Mass Media Freakshow"
Herman Melville,Herman,Melville,He,"Author,Poet",US,19th C,1819,1891,"Moby Dick, Billy Budd, Bartleby the Scrivener",KNOWsutra,"BLOWsutra,BOWsutra","philosophy,literature,truth-telling,resistance",,,https://en.wikipedia.org/wiki/Herman_Melville,,Draft,119,M-119,
Molière,,Molière,He,"Author,Fool",FR,17th C,1622,1673,"Tartuffe, Le Misanthrope, The Imaginary Invalid",SHOWsutra,"BLOWsutra,KNOWsutra","humor/satire,theater,social criticism,absurdity/joy",,,https://en.wikipedia.org/wiki/Moli%C3%A8re,,Draft,120,M-120,
Marilyn Monroe,Marilyn,Monroe,She,"Comedian,Actress,Fool",US,Mid 20th C,1926,1962,"Gentlemen Prefer Blondes, Some Like It Hot, The Misfits",SHOWsutra,GLOWsutra,"humor/satire,performance,feminism,tragedy",,,https://en.wikipedia.org/wiki/Marilyn_Monroe,,Draft,121,M-121,
Morissey Morissey,Morissey,Morissey,He,Musician,GB,Contemporary,1959,,"The Smiths, Vauxhall and I, Your Arsenal",BLOWsutra,SHOWsutra,"music,melancholy,wit,social commentary,outsider",,,https://en.wikipedia.org/wiki/Morrissey,,Draft,122,M-122,Some Truths Are Harder to Swallow
Jim Morrison,Jim,Morrison,He,Musician,US,Mid 20th C,1943,1971,"Light My Fire, Riders on the Storm (The Doors)",SHOWsutra,,"music,poetry/language,mysticism,performance,rebellion",Inspired the track 'Shades of Fools (All I Know)'.,,https://en.wikipedia.org/wiki/Jim_Morrison,,Draft,123,M-123,"Please Pardon My French,Be The Fool (Perfection Is A Lie),Bee the Fool (Not A Lie)"
Friedrich Nietzsche,Friedrich,Nietzsche,He,Philosopher,DE,19th C,1844,1900,"Thus Spoke Zarathustra, Beyond Good and Evil, The Birth of Tragedy, The Gay Science",KNOWsutra,,"philosophy,truth-telling,creativity,resistance,existentialism",Inspired the 'Nietzsche's Gift (Muddy Waters)' song cycles.,They muddy the water to make it look deep.',https://en.wikipedia.org/wiki/Friedrich_Nietzsche,,Draft,124,M-124,Nietzsche's Gift (Muddy Waters)
Anaïs Nin,Anaïs,Nin,She,Author,FR/US,Mid 20th C,1903,1977,"The Diary of Anaïs Nin, Delta of Venus, House of Incest",FLOWsutra,"KNOWsutra,GLOWsutra","self-discovery,desire,identity,diary/writing,personal growth",Nin is the philosopher of becoming — she lived the FLOWsutra creed before it had a name. Her diaries are a masterclass in trusting the river.,"Life is a process of becoming, a combination of states we have to go through.",https://en.wikipedia.org/wiki/Ana%C3%AFs_Nin,,Draft,125,M-125,
Naomi Shihab Nye,Naomi Shihab,Nye,She,Poet,US,Contemporary,1952,,"19 Varieties of Gazelle, Fuel, You and Yours",GROWsutra,GLOWsutra,"poetry/language,kindness,peace,multicultural,love/kindness",,,https://en.wikipedia.org/wiki/Naomi_Shihab_Nye,,Draft,126,M-126,"Kindness,Kindness,Kindness ABC"
Barack Obama,Barack,Obama,He,Politician,US,Contemporary,1961,,"Dreams from My Father, The Audacity of Hope",BLOWsutra,,"hope,democracy,race/justice,politics,change",,,https://en.wikipedia.org/wiki/Barack_Obama,,Draft,127,M-127,Presidential Joke of The Year
Mary Oliver,Mary,Oliver,She,"Author,Poet",US,Contemporary,1935,2019,"Wild Geese, Upstream, Why I Wake Early",GLOWsutra,"FLOWsutra,BOWsutra","ecology,love/kindness,spirituality/agnosticism,poetry/language",My awe teacher. She makes the case for paying attention as a spiritual practice — for noticing the small sacred things — and that's the whole point of GLOWsutra. 'Why not let the soft animal of your body love what it loves?' is basically the BOWsutra mission statement.,"Tell me, what is it you plan to do with your one wild and precious life?' | 'You do not have to be good.' | 'Why not let the soft animal of your body love what it loves?'",https://en.wikipedia.org/wiki/Mary_Oliver,,Draft,128,M-128,"Awe Is Like...,Awe Is Mighty"
