ep_title,ep_url,ep_rating,ep_volume,sutra,genres,genres_full,ep_total_tracks,total_plays,total_likes,duration_total,artwork_url,lyrics_title,lyrics_id,created_at,playlist_names_clean,ep_in_app
En Vrai · On Est Tous Frères ䷁ FRENCH BLUESsutra EPx5,https://soundcloud.com/bananasutra/sets/en-vrai-on-est-tous-freres-banjo-frenchsutra-epx5,,1,KNOWsutra,"BANJO,BLUES,FOLK,LOFI,MANTRA","BANJO,BLUES,FOLK,LOFI,MANTRA",5,1334,24,16:26,https://i1.sndcdn.com/artworks-LV5LoqM7mHhduC2y-UvDK3w-t500x500.jpg,"""En Vrai, On Est Tous Frères""",L-71,2025-01-28 03:36,"BANJOsutra,BLUESsutra,FOLKsutra,FRENCHsutra oui oui · sacrebleu,GLOWsutra where gratitude feeds,KNOWsutra where questions matter,LOFIsutra,MANTRAsutra,OUI OUI : Pardon (my French)",checked
Ethical Paradox (Bertrand Undone),https://soundcloud.com/bananasutra/sets/ethical-paradox-bertrand-undone,,1,KNOWsutra,INDIE,INDIE,4,776,8,13:54,https://i1.sndcdn.com/artworks-e6OYFWuOzXif0Mz7-XAx0EQ-t500x500.jpg,It's An Ethical Paradox,L-116,2024-12-26 10:06,"BLOWsutra,DUBsutra,FOLKsutra,JAZZsutra,KNOWsutra : BERTRAND (mon chéri),KNOWsutra where questions matter,LOFIsutra,Questions for the (kind) POPE in the Sky",checked
Everybody Knows EP x6 : INDIEsutra,https://soundcloud.com/bananasutra/sets/everybody-knows-epx6-indie-rocksutra,,2,KNOWsutra,INDIE,INDIE,6,806,3,14:37,https://i1.sndcdn.com/artworks-idU4oy8bvs1SNH2k-5V1pjg-t500x500.png,Everybody Knows,L-72,2025-01-15 00:59,"BURLESQUEsutra,INDIEsutra,KNOWsutra where questions matter,LOFIsutra,MANTRAsutra,ROCKsutra",checked
Everybody Knows ✔ Vol. 03 - EPx7 ✔ KNOWsutra Gipsy Trip Hop Truth Prayer Dream,https://soundcloud.com/bananasutra/sets/everybody-knows-vol-03-epx7-knowsutra-gipsy-trip-hop-truth-prayer-dream,,3,KNOWsutra,"BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI","BLUES,BURLESQUE,DUB,GIPSY,INDIE,JAZZ,LOFI,PSYCHEDELIC,TRIP HOP",7,4473,56,28:35,https://i1.sndcdn.com/artworks-WS97VCa9dwPRoGyv-ajY3dQ-t500x500.png,Everybody Knows,L-72,2025-11-03 04:34,"BLUESsutra,INDIEsutra,KNOWsutra : (naked) TRUTH,KNOWsutra where questions matter",checked
F-BOMB ⚝ SHOWsutra DUB EPx7,https://soundcloud.com/bananasutra/sets/f-bomb-showsutra-dub-epx7,,1,SHOWsutra,"BURLESQUE,DUB,INDIE","BURLESQUE,DUB,GIPSY,INDIE",7,1185,5,21:56,https://i1.sndcdn.com/artworks-MaDI6oRlKnS475ml-wUwvOA-t500x500.png,F-BOMB DUB,L-75,2025-07-02 21:47,DUBsutra,checked
Fluye (como el mar) FLOWsutra,https://soundcloud.com/bananasutra/sets/fluye-como-el-mar-flowsutra,,1,FLOWsutra,"DUB,INDIE","DUB,FADO,INDIE,RAGGA",11,4216,41,30:53,https://i1.sndcdn.com/artworks-JJ4nzGR7Kbx7XkxH-xkazNQ-t500x500.png,Fluye (como el mar),L-77,2025-05-19 11:17,"DUBsutra,FLOWsutra : FLY (like water),INDIEsutra",checked
Foolish EPx5,https://soundcloud.com/bananasutra/sets/foolish-epx5,,1,KNOWsutra,"INDIE,FOLK","INDIE,FOLK",5,1319,26,17:26,https://i1.sndcdn.com/artworks-ce9hM1VBBXA95Gge-sqzp2g-t500x500.png,Foolish,L-79,2024-12-18 04:19,"BURLESQUEsutra,DUBsutra,FLOWsutra : WET (my friend),FLOWsutra where time is space,FOLKsutra,INDIEsutra,JAZZsutra",checked
Foolish Goldfish (Forever) ❃ Vol. 02 EPx15 ❃ KNOWsutra Peace (Not War),https://soundcloud.com/bananasutra/sets/foolish-goldfish-forever-vol-02-epx15-knowsutra-peace-not-war,,1,KNOWsutra,"BLUES,DUB,FOLK,INDIE,LOFI","BLUES,DUB,FOLK,INDIE,LOFI,PSYCHEDELIC,SOUL",15,8873,64,1:03:59,https://i1.sndcdn.com/artworks-0YzGiltzEidfTrxR-osiLXg-t500x500.png,Foolish Goldfish (Forever),L-80,2025-11-26 04:04,"BLUESsutra,DUBsutra,FOLKsutra,INDIEsutra,KNOWsutra : PEACE (not War),LOFIsutra",checked
FOTUS CIRCUS ★ VOL.2 EPx10 ★ BURLESQUEsutra,https://soundcloud.com/bananasutra/sets/fotus-circus-vol2-epx10-burlesquesutra,,2,QUACKsutra,"BANJO,BURLESQUE,FOLK,JAZZ,LOFI,ROCK","BANJO,BURLESQUE,FOLK,JAZZ,LOFI,ROCK",10,1698,11,32:55,https://i1.sndcdn.com/artworks-44IaWyIDQ4KPbMKz-LMbmBg-t500x500.png,FOTUS Circus: Ginsberg Hollow (Horror) Show,L-82,2025-05-21 02:01,"BANJOsutra,FOTUS CIRCUS Playlist An American Freaks Show,LOFIsutra,QUACKsutra : FOTUS Circus",checked
FOTUS CIRCUS ★ VOL.3 EPx9 ★ BURLESQUEsutra,https://soundcloud.com/bananasutra/sets/fotus-circus-vol3-epx9-burlesquesutra,,3,QUACKsutra,"BANJO,BURLESQUE,DUB,FOLK,MANTRA","BANJO,BURLESQUE,DUB,FOLK,MANTRA,RAGGA",9,2415,16,28:23,https://i1.sndcdn.com/artworks-TISJ7mgoFUnIyF3o-Nc2YDg-t500x500.png,FOTUS Circus: Ginsberg Hollow (Horror) Show,L-82,2025-05-21 02:07,"BANJOsutra,FOTUS CIRCUS Playlist An American Freaks Show,MANTRAsutra,QUACKsutra : FOTUS Circus",checked
FOTUS CIRCUS ★ VOL.4 EPx9 ★ BURLESQUEsutra,https://soundcloud.com/bananasutra/sets/fotus-circus-vol4-epx9-burlesquesutra,,4,QUACKsutra,"BANJO,BURLESQUE,DUB,JAZZ","BANJO,BURLESQUE,DUB,JAZZ",9,3996,22,28:50,https://i1.sndcdn.com/artworks-hEoexhjMEJaTLs2Y-y53BjQ-t500x500.png,FOTUS Circus: Angels Eyes,L-81,2025-05-21 02:12,"BANJOsutra,DUBsutra,FOTUS CIRCUS Playlist An American Freaks Show,JAZZsutra,QUACKsutra : FOTUS Circus",checked
Freee · La Fille • French SHOWsutra Psychedelic EPx10,https://soundcloud.com/bananasutra/sets/freee-la-fille-french-showsutra-psychedelic-epx10,,1,FLOWsutra,"BURLESQUE,DUB,LOFI","BURLESQUE,DUB,HIP HOP,LOFI,PSYCHEDELIC,RAGGA",10,6709,53,30:12,https://i1.sndcdn.com/artworks-RJT0le0yFOpGmfuI-gfY2hw-t500x500.png,"""Freee, La Fille""",L-84,2025-10-02 03:17,"BLUESsutra,BURLESQUEsutra,DUBsutra,FRENCHsutra oui oui · sacrebleu,LOFIsutra,OUI OUI : Pardon (my French),SHOWsutra where bananas play",checked
Genius EP,https://soundcloud.com/bananasutra/sets/genius,,1,KNOWsutra,"FOLK,INDIE,JAZZ","FOLK,INDIE,JAZZ",3,676,9,7:35,https://i1.sndcdn.com/artworks-VkDI20lCoNvB6yuu-kEiBRg-t500x500.jpg,Genius EP,L-86,2024-11-19 17:52,"FOLKsutra,GROWsutra : KIND(ness),INDIEsutra,KNOWsutra where questions matter",checked
Gladys in Sonderland EPx14 • SHOWsutra Psychedelic Gipsy Dream,https://soundcloud.com/bananasutra/sets/gladys-in-sonderland-epx14-showsutra-psychedelic-gipsy-dream,,1,SHOWsutra,"BANJO,BLUES,BURLESQUE,INDIE,LOFI","BANJO,BLUES,BURLESQUE,GIPSY,INDIE,LOFI,PSYCHEDELIC",14,7692,68,1:06:19,https://i1.sndcdn.com/artworks-6hfJ7MQsBYyjyhKs-VO8orw-t500x500.png,Gladys in Sonderland,L-88,2025-10-30 08:21,"BANJOsutra,BLUESsutra,BURLESQUEsutra,INDIEsutra,SHOWsutra : FANANA Club,SHOWsutra where bananas play",checked
Glitter on a Turd ❯ GROWsutra Banana Cabaret EPx5,https://soundcloud.com/bananasutra/sets/glitter-on-a-turd-epx5,,1,GROWsutra,"BURLESQUE,INDIE","BURLESQUE,CABARET,INDIE",5,2501,26,14:49,https://i1.sndcdn.com/artworks-XYwpBnKZkAc8nA2R-sfypIw-t500x500.png,Glitter On A Turd,L-89,2025-05-23 11:53,"BURLESQUEsutra,GROWsutra : KIND(ness),GROWsutra where we be brave,JAZZsutra,LOFIsutra",checked
Grifters • BLOWsutra (Apes Gone Wrong) EPx14,https://soundcloud.com/bananasutra/sets/grifters-blowsutra-epx14,,1,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,LOFI,ROCK","BANJO,BLUES,BURLESQUE,COUNTRY,DUB,FADO,FLAMENCO,FOLK,GIPSY,HIP HOP,INDIE,LOFI,PSYCHEDELIC,PUNK,ROCK",14,4443,49,43:26,https://i1.sndcdn.com/artworks-iPtXxjIVQyjzpElZ-rzZZyw-t500x500.png,Grifters,L-90,2026-04-08 08:58,"BANJOsutra,BLOWsutra,BLUESsutra,BURLESQUEsutra,DUBsutra,INDIEsutra,LOFIsutra",checked
Hammy On Clyde ✪ SHOWsutra EPx8,https://soundcloud.com/bananasutra/sets/hammy-on-clyde-showsutra-epx8,,1,SHOWsutra,"BLUES,DUB,FOLK,JAZZ,LOFI","BLUES,DUB,FOLK,GIPSY,JAZZ,LOFI",8,1571,11,35:38,https://i1.sndcdn.com/artworks-safSzuvAHiwvn0LF-0u5a3Q-t500x500.png,Hammy On Clyde,L-92,2025-10-17 06:26,"BANJOsutra,BLUESsutra,BOWsutra : (Thank) Dogs,DUBsutra,JAZZsutra,LOFIsutra,SHOWsutra where bananas play",checked
Hard Core (Questions that Matter) X5,https://soundcloud.com/bananasutra/sets/hard-core-x5,,1,KNOWsutra,BURLESQUE,BURLESQUE,5,4661,44,15:20,https://i1.sndcdn.com/artworks-TawBy2TG82lsrzx3-SEV7yw-t500x500.png,Hard Core,L-93,2024-11-15 04:12,"BANJOsutra,BLUESsutra,BURLESQUEsutra,FOTUS CIRCUS Playlist An American Freaks Show,JAZZsutra,KNOWsutra : (naked) TRUTH,KNOWsutra where questions matter,QUACKsutra where we sing FU,Questions for the (kind) POPE in the Sky",checked
HashtagWHY (to be ctd...),https://soundcloud.com/bananasutra/sets/hashtagwhy-to-be-ctd,,1,KNOWsutra,ROCK,PUNK ROCK,2,529,5,6:23,https://i1.sndcdn.com/artworks-0LTSLaDkEUo21nzx-OHpjRw-t500x500.jpg,HashtagWHY (Sorry Not Sorry),L-94,2024-12-23 02:47,"BANJOsutra,KNOWsutra : but(t) WHY,KNOWsutra where questions matter,MANTRAsutra",checked
Hello · Oh No • EPx16 • GROWsutra Psychedelic Logic Harmonics,https://soundcloud.com/bananasutra/sets/hello-oh-no-growsutra-psychedelic-epx16,,1,GROWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI","BANJO,BLUES,BURLESQUE,CABARET,DUB,FLAMENCO,FOLK,GIPSY,INDIE,JAZZ,LOFI,PSYCHEDELIC,PUNK",16,11228,121,48:03,https://i1.sndcdn.com/artworks-X8yzz8V1uH0GpZZw-fED3yQ-t500x500.png,"""Hello, Oh No""",L-95,2026-02-26 22:16,"BLUESsutra,BURLESQUEsutra,DUBsutra,GROWsutra where we be brave,JAZZsutra,LOFIsutra",checked
Hereby · I Cry ☠ BLOWsutra EPx5,https://soundcloud.com/bananasutra/sets/hereby-i-cry-blowsutra-epx5,,1,GROWsutra,"DUB,FOLK,JAZZ,MANTRA","DUB,FOLK,GIPSY,JAZZ,MANTRA",5,1534,22,18:15,https://i1.sndcdn.com/artworks-AJnyssyEpQIFaGYl-f1dxCg-t500x500.png,"""Hereby, I Cry""",L-96,2025-07-03 08:16,"BLOWsutra,DUBsutra,FOLKsutra,FOTUS CIRCUS Playlist An American Freaks Show,GROWsutra : DARE (to care),JAZZsutra,MANTRAsutra,QUACKsutra where we sing FU",checked
Hey · Creeps • EPx20 • BLOWsutra Ego Gone Loco,https://soundcloud.com/bananasutra/sets/hey-creeps-epx20-blowsutra-ego-gone-loco,,1,BLOWsutra,"BURLESQUE,DUB,INDIE,JAZZ,LOFI,ROCK","BURLESQUE,DUB,GIPSY,HIP HOP,INDIE,JAZZ,LOFI,PSYCHEDELIC,PUNK,ROCK",20,10991,85,1:08:23,https://i1.sndcdn.com/artworks-D95jhvq945VUHBlk-M2mkVQ-t500x500.png,"""Hey, Creeps""",L-97,2025-11-23 19:48,"BLOWsutra,BLOWsutra : EGO (gone loco),DUBsutra,LOFIsutra,ROCKsutra",checked
Hey · You ✖ EPx8 ✖ BLOWsutra Indie Punk ROCK,https://soundcloud.com/bananasutra/sets/hey-you-blowsutra-jazz-punk-rock,,1,BLOWsutra,"BURLESQUE,INDIE,ROCK","BURLESQUE,INDIE,PUNK,ROCK",7,1468,8,13:47,https://i1.sndcdn.com/artworks-8zXPkONAqcbxOwwP-p3Wifg-t500x500.png,"""Hey, You (Creepers)""",L-98,2025-08-01 08:24,"BLOWsutra,BLOWsutra : EGO (gone loco),BURLESQUEsutra,INDIEsutra,ROCKsutra",checked
Hi · My Name Is (Not Celine Dion) - Vol02 EPx11 - SHOWsutra Dubby Grass Burlesque Edition,https://soundcloud.com/bananasutra/sets/hi-my-name-is-not-celine-dion-vol02-epx11-showsutra-dubby-grass-burlesque-edition,,2,SHOWsutra,"BANJO,BURLESQUE,DUB,FOLK,JAZZ","BANJO,BURLESQUE,COUNTRY,DUB,FOLK,JAZZ,PSYCHEDELIC",11,2073,13,38:21,https://i1.sndcdn.com/artworks-8AeGeNBuRUKrnybC-5NKduw-t500x500.png,"""Hi, My Name Is (Not Celine Dion)""",L-99,2025-10-17 10:17,"BANJOsutra,BURLESQUEsutra,DUBsutra,FOLKsutra,JAZZsutra,SHOWsutra : FANANA Club,SHOWsutra where bananas play",checked
Hi · My Name Is (Not Celine Dion) - Vol03 EPx11 - SHOWsutra Gipsy Trip Hop World LoFi Edition,https://soundcloud.com/bananasutra/sets/hi-my-name-is-not-celine-dion-vol03-epx11-showsutra-gipsy-trip-hop-world-lofi-edition,,3,SHOWsutra,LOFI,"GIPSY,LOFI,TRIP HOP",11,2368,30,40:18,https://i1.sndcdn.com/artworks-F6v264OYqZyCDfpy-bKUKiA-t500x500.png,"""Hi, My Name Is (Not Celine Dion)""",L-99,2025-10-17 10:24,"LOFIsutra,SHOWsutra : FANANA Club,SHOWsutra where bananas play",checked
Hold the Mic · Babe  EP X7 | Soul Prayer Lullabies,https://soundcloud.com/bananasutra/sets/hold-the-mic-babe-soul,,1,GROWsutra,"BLUES,FOLK,MANTRA",SOUL,7,5086,23,19:47,https://i1.sndcdn.com/artworks-ZzVNwSHzbhNq9mzn-vHyL4w-t500x500.png,"""Hold The Mic, Babe""",L-102,2024-11-12 08:39,"BANJOsutra,BOWsutra the last of 7 sutras · it's divine <3,DUBsutra,GROWsutra : KIND(ness),GROWsutra where we be brave,JAZZsutra,MANTRAsutra",checked
Hope is So Do-Do-Dope 🎪🦤 SHOWsutra Surreal Soul Circus EPx9,https://soundcloud.com/bananasutra/sets/hope-is-so-do-do-dope-showsutra-surreal-soul-circus-epx9,,1,SHOWsutra,"BURLESQUE,INDIE,ROCK","BURLESQUE,GIPSY,INDIE,PSYCHEDELIC,ROCK,SOUL",9,1365,9,32:05,https://i1.sndcdn.com/artworks-6nsPwxZLywLDp58z-pvh8Pw-t500x500.png,Hope is Do-Do-Dope,L-104,2025-09-24 18:31,"BURLESQUEsutra,INDIEsutra,ROCKsutra,SHOWsutra where bananas play",checked
How to Help a Bible Bro Grow Up · In the name of Religious Freedom,https://soundcloud.com/bananasutra/sets/how-to-help-a-bible-bro-grow-up-in-the-name-of-religious-freedom,,1,GROWsutra,"DUB,FOLK,INDIE","DUB,FOLK,INDIE",7,1744,16,20:34,https://i1.sndcdn.com/artworks-iut6y3WtyieWGgpN-uNGjiA-t500x500.png,Shush (How To Help A Bible Bro Grow Up),L-222,2025-04-13 18:49,"BANJOsutra,BURLESQUEsutra,DUBsutra,FOLKsutra,GROWsutra : GOD (etc),GROWsutra where we be brave,JAZZsutra,LOFIsutra,MANTRAsutra,QUACKsutra where we sing FU,Questions for the (kind) POPE in the Sky",checked
I Ain't No Christian (No Holy Fool) ♥ EPx4 VOL.02,https://soundcloud.com/bananasutra/sets/i-aint-no-christian-no-holy-fool-epx4-vol02,,1,SHOWsutra,"BLUES,BURLESQUE,FOLK,INDIE,ROCK","BLUES,BURLESQUE,FOLK,INDIE,ROCK,SOUL",4,733,8,11:49,https://i1.sndcdn.com/artworks-FXu0T1aNuzRuPyMB-olhCZA-t500x500.png,I Ain't No Christian (Like Bertrand),L-109,2025-04-19 02:10,"BLUESsutra,BURLESQUEsutra,FOLKsutra,INDIEsutra,KNOWsutra where questions matter,QUACKsutra where we sing FU,Questions for the (kind) POPE in the Sky,ROCKsutra",checked
I Did the Math · and Everything is Stupid • SHOWsutra Snoopy Fanana Club EPx11,https://soundcloud.com/bananasutra/sets/i-did-the-math-and-everything-is-stupid-showsutra-snoopy-fanana-club-epx11,,1,SHOWsutra,"BURLESQUE,DUB,INDIE,JAZZ,ROCK","BURLESQUE,DUB,GIPSY,INDIE,JAZZ,PSYCHEDELIC,PUNK,ROCK",11,10246,104,40:34,https://i1.sndcdn.com/artworks-MzZS6UnLWFjCH0yw-Ud0ziA-t500x500.png,"""I Did The Math (Everything is Stupid, Absurd, and Divine""",L-110,2025-12-24 09:11,"BURLESQUEsutra,DUBsutra,INDIEsutra,ROCKsutra",checked
I Think I Need a Good Spank!ng (in Madrid) ⚯ SHOWsutra EPx9,https://soundcloud.com/bananasutra/sets/i-think-i-need-a-good-spankng-in-madrid-showsutra-epx9,,1,SHOWsutra,"BURLESQUE,DUB,INDIE,JAZZ","BURLESQUE,DUB,FADO,HIP HOP,INDIE,JAZZ",9,1594,13,26:59,https://i1.sndcdn.com/artworks-PfxPRXz3WMhUPWjS-5CSzRQ-t500x500.png,I Think I Need a Good Spank!ng (in Madrid),L-112,2025-07-02 23:26,"BURLESQUEsutra,DUBsutra,FLOWsutra : WET (my friend),INDIEsutra,JAZZsutra,LOFIsutra",checked
Idiocracy Now ✪ QUACKsutra EPx10,https://soundcloud.com/bananasutra/sets/idiocracy-now-quacksutra-epx10,,1,QUACKsutra,"BANJO,BURLESQUE,FOLK,INDIE,LOFI,ROCK","BANJO,BURLESQUE,COUNTRY,FOLK,INDIE,LOFI,PUNK,ROCK",10,1778,16,36:19,https://i1.sndcdn.com/artworks-PbQdusXHHfL2vzQG-PVycmg-t500x500.png,How Do We Find Meaning?,L-107,2025-09-10 02:31,"BANJOsutra,FOLKsutra,INDIEsutra,QUACKsutra : FOTUS Circus,QUACKsutra where we sing FU,ROCKsutra",checked
If We Had But(t) The Truth • Vol. 2 EPx22 • BLOWsutra (Censored) Epstein Etcetera Soundtrack,https://soundcloud.com/bananasutra/sets/if-we-had-butt-the-truth-vol-2-epx22-blowsutra-censored-epstein-etcetera-soundtrack,,2,BLOWsutra,"BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK","BLUES,BURLESQUE,CABARET,DUB,FOLK,GIPSY,INDIE,JAZZ,LOFI,PSYCHEDELIC,RAGGA,ROCK,TRIP HOP",22,13620,100,1:18:17,https://i1.sndcdn.com/artworks-1InxeLQ1c3LnQwmz-u75GhQ-t500x500.png,If We Had But(t) The Truth,L-114,2026-01-25 23:52,"BLOWsutra,BLOWsutra : CENSOR(ed),BLUESsutra,BURLESQUEsutra,DUBsutra,FOLKsutra,INDIEsutra,LOFIsutra,QUACKsutra where we sing FU",checked
If We Had But(t) The Truth ☲ Easterican Profanities EPx5 ☲ QUACKsutra,https://soundcloud.com/bananasutra/sets/if-we-had-butt-the-truth-easterican-profanities-epx5-quacksutra,,1,BLOWsutra,BLUES,BLUES,5,1606,18,16:02,https://i1.sndcdn.com/artworks-YXoYMbXvm3ILHBz6-ixlblg-t500x500.png,If We Had But(t) The Truth,L-114,2025-05-27 15:41,"BLOWsutra : APES (gone wrong),BLUESsutra,FOLKsutra,INDIEsutra,MANTRAsutra,QUACKsutra where we sing FU",checked
Ironic Moronic Eugenics ☤ What Happens When KNOWsutra & BLOWsutra Make a Baby,https://soundcloud.com/bananasutra/sets/ironic-moronic-eugenics-what-happens-when-knowsutra-blowsutra-make-a-baby,,1,BLOWsutra,"BANJO,BLUES,DUB,FOLK,ROCK","BANJO,BLUES,DUB,FOLK,PSYCHEDELIC,PUNK,ROCK",8,1664,15,27:43,https://i1.sndcdn.com/artworks-N9z3Fy63NDAYopf0-Ffs1iA-t500x500.png,Ironic Moronic Eugenics,L-115,2025-09-23 01:12,"BANJOsutra,BLOWsutra,BLOWsutra : EGO (gone loco),BLUESsutra,BURLESQUEsutra,DUBsutra,FOLKsutra,JAZZsutra,ROCKsutra",checked
It's an Ethical Paradox • Vol. 2 EPx15 • KNOWsutra (Bertrand Knows) Gipsy Burlesque Jazz,https://soundcloud.com/bananasutra/sets/its-an-ethical-paradox-an-oxymoron-maze-vol-2-epx15-knowsutra-bertrand-knows-gipsy-burlesque-jazz,,2,KNOWsutra,"BURLESQUE,DUB,JAZZ,LOFI","BURLESQUE,DUB,GIPSY,JAZZ,LOFI,TRIP HOP",15,21491,271,54:51,https://i1.sndcdn.com/artworks-dpot7zmJbp98Q8za-Swn1Rg-t500x500.png,It's An Ethical Paradox,L-116,2026-01-04 05:49,"JAZZsutra,KNOWsutra : BERTRAND (mon chéri),KNOWsutra where questions matter,LOFIsutra",checked
It's War · My Friend ☳ QUACKsutra EPx15,https://soundcloud.com/bananasutra/sets/its-war-my-friend-quacksutra-epx15,,1,QUACKsutra,"BLUES,DUB,FOLK,INDIE,LOFI,ROCK","BLUES,DUB,FOLK,INDIE,LOFI,PSYCHEDELIC,PUNK,ROCK",15,3146,41,50:17,https://i1.sndcdn.com/artworks-yjDwmBzrh9rcYKwR-u7wlPw-t500x500.png,"""It's War, My Friend""",L-117,2025-09-10 02:01,"BLUESsutra,DUBsutra,INDIEsutra,QUACKsutra : DUCK (shady),QUACKsutra : FOTUS Circus,QUACKsutra where we sing FU,ROCKsutra",checked
Jacques Brel : French EPx9 : GLOWsutra Burlesque Indie Blues Gratitude POET(ry),https://soundcloud.com/bananasutra/sets/jacques-brel-french-epx9-glowsutra-burlesque-indie-blues-gratitude-poetry,,1,GLOWsutra,"BANJO,BLUES,BURLESQUE,INDIE","BANJO,BLUES,BURLESQUE,INDIE,PSYCHEDELIC",9,3210,28,38:47,https://i1.sndcdn.com/artworks-e0sOW6yRL70L2ZRD-C8tirQ-t500x500.png,Jacques Brel,L-118,2025-11-29 22:24,"BLUESsutra,BURLESQUEsutra,FRENCHsutra oui oui · sacrebleu,GLOWsutra where gratitude feeds,INDIEsutra,OUI OUI : Pardon (my French)",checked
Jealousy (not for me) ♡ GROWsutra EPx22,https://soundcloud.com/bananasutra/sets/jealousy-not-for-me-growsutra-epx22,,1,GROWsutra,"BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI","BLUES,BURLESQUE,DUB,HIP HOP,INDIE,JAZZ,LOFI,RAGGA",22,5323,43,1:02:36,https://i1.sndcdn.com/artworks-NrFEJYn5QiBNXnw5-RFTkHQ-t500x500.png,Jealousy (Not For Me),L-119,2025-06-26 10:26,"BLUESsutra,BURLESQUEsutra,DUBsutra,FLOWsutra : FLY (like water),FLOWsutra where time is space,INDIEsutra,JAZZsutra,LOFIsutra",checked
Jolly Poo - EPx15 VOL. 01 - Banjo Blues BLOWsutra,https://soundcloud.com/bananasutra/sets/jolly-poo-epx15-vol-01-banjo-blues-blowsutra,,1,BLOWsutra,"BANJO,BLUES","BANJO,BLUES,RAGGA",15,4255,24,49:08,https://i1.sndcdn.com/artworks-KLgAMRClt5uPFoax-dDF6zQ-t500x500.png,Jolly Poo,L-120,2025-05-26 09:49,"BANJOsutra,BLOWsutra,BLOWsutra : EGO (gone loco),BLUESsutra,DUBsutra,MANTRAsutra",checked
Joseph Campbell's Truth Metaphors ☷ KNOWsutra EPx12,https://soundcloud.com/bananasutra/sets/joseph-campbells-truth-metaphors-knowsutra-epx12,,1,KNOWsutra,"BLUES,BURLESQUE,DUB,INDIE,LOFI,MANTRA","BLUES,BURLESQUE,DUB,INDIE,LOFI,MANTRA",12,2254,22,41:38,https://i1.sndcdn.com/artworks-jy4Ny3sg2PSbdteq-7zc7yg-t500x500.jpg,Metaphors' Edge (Joseph Campbell's song),L-160,2025-08-24 06:22,"BLUESsutra,BURLESQUEsutra,DUBsutra,INDIEsutra,KNOWsutra : (naked) TRUTH,KNOWsutra where questions matter,LOFIsutra,MANTRAsutra",checked
Just Be EP X7 | Vocal Honey Audio Ideals,https://soundcloud.com/bananasutra/sets/just-be-vocal-jazz-honey-x7,,1,FLOWsutra,"BLUES,DUB,JAZZ,LOFI","BLUES,DUB,JAZZ,LOFI",7,5678,46,23:21,https://i1.sndcdn.com/artworks-IDfjsYaZOumrtQ1L-jseSkw-t500x500.png,Just Be,L-121,2024-11-05 03:05,"BANJOsutra,BURLESQUEsutra,DUBsutra,FLOWsutra : FLY (like water),FLOWsutra where time is space,FOLKsutra,INDIEsutra,JAZZsutra,MANTRAsutra,ROCKsutra",checked
Kids Are Asking ✪ KNOWsutra But(t) Why EPx3,https://soundcloud.com/bananasutra/sets/kids-are-asking-knowsutra-butt-why-epx3,,1,KNOWsutra,"DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA","ACOUSTIC,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,TRIP HOP",3,1078,2,9:14,https://i1.sndcdn.com/artworks-L6uXyHUyGsqH0ZAv-cvmeZg-t500x500.png,Kids Are Asking,L-124,2025-12-04 06:56,"FOLKsutra,KNOWsutra : but(t) WHY,KNOWsutra where questions matter,LOFIsutra,MANTRAsutra",checked
Kindness - Psychedelic INDIEsutra,https://soundcloud.com/bananasutra/sets/kindness-psychedelic-indiesutra,,2,KNOWsutra,INDIE,PSYCHEDELIC,2,306,3,4:22,https://i1.sndcdn.com/artworks-60rWtzt0Ur5yDsl8-lcLgjQ-t500x500.jpg,Kindness,L-126,2025-02-06 09:39,"INDIEsutra,KNOWsutra where questions matter",checked
Kindness Matters - Human Life Soundtrack EP,https://soundcloud.com/bananasutra/sets/kindness-matters-human-life-soundtrackl,,1,GROWsutra,INDIE,INDIE,5,1455,10,18:08,https://i1.sndcdn.com/artworks-qsLSixra831RrldW-lEhsdw-t500x500.jpg,Kindness,L-126,2025-02-06 07:58,"BANJOsutra,BLUESsutra,FOLKsutra,GROWsutra : KIND(ness),KNOWsutra where questions matter,LOFIsutra",checked
Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) EPx16,https://soundcloud.com/bananasutra/sets/kiss-a-pulse-glowsutra-epx16,,1,FLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI","BANJO,BLUES,BURLESQUE,CABARET,DUB,FOLK,GIPSY,INDIE,JAZZ,LOFI,PSYCHEDELIC,SOUL",16,15337,167,45:33,https://i1.sndcdn.com/artworks-FsS9zAJyonxRU7Rm-RHZvfQ-t500x500.png,Kiss A Pulse,L-129,2026-03-02 02:26,"BLUESsutra,BURLESQUEsutra,DUBsutra,GLOWsutra where gratitude feeds,JAZZsutra,LOFIsutra",checked
