ep_title,lyrics_title,lyrics_id,sutra,ep_songbook_title,ep_total_tracks,total_plays,total_likes,plays_per_track,likes_per_track,ep_engagement_rate
L'Accordéon de l'Ignorance EP X9,L'Accordéon De l'Ignorance,L-130,QUACKsutra,"Quack: DUCK (shady),World: FRENCHsutra",9,2203,15,244.8,1.67,0.6809
MAxA Alphabet Series Compilation - Make America Humane · Kind · Safe · Smart · etcetera Alright?!,,"L-149,L-150,L-326,L-158",QUACKsutra,Quack: MAxxxA Saga,20,4879,49,243.9,2.45,1.0043
Who's Your Vladdy? EPx10 ☿ BLOWsutra World Peace Fusion Indie,Who's Your Vladdy?,L-302,QUACKsutra,Quack: DUCK (shady),10,2433,25,243.3,2.5,1.0275
Cassandra’s Lullaby • KNOWsutra EPx11 World,Cassandra's Lullaby,L-42,KNOWsutra,Ask: PEACE (not war),11,2636,35,239.6,3.18,1.3278
Too Hard · My Friend • FLOWsutra (Fly Like Water) Lullabies EPx2,"Too Hard, My Friend",L-267,FLOWsutra,Trust: FLY (like water),2,479,0,239.5,0.0,0.0
Who Needs a Big D? EP x8 VOL. 1 - JAZZ 'n DUB,Who Needs A Big D?,L-301,SHOWsutra,Play: B.J. (is for banana jokes),8,1911,16,238.9,2.0,0.8373
Serial BLOWers ⭐︎ LoFi Burlesque Blues Vol. 02 EPx7,Serial Blowers,L-216,QUACKsutra,Speak: APES (gone wrong),7,1669,31,238.4,4.43,1.8574
some songs are more fun than others EP x8 ∞,Some Songs Are More Fun Than Others,L-229,SHOWsutra,Play: (Be) The Fool,8,1903,31,237.9,3.88,1.629
All the -Isms | BLOWsutra EPx7,All the -Isms,L-16,BLOWsutra,Speak: EGO (gone loco),7,1638,14,234.0,2.0,0.8547
Wet (Prickly) Peaches vol.2,Wet (Prickly) Peaches vol.2,L-285,FLOWsutra,"Trust: WET (my friend),EP: Peachy",9,2102,33,233.6,3.67,1.5699
Easy (Death Is Nothing At All) ❣ BOWsutra EPx9,Easy (Death Is Nothing At All),L-67,BOWsutra,Bow: Death (is nothing),9,2092,24,232.4,2.67,1.1472
Waldo's Fascist Tango EPx3 VOL. 1 • Burlesque JAZZ,Waldo's Fascist Tango (Down We Go),L-281,GROWsutra,Dare: GOD (etc.),3,695,7,231.7,2.33,1.0072
Pedo Nation ★ Felon Nation Redux ★ BLOWsutra EPx14,Pedo Nation,L-184,QUACKsutra,Quack: DUCK (shady),14,3235,24,231.1,1.71,0.7419
Genius EP,"Genius, You See",L-87,KNOWsutra,Ask: (Naked) TRUTH,3,693,9,231.0,3.0,1.2987
MAWA MAWA EPx2 (if Soundcloud allows) ⭐︎ MAxA Series · Vol. 2,MAWA (Make America Woke Again),L-158,QUACKsutra,Quack: MAxxxA Saga,2,457,3,228.5,1.5,0.6565
One Percent Rising • GROWsutra (Dare to Care) Psychedelic Indie EPx6,One Percent Rising,L-175,GROWsutra,Dare: DARE (to care),6,1368,15,228.0,2.5,1.0965
BANANA ALLELUIA ♾ EPx5 ♾ KNOWsutra BURLESQUE,Banana Alleluia,L-22,KNOWsutra,Ask: (Naked) TRUTH,6,1366,24,227.7,4.0,1.757
DEFY ✰ 3 Songs EPx7 ✰ BLOWsutra Jazzy Folk Lo-Fi BLUES,,"L-219,L-275,L-177",BLOWsutra,"Speak: REVOLT (now),EP: DEFY",7,1592,12,227.4,1.71,0.7538
When We Duende · Encore ★ Arabesk Fado Soul EPx2 VOL.2,When We Duende (Encore),L-295,FLOWsutra,Trust: WET (my friend),2,449,4,224.5,2.0,0.8909
Best Teacher Award · in Love & Death : Indie Bliss EPx3 VOL. 1 : BOWsutra,,"L-58,L-145,L-33",BOWsutra,"Bow: (Thank) Dogs,EP: Best Teacher Award",3,671,3,223.7,1.0,0.4471
Where Hope Expires ℧ EPx8 VOL.02,Where Hope Expires (Hole of Fire),L-296,GROWsutra,Dare: DARE (to care),8,1768,21,221.0,2.62,1.1878
Serial BLOWerrr ✰ RAGGA DUBsutra,Serial Blowers,L-216,BLOWsutra,Speak: APES (gone wrong),7,1542,15,220.3,2.14,0.9728
Nous Sommes Le Feu EPx4 ☲ GROWsutra French Peace Indie,Nous Sommes Le Feu,L-170,GROWsutra,"Dare: KIND(ness),World: FRENCHsutra",4,879,10,219.8,2.5,1.1377
They Muddy the Waters (aka Nietzsche's Gift) EPx5 VOL. 04,Nietzsche's Gift (Muddy Waters),L-165,BLOWsutra,Speak: EGO (gone loco),5,1097,6,219.4,1.2,0.5469
So Woken ❣️ GROWsutra (Kindness) Fusion EPx26,So Woken,L-426,GROWsutra,Dare: KIND(ness),26,5680,62,218.5,2.38,1.0915
But(t) How you Kids Learn Now? EPx9 VOL. 01,How Do Kids Learn Now?,L-106,KNOWsutra,Ask: (Naked) TRUTH,9,1962,29,218.0,3.22,1.4781
It's War · My Friend ☳ QUACKsutra EPx15,"It's War, My Friend",L-117,QUACKsutra,Quack: DUCK (shady),15,3262,41,217.5,2.73,1.2569
Hi · My Name Is (Not Celine Dion) - Vol03 EPx11 - SHOWsutra Gipsy Trip Hop World LoFi Edition,"Hi, My Name Is (Not Celine Dion)",L-99,SHOWsutra,Play: FANANA (party),11,2391,30,217.4,2.73,1.2547
EGO's Masquerade • EPx4 • BLOWsutra Tzigane Trip Hop Lo-Fi INDIE,EGO's Masquerade,L-69,BLOWsutra,Speak: EGO (gone loco),4,861,14,215.2,3.5,1.626
What It's About - Blues Dub Murica Mantra EPx7,What It's About,L-288,BLOWsutra,Ask: PEACE (not war),7,1500,21,214.3,3.0,1.4
Stymied Felon goes Stymy Stymy Yuck Encore - Freee Bonus EPx2 VOL.02,Stymy Stymy Yuck,L-234,QUACKsutra,Quack: DUCK (shady),2,428,4,214.0,2.0,0.9346
When Did Seduction Become so Untrue? EPx16 Vol. 02 ䷶ KNOWsutra Flamenco Techno,When Did Seduction Become so Untrue?,L-293,KNOWsutra,Ask: (Naked) TRUTH,16,3418,21,213.6,1.31,0.6144
SS Means Sacred Sp3rm ☠ BLOWsutra EPx19,SS Means Sacred Sp3rm,L-233,QUACKsutra,Quack: DUCK (shady),19,4046,38,212.9,2.0,0.9392
Why You Lie (to the People's Face) EP x7 ☠ QUACKsutra,Why You Lie (To The People's Face)?,L-305,QUACKsutra,Quack: DUCK (shady),7,1483,15,211.9,2.14,1.0115
But(t) Where Do Pigeons Go To Die ✧ BOWsutra (Death is Nothing) Dub Folk EPx5,But(t) Where Do Pigeons Go To Die?,L-38,BOWsutra,Bow: Death (is nothing),5,1054,16,210.8,3.2,1.518
MAMA-B-C (Make America Mine Achtung Encore) • BLOWsutra MAxA Series EPx3,MAMA (Make America Mine Achtung),L-156,BLOWsutra,Quack: MAxxxA Saga,3,632,7,210.7,2.33,1.1076
Hey · You ✖ EPx8 ✖ BLOWsutra Indie Punk ROCK,"Hey, You (Creepers)",L-98,BLOWsutra,Speak: EGO (gone loco),7,1470,8,210.0,1.14,0.5442
Ironic Moronic Eugenics ☤ What Happens When KNOWsutra & BLOWsutra Make a Baby,Ironic Moronic Eugenics,L-115,BLOWsutra,Speak: APES (gone wrong),8,1676,15,209.5,1.88,0.895
Segggsting • SHOWsutra EPx6 • French Burlesque Jazz Cabaret,Segggsting,L-213,SHOWsutra,"Trust: WET (my friend),World: FRENCHsutra",6,1257,6,209.5,1.0,0.4773
Double Standards EPx3 VOL. 1 • BURLESQUEsutra,Double Standards,L-64,GROWsutra,Dare: DARE (to care),3,625,10,208.3,3.33,1.6
Bee the Fool EP x2 : BANJOsutra,Bee the Fool (Not A Lie),L-29,SHOWsutra,Play: (Be) The Fool,2,415,5,207.5,2.5,1.2048
Ethical Paradox (Bertrand Undone),It's An Ethical Paradox,L-116,KNOWsutra,Ask: BERTRAND (knows),4,825,8,206.2,2.0,0.9697
Shady Fools (Oh Can’t You See?) • Vol. 2 EPx9 • BLOWsutra Ego Gone Loco LoFi Burlesque,Shady Fools,L-218,BLOWsutra,Ask: But(t) WHY,9,1849,21,205.4,2.33,1.1357
Linguistic Weaponry EPx7 Burlesque DUBsutra,Linguistic Weaponry,L-147,SHOWsutra,Play: FANANA (party),3,615,5,205.0,1.67,0.813
Pro-life means what · honey?,"Pro-life Means What, Honey?",L-196,GROWsutra,Dare: GOD (etc.),6,1228,18,204.7,3.0,1.4658
Nietzsche's Gift (They Muddy the Water to Make it Look Deep) - KNOWsutra EPx13 Vol. 5,Nietzsche's Gift (Muddy Waters),L-165,KNOWsutra,Speak: EGO (gone loco),13,2658,26,204.5,2.0,0.9782
Dressed in (nothing butt) Wonder ★ Exxxplore and Play (EP) x16 Bananas,Dressed In (Nothing Butt) Wonder,L-65,SHOWsutra,Play: FANANA (party),16,3266,35,204.1,2.19,1.0716
Make your Own Bible EP x6 VOL. 1 ℧ A Jazzy Burlesque Folk Trip Hop LOFI Venture (oui oui),Make your Own Bible,L-152,GROWsutra,Dare: GOD (etc.),6,1222,4,203.7,0.67,0.3273
Hammy On Clyde ✪ SHOWsutra EPx8,Hammy On Clyde,L-92,SHOWsutra,Play: (Be) The Fool,8,1624,13,203.0,1.62,0.8005
Blessed Are the Cracked EP X3,Blessed Are The Cracked,L-32,SHOWsutra,Bless: RAINBOWS (in my clouds),3,608,4,202.7,1.33,0.6579
ABCs of Kindness - KNOWsutra,ABC Of Kindness,L-9,KNOWsutra,Dare: KIND(ness),10,1997,13,199.7,1.3,0.651
Trump Derangement Syndrome ™ EPx7,Trump Derangement Syndrome ™,L-269,QUACKsutra,Quack: DUCK (shady),7,1397,16,199.6,2.29,1.1453
Project 2-0-2-5 (Explicit Fascism Advisory) • Pray for Murica SOULsutra EPx7,Project 2025 (Honky tonk dreams in the land of the free),L-197,QUACKsutra,Quack: DUCK (shady),7,1395,16,199.3,2.29,1.147
The Dystopian Quiz Song ★ EPx15 ★ Acoustic SOULsutra,The Dystopian Quiz Song,L-246,BLOWsutra,Speak: CENSOR(ed),15,2973,14,198.2,0.93,0.4709
Shades of Fools EPx9,Shady Fools,L-218,KNOWsutra,Ask: But(t) WHY,9,1783,17,198.1,1.89,0.9534
No · I'm Not Being Political 🇺🇸 KNOWsutra Indie Dub EPx15,"No, I'm Not Being Political (CIRCA 2025)",L-168,GROWsutra,Dare: DARE (to care),15,2967,25,197.8,1.67,0.8426
Do Panic Now ✝ GROWsutra EPx13,Do Panic Now,L-61,GROWsutra,Speak: REVOLT (now),13,2563,18,197.2,1.38,0.7023
Why Trust an Old · Mean Religion? EPx9 VOL. 01,"Why trust an old, mean religion?",L-303,GROWsutra,Dare: GOD (etc.),9,1775,13,197.2,1.44,0.7324
Daddy's a Creep ⚞  P3d0 T-Shirts ON SALE ⚟ BLOWsutra EPx4,Daddy's a Creep,L-56,BLOWsutra,Quack: DUCK (shady),4,787,5,196.8,1.25,0.6353
Predators (why war) EP x11 vol.2,Predators (Why War),L-194,KNOWsutra,Ask: PEACE (not war),11,2159,23,196.3,2.09,1.0653
Blaise's Tale ⭐︎ EPx3 ⭐︎ KNOWsutra Folk Cabaret,Blaise's Tale,L-31,KNOWsutra,Ask: PEACE (not war),3,587,5,195.7,1.67,0.8518
AI Fair Use Manifesto EPx3 VOL.1 : LOFI BURLESQUE BLUES,AI Fair Use Manifesto,L-12,KNOWsutra,Ask: (Naked) TRUTH,3,587,5,195.7,1.67,0.8518
What's F-A-S-C-I-S-T? EPx8 VOL. 1 ☆ BLOWsutra JAZZ FOLK Fusion,What's F-A-S-C-I-S-T?,L-292,BLOWsutra,Ask: (Naked) TRUTH,8,1561,11,195.1,1.38,0.7047
Where We Begin (Preakly Peaches) EPx4,Where We Begin (Preakly Peaches),L-297,FLOWsutra,"Trust: WET (my friend),EP: Peachy",4,780,9,195.0,2.25,1.1538
CREEPYPASTA (what the hella) ♲ LoFi DUB Edition ♲ SoundCloud is broken REDUX,Creepy Pasta (What The Hella),L-49,SHOWsutra,Play: FANANA (party),4,777,5,194.2,1.25,0.6435
Ego Ain't Your Amigo ⭐︎ EPx14 VOL. 01 ⭐︎ True Tales of BLUESsutra,Ego Ain't Your Amigo,L-68,BLOWsutra,Speak: EGO (gone loco),14,2715,22,193.9,1.57,0.8103
A Man's A Man for A' That - VOL. 01 - Revolution Forever,A Man's a Man and A' That,L-5,BLOWsutra,Speak: REVOLT (now),3,579,6,193.0,2.0,1.0363
Sutra of Immanence - FLOWsutra Dog Poetry - Jazz & Dub EPx3,Sutra of Immanence,L-236,FLOWsutra,Trust: FLY (like water),3,577,10,192.3,3.33,1.7331
Double Standards EPx4 VOL. 2 ★ BLOWsutra LOFI,Double Standards,L-64,BLOWsutra,Dare: DARE (to care),4,765,4,191.2,1.0,0.5229
Hi · My Name Is (Not Celine Dion) - Vol02 EPx11 - SHOWsutra Dubby Grass Burlesque Edition,"Hi, My Name Is (Not Celine Dion)",L-99,SHOWsutra,Play: FANANA (party),11,2091,12,190.1,1.09,0.5739
Who Knows Where How Happiness Truly Grows ☰ GROWsutra EPx29,Who Knows Where How Happiness Truly Grows,L-300,GROWsutra,Dare: KIND(ness),29,5511,45,190.0,1.55,0.8165
Poetry Matters EP vol.3,Poetry Matters,L-189,GLOWsutra,Bless: POET(ry),3,569,8,189.7,2.67,1.406
Joseph Campbell's Truth Metaphors ☷ KNOWsutra EPx12,Metaphors' Edge (Joseph Campbell's song),L-160,KNOWsutra,Ask: (Naked) TRUTH,12,2268,22,189.0,1.83,0.97
Truth Don't Care ✗ EPx2 ✗ KNOWsutra Psychedelic Muse Cabaret,Truth Don't Care,L-271,KNOWsutra,Ask: (Naked) TRUTH,2,378,3,189.0,1.5,0.7937
Carnival FOTUS (ctd) EP X3,Carnival FOTUS (ctd),L-41,QUACKsutra,Quack: FOTUS Circus,3,567,6,189.0,2.0,1.0582
Crimina/els EP,,"L-52,L-394,L-53",BLOWsutra,"Speak: APES (gone wrong),EP: Criminals · EP: Criminals,Ask: BERTRAND (knows) · Speak: APES (gone wrong),EP: Criminals,World: FRENCHsutra",3,567,6,189.0,2.0,1.0582
A stroll down history’s lane ☆ KNOWsutra ☆ EPx6 Vol. 1,A Stroll Down History’s Lane,L-7,KNOWsutra,Ask: PEACE (not war),6,1133,10,188.8,1.67,0.8826
Up a San Francisco Hill EP(x4) VOL.2,Up a San Francisco Hill,L-277,GLOWsutra,Bless: RAINBOWS (in my clouds),4,753,9,188.2,2.25,1.1952
Oh · Freedom EP x10 ♛ BLUESsutra (Public Domain Lyrics),"Oh, Freedom",L-172,BLOWsutra,Speak: REVOLT (now),10,1877,24,187.7,2.4,1.2786
Atheist Tango EP x9 VOL. 1 ☰ Waldo's Burlesque Tales of Truth,The Atheist Tango,L-243,GROWsutra,Dare: GOD (etc.),9,1668,23,185.3,2.56,1.3789
I Ain't No Christian (No Holy Fool) ♥ EPx4 VOL. 01,I Ain't No Christian,L-109,KNOWsutra,Ask: BERTRAND (knows),4,737,8,184.2,2.0,1.0855
Relative Steve - KNOWsutra Hip de la HoP EPx2 Bass Interlude,Relative Steve,L-206,BLOWsutra,Speak: EGO (gone loco),2,365,7,182.5,3.5,1.9178
Can You Play Win Win Games Or No? GROWsutra (Kindness Matters) Dubby Dub Dub EPx6,Can You Play Win-Win Games Or No?,L-338,GROWsutra,Dare: KIND(ness),6,1093,6,182.2,1.0,0.5489
The Invisible Man in the Sky (a song inspired by George Carlin) EPx8 VOL.01,The Invisible Man In The Sky,L-251,GROWsutra,Dare: GOD (etc.),8,1457,13,182.1,1.62,0.8922
Dump Trump EPx4 🪦 BLOWsutra Burlesque ROCK,Dump Trump,L-66,BLOWsutra,Quack: DUCK (shady),4,723,5,180.8,1.25,0.6916
Oh My · Oh Why (Socrates Song) - GROWsutra EPx7,"Oh My, Oh Why (Socrates Song)",L-171,GROWsutra,Ask: But(t) WHY,7,1255,12,179.3,1.71,0.9562
Idiocracy Now ✪ QUACKsutra EPx10,Planet Idiocracy,L-113,QUACKsutra,Speak: APES (gone wrong),10,1785,16,178.5,1.6,0.8964
I Think I Need a Good Spank!ng (in Madrid) ⚯ SHOWsutra EPx9,I Think I Need a Good Spank!ng (in Madrid),L-112,SHOWsutra,Trust: WET (my friend),9,1603,13,178.1,1.44,0.811
Untamed EP X3,Untamed,L-276,GROWsutra,Dare: GOD (etc.),3,530,2,176.7,0.67,0.3774
The Accordion of Ignorance EP X4,The Accordion of Ignorance,L-242,QUACKsutra,Quack: FOTUS Circus,4,704,7,176.0,1.75,0.9943
Some Truths (Are Harder to Swallow) EPx7,Some Truths Are Harder to Swallow,L-230,KNOWsutra,Ask: (Naked) TRUTH,7,1231,7,175.9,1.0,0.5686
FOTUS CIRCUS ★ VOL.2 EPx10 ★ BURLESQUEsutra,FOTUS Circus: Ginsberg Hollow (Horror) Show,L-82,QUACKsutra,Quack: FOTUS Circus,10,1740,11,174.0,1.1,0.6322
Poem (I wanted to be · basically) ℘ EPx14 VOL.01,The Poem,L-254,GLOWsutra,Bless: POET(ry),14,2419,20,172.8,1.43,0.8268
Sidération - Spoken Words Intro - EPx3 VOL. 1 of 4,Sidération,L-223,BLOWsutra,"Speak: REVOLT (now),EP: Sidération",3,515,2,171.7,0.67,0.3883
F-BOMB ⚝ SHOWsutra DUB EPx7,F-BOMB,L-75,SHOWsutra,Play: (Be) The Fool,7,1186,5,169.4,0.71,0.4216
Male Fantasies • CheekySUTRA EPx6 VOL. 02,Male Fantasies,L-154,BLOWsutra,Speak: EGO (gone loco),6,1000,6,166.7,1.0,0.6
Linguistic Weaponry EPx4 (Vol 2) DUBsutra,Linguistic Weaponry,L-147,SHOWsutra,Play: FANANA (party),1,164,1,164.0,1.0,0.6098
Poetry Matters ☰ BANJOsutra EPx2,Poetry Matters,L-189,GLOWsutra,Bless: POET(ry),5,780,9,156.0,1.8,1.1538
Kindness - Psychedelic INDIEsutra,Kindness,L-126,GROWsutra,Dare: KIND(ness),2,309,3,154.5,1.5,0.9709
What the Mirror Said (Reste Lucide) - GLOWsutra JAZZ,What the Mirror Said (Reste Lucide),L-290,GROWsutra,Dare: KIND(ness),5,770,7,154.0,1.4,0.9091
Hope is So Do-Do-Dope 🎪🦤 SHOWsutra Surreal Soul Circus EPx9,Hope is Do-Do-Dope,L-104,SHOWsutra,Play: (Be) The Fool,9,1367,9,151.9,1.0,0.6584
Everybody Knows EP x6 : INDIEsutra,Everybody Knows,L-72,KNOWsutra,Ask: PEACE (not war),6,806,3,134.3,0.5,0.3722
Up a San Francisco Hill • Bananasutra Heart Beats,Up a San Francisco Hill,L-277,GLOWsutra,Bless: RAINBOWS (in my clouds),8,795,3,99.4,0.38,0.3774
I Ain't No Christian 🍎 KNOWsutra (Bertrand Knows) Fusion Vol. 3 EPx24,I Ain't No Christian,L-109,KNOWsutra,Ask: BERTRAND (knows),24,0,0,0.0,0.0,0
